quarter,net_income,net_rev,prof_margin_system
2010Q1,1713.6329999999998,11459.65,0.14953624238087548
2010Q2,2068.149,11133.984,0.18575103035894427
2010Q3,2235.308,11555.601,0.19343935464715334
2010Q4,2415.183,11656.296,0.20719986863751572
2011Q1,2473.21,11593.544,0.21332648584419053
2011Q2,2514.145,11529.814,0.21805598945481686
2011Q3,2866.163,12276.369999999999,0.23346991007928242
2011Q4,2963.221,12887.193000000001,0.22993533192216487
2012Q1,2765.351,13274.928,0.20831382286969843
2012Q2,3039.493,13825.087,0.2198534446835669
2012Q3,2941.599,14026.437,0.20971819144091974
2012Q4,2974.23,14361.994,0.2070903246443356
2013Q1,2693.0299999999997,14368.645,0.18742407513025755
2013Q2,2935.377,14006.323,0.20957513260261096
2013Q3,2915.8669999999997,13747.843,0.2120963266746645
2013Q4,2806.706,12975.136,0.21631418738115732
2014Q1,3243.23,14045.853,0.23090302881569388
2014Q2,2951.18,12764.069,0.23120996917205633
2014Q3,3164.944,13756.369999999999,0.23007115976089623
2014Q4,3153.766,14000.045999999998,0.22526825983286058
2015Q1,2862.001,13975.581,0.20478583323297975
2015Q2,3490.13,13891.326000000001,0.25124527348937026
2015Q3,2832.883,12737.791000000001,0.22239986509434795
2015Q4,2931.1980000000003,12683.306,0.2311067792577109
2016Q1,1885.859,13679.913,0.13785606677469367
2016Q2,2657.224,12895.921,0.20605151039619427
2016Q3,3680.361,14830.224,0.24816624482543215
2016Q4,2648.25,13406.105,0.19754059810810076
2017Q1,2684.628,14572.365,0.1842273371549505
2017Q2,2112.246,13605.001,0.15525511537999886
2017Q3,3104.622,14212.271,0.21844658042335385
2017Q4,3202.467,14412.514000000001,0.22220044330919642
2018Q1,3575.701,15673.629,0.22813484994445127
2018Q2,2783.458,14765.918,0.188505584278607
2018Q3,3364.967,15303.097,0.21988797431003673
2018Q4,3358.581,15245.142,0.22030499945490833
2019Q1,3860.533,16994.227,0.22716731981984237
2019Q2,2253.975,15911.091,0.1416606189984081
2019Q3,3534.456,16830.087,0.21000818355840942
2019Q4,3810.771,17242.296,0.22101296718256086
2020Q1,2764.458,17135.33,0.16133088770394266
2020Q2,1335.6680000000001,16613.943,0.08039440125682387
2020Q3,1427.588,15727.421,0.09077063556701381
2020Q4,2360.1,14713.754,0.16040094186704493
2021Q1,-4216.067,15710.076000000001,-0.2683670658245065
2021Q2,2468.7400000000002,15067.079,0.1638499406553852
2021Q3,2783.544,14695.464,0.18941518280742956
2021Q4,3030.024,15467.199,0.19589998163209768
2022Q1,875.347,16395.678,0.05338888699814671
2022Q2,4926.648,20787.235,0.23700352644303102
2022Q3,2924.784,25159.004,0.11625197881442366
2022Q4,-3990.648,18722.872,-0.2131429408906924
2023Q1,6193.247,32015.43,0.19344569165555484
2023Q2,6365.197,34009.437,0.18715972863649583
2023Q3,5786.515,34536.882,0.16754595854947185
2023Q4,8409.636,35983.636,0.23370723292109782
2024Q1,5703.004,35252.892,0.1617740751595642
2024Q2,7542.145,35295.958,0.21368296619119959
2024Q3,7160.0,33178.02,0.21580552425973584
2024Q4,9305.599,36003.053,0.25846694167852935
2025Q1,8421.922,36522.579,0.23059494237797393
2025Q2,8698.187,36095.631,0.24097617243483013
2025Q3,8511.222,36647.397,0.23224629023447424
2025Q4,9956.554,36687.983,0.2713846111409286
2026Q1,10421.51,35578.954,0.2929122087175469
2026Q2,7647.302,35045.873,0.2182083465291334
2026Q3,8804.999,34716.947,0.25362250315386314
