DATES,FCI
29/05/2026,1.0610693308290187
30/04/2026,0.7411044441837741
31/03/2026,1.045509766941734
27/02/2026,0.6832522049460525
30/01/2026,0.6039915853806266
31/12/2025,0.8031656737775769
28/11/2025,0.955448799976417
31/10/2025,0.9668295740321162
30/09/2025,1.052545368252977
29/08/2025,0.6742266082255374
31/07/2025,0.824601486714349
30/06/2025,1.3233696767428038
30/05/2025,1.1067148215295757
30/04/2025,1.142797686926406
31/03/2025,1.5112270810107666
28/02/2025,0.8181165446499743
31/01/2025,0.6797592596343733
31/12/2024,0.7437712049452894
29/11/2024,0.9417250206643872
31/10/2024,1.0588553990366034
30/09/2024,0.7834207838553866
30/08/2024,0.9306081932018357
31/07/2024,0.7364810866795771
28/06/2024,0.44572164714614915
31/05/2024,0.4408935367081045
30/04/2024,0.39156771525531764
29/03/2024,0.4413541318822772
29/02/2024,0.40250873758589395
31/01/2024,0.4636790290961713
29/12/2023,0.5926791346419605
30/11/2023,0.3519321805272148
31/10/2023,0.5703191911316287
29/09/2023,0.4784146889704295
31/08/2023,0.5139581503175172
31/07/2023,0.5296939882071651
30/06/2023,1.046373150897255
31/05/2023,1.8804140179719813
28/04/2023,1.2737442029110733
31/03/2023,1.2169579817644136
28/02/2023,1.1215369756520521
31/01/2023,1.906532110696772
30/12/2022,0.9970490160621777
30/11/2022,0.10437572044533315
31/10/2022,0.19398335573338538
30/09/2022,0.40241795059002977
31/08/2022,0.24032746610282624
29/07/2022,0.33278423757967196
30/06/2022,1.0011359927709829
31/05/2022,0.5701776759048721
29/04/2022,0.637137111251521
31/03/2022,0.5935521315402488
28/02/2022,1.1723607879851239
31/01/2022,1.733196617537473
31/12/2021,2.304098808916474
30/11/2021,0.8698200056278316
29/10/2021,0.47569149700132474
30/09/2021,0.40900163552710567
31/08/2021,0.4035493556817044
30/07/2021,0.43091971974496096
30/06/2021,0.47047422460958943
31/05/2021,0.37633393634331164
30/04/2021,0.49384912278761456
31/03/2021,1.0098298701744906
26/02/2021,0.37013097739400275
29/01/2021,0.39718805992096196
31/12/2020,0.3012695035853806
30/11/2020,0.5410085042906265
30/10/2020,0.7513593173553255
30/09/2020,0.7150360070862718
31/08/2020,1.1057231025680156
31/07/2020,0.5395051548181409
30/06/2020,0.2726280030517565
29/05/2020,0.3072472181679809
30/04/2020,0.4784712153958849
31/03/2020,0.9671855056852136
28/02/2020,0.42034518130403686
31/01/2020,0.2519649782101368
31/12/2019,0.24791598306307422
29/11/2019,0.31913974519220273
31/10/2019,0.5262731064172167
30/09/2019,0.324487055183077
30/08/2019,0.3568588053565937
31/07/2019,0.35206314538688904
28/06/2019,0.412137562477148
31/05/2019,0.6817131868681737
30/04/2019,0.5354831157003433
29/03/2019,0.8450558830766658
28/02/2019,0.5162386717787676
31/01/2019,0.31802884771233464
31/12/2018,0.4629176866946981
30/11/2018,0.7405554706993098
31/10/2018,1.5191481516899707
28/09/2018,1.0607138144297135
31/08/2018,2.8180269958812003
31/07/2018,1.0800704540064512
29/06/2018,0.7816867850411058
31/05/2018,0.8636255629233618
30/04/2018,0.5358570953190329
30/03/2018,0.2826753929016246
28/02/2018,0.17549264557691746
31/01/2018,0.15912624161119168
29/12/2017,0.14920813058315524
30/11/2017,0.46558780550442996
31/10/2017,0.14636794994463403
29/09/2017,0.08823544148906566
31/08/2017,0.03444019951865227
31/07/2017,0.07189591615254037
30/06/2017,0.016290312539466868
31/05/2017,0.06885531274555941
28/04/2017,0.1961105587769
31/03/2017,0.27288485635207776
28/02/2017,0.3806866861905861
31/01/2017,0.6291399744199827
30/12/2016,0.6057058654075903
30/11/2016,0.6432717534053926
31/10/2016,0.3244355573641102
30/09/2016,0.34051639790247007
31/08/2016,0.3106396009295225
29/07/2016,0.44741644430093735
30/06/2016,0.40895813421356975
31/05/2016,0.4139378201460612
29/04/2016,0.32286014930375406
31/03/2016,0.38174462189078434
29/02/2016,0.38245097898358205
29/01/2016,0.322380777065293
31/12/2015,0.41621061672724013
30/11/2015,0.43016059260681194
30/10/2015,0.4816750813493068
30/09/2015,0.7553977604148661
31/08/2015,0.7330753780045782
31/07/2015,0.46098617483711757
30/06/2015,0.4226537163813433
29/05/2015,0.24476896427256234
30/04/2015,0.3011454973835936
31/03/2015,0.3837379259793095
27/02/2015,0.3834866354297688
30/01/2015,0.2886829090751025
31/12/2014,0.28099674454987295
28/11/2014,0.24211441972069098
31/10/2014,0.26796562823102854
30/09/2014,0.34740750126600034
29/08/2014,0.2924606195257511
31/07/2014,0.24714041357289512
30/06/2014,0.22701762778561782
30/05/2014,0.17876472048892347
30/04/2014,0.31639450317370066
31/03/2014,0.3900950326540047
28/02/2014,0.544849072918916
31/01/2014,0.932264695340276
31/12/2013,0.8104048065951471
29/11/2013,0.4945992152523294
31/10/2013,0.3725732946662789
30/09/2013,0.6888929061170215
30/08/2013,0.6405404145346377
31/07/2013,0.4543115725788318
28/06/2013,0.9448678212388569
31/05/2013,0.12803907576231324
30/04/2013,0.09606265550225077
29/03/2013,0.09648785685826533
28/02/2013,0.13318241956131363
31/01/2013,0.17537773837411813
31/12/2012,0.05926409746184175
30/11/2012,0.17287664791791324
31/10/2012,0.14141053301373158
28/09/2012,0.1941472244469569
31/08/2012,0.13985644267903535
31/07/2012,0.25319331862927985
29/06/2012,0.2674417167311717
31/05/2012,0.6350850679094858
30/04/2012,0.5553920678220682
30/03/2012,0.5018727696737959
29/02/2012,0.6698953539470759
31/01/2012,0.5727187159141384
30/12/2011,0.7341071401513849
30/11/2011,1.0235744727696046
31/10/2011,1.2639900022183368
30/09/2011,1.3966483295437948
31/08/2011,2.0551759557386484
29/07/2011,1.1524071384906007
30/06/2011,1.1321256383245497
31/05/2011,1.2479133351821672
29/04/2011,0.943490351574418
31/03/2011,1.0813597764228402
28/02/2011,1.131593418587662
31/01/2011,0.782086943642015
31/12/2010,0.5215244638801201
30/11/2010,0.4720634109087457
29/10/2010,0.34404288489553814
30/09/2010,0.23209194776112774
31/08/2010,0.22547747297224993
30/07/2010,0.23703400013642423
30/06/2010,0.5856423373528008
31/05/2010,0.778309658956174
30/04/2010,0.3645917516323801
31/03/2010,0.42307871452715684
26/02/2010,0.5341310130932037
