DATES,FCI
29/05/2026,0.29037755497156426
30/04/2026,0.4210414153764289
31/03/2026,0.6989629232582426
27/02/2026,0.17112676259653226
30/01/2026,0.26724076217787807
31/12/2025,0.10862965626081555
28/11/2025,0.1475829346774405
31/10/2025,0.18857747845190814
30/09/2025,0.09100580107831546
29/08/2025,0.07127583622262146
31/07/2025,0.10544322172152654
30/06/2025,0.08195995334403598
30/05/2025,0.15339740153318
30/04/2025,0.39945675905574896
31/03/2025,0.10083047193976567
28/02/2025,0.16860396181489984
31/01/2025,0.2761317718576838
31/12/2024,0.1207551719750198
29/11/2024,0.11802379130678099
31/10/2024,0.1425497541779803
30/09/2024,0.09269991515286603
30/08/2024,0.10984456774900678
31/07/2024,0.13998506657146917
28/06/2024,0.22768378791232202
31/05/2024,0.23101401835069152
30/04/2024,0.2567471129101513
29/03/2024,0.31632741493157085
29/02/2024,0.28789751459360596
31/01/2024,0.23976185581331114
29/12/2023,0.3038647647461558
30/11/2023,0.40322070979246155
31/10/2023,0.3246229603084083
29/09/2023,0.29186216058602504
31/08/2023,0.4084897894969526
31/07/2023,0.3061357845658619
30/06/2023,0.3801307808181933
31/05/2023,0.7879767084443264
28/04/2023,0.2369255473934479
31/03/2023,0.24532058199463558
28/02/2023,0.4263707881086428
31/01/2023,0.22025292369877816
30/12/2022,0.25647723310283754
30/11/2022,0.2942018090733632
31/10/2022,0.576098244322299
30/09/2022,0.6672619675742762
31/08/2022,0.3643685426006902
29/07/2022,0.5308952876297393
30/06/2022,0.5504719845915647
31/05/2022,0.3921803912803341
29/04/2022,0.22640998740624915
31/03/2022,0.3426292294262997
28/02/2022,0.2435008504077429
31/01/2022,0.31501135061749
31/12/2021,0.3252791332360512
30/11/2021,0.5489313558426412
29/10/2021,0.29669939944234025
30/09/2021,0.28658015730925734
31/08/2021,0.23276167480947374
30/07/2021,0.3069672908660137
30/06/2021,0.2708733180554582
31/05/2021,0.20098358331192004
30/04/2021,0.42552149865049205
31/03/2021,0.28295175616140045
26/02/2021,0.3479939610208713
29/01/2021,0.14178133706350005
31/12/2020,0.2067309682172263
30/11/2020,0.44715241465501787
30/10/2020,0.32498078312763456
30/09/2020,0.3221864366279752
31/08/2020,0.395742650970075
31/07/2020,0.41476612791129397
30/06/2020,0.5314034432082055
29/05/2020,0.6420686850964522
30/04/2020,1.1260263887168804
31/03/2020,2.1420688715239473
28/02/2020,0.5048691826091208
31/01/2020,0.42198234134466683
31/12/2019,0.2978922049520012
