DATES,CPI
31/07/2024,261.3
31/08/2024,262.3
30/09/2024,261.0
31/10/2024,264.2
30/11/2024,265.5
31/12/2024,265.6
31/01/2025,266.2
28/02/2025,264.07
31/03/2025,266.45
30/04/2025,264.32
31/05/2025,263.79
30/06/2025,264.31
31/07/2025,271.98
31/08/2025,270.35
30/09/2025,276.02
31/10/2025,280.72
30/11/2025,281.84
31/12/2025,280.71
31/01/2026,281.84
28/02/2026,282.68
31/03/2026,286.07
30/04/2026,293.23
31/05/2026,294.34
30/06/2026,293.47
