DATES,STX
31/03/2025,903.53
27/03/2025,903.42
26/03/2025,901.66
24/03/2025,902.84
20/03/2025,901.53
06/03/2025,907.41
05/03/2025,907.14
04/03/2025,893.80
28/02/2025,904.25
27/02/2025,905.43
26/02/2025,898.54
25/02/2025,902.23
24/02/2025,896.82
21/02/2025,892.61
20/02/2025,902.61
19/02/2025,902.19
18/02/2025,896.98
17/02/2025,897.46
14/02/2025,897.33
13/02/2025,891.70
12/02/2025,894.58
11/02/2025,894.95
10/02/2025,896.11
07/02/2025,894.30
06/02/2025,891.11
05/02/2025,892.82
04/02/2025,889.31
03/02/2025,885.74
31/01/2025,892.36
30/01/2025,891.87
29/01/2025,888.94
28/01/2025,889.45
27/01/2025,887.84
24/01/2025,887.56
23/01/2025,891.80
22/01/2025,892.47
21/01/2025,892.24
20/01/2025,892.69
17/01/2025,890.27
16/01/2025,892.80
15/01/2025,891.23
14/01/2025,891.93
13/01/2025,891.91
10/01/2025,893.13
09/01/2025,892.82
08/01/2025,886.21
07/01/2025,887.88
06/01/2025,894.90
03/01/2025,889.27
02/01/2025,891.53
27/12/2024,892.74
26/12/2024,893.14
23/12/2024,893.14
20/12/2024,890.83
19/12/2024,879.19
18/12/2024,862.47
17/12/2024,859.94
16/12/2024,848.63
13/12/2024,843.95
12/12/2024,842.07
11/12/2024,844.03
10/12/2024,848.80
09/12/2024,846.13
06/12/2024,847.67
05/12/2024,846.44
04/12/2024,848.53
03/12/2024,846.92
02/12/2024,850.75
29/11/2024,846.60
28/11/2024,848.27
27/11/2024,842.36
26/11/2024,845.70
25/11/2024,847.18
22/11/2024,846.41
21/11/2024,852.07
20/11/2024,854.39
19/11/2024,846.34
18/11/2024,851.16
15/11/2024,853.51
14/11/2024,848.34
13/11/2024,852.98
12/11/2024,857.06
11/11/2024,855.37
08/11/2024,859.40
07/11/2024,862.36
06/11/2024,864.23
05/11/2024,852.00
04/11/2024,857.58
01/11/2024,854.17
31/10/2024,849.20
30/10/2024,841.39
29/10/2024,838.02
28/10/2024,842.81
25/10/2024,847.18
24/10/2024,846.19
23/10/2024,848.29
22/10/2024,844.80
21/10/2024,844.96
18/10/2024,854.43
17/10/2024,851.71
16/10/2024,856.59
15/10/2024,848.01
14/10/2024,853.70
11/10/2024,855.40
10/10/2024,858.94
09/10/2024,861.74
08/10/2024,863.16
07/10/2024,858.13
04/10/2024,854.78
03/10/2024,854.30
02/10/2024,855.23
01/10/2024,853.74
30/09/2024,858.29
27/09/2024,855.75
26/09/2024,855.82
25/09/2024,857.58
24/09/2024,854.96
20/09/2024,857.19
19/09/2024,854.95
18/09/2024,854.20
17/09/2024,857.89
16/09/2024,859.79
13/09/2024,865.95
12/09/2024,862.92
11/09/2024,867.44
10/09/2024,865.09
09/09/2024,865.51
05/09/2024,868.90
04/09/2024,864.43
03/09/2024,872.78
02/09/2024,868.75
30/08/2024,864.77
29/08/2024,865.51
28/08/2024,865.97
27/08/2024,864.88
26/08/2024,872.99
23/08/2024,869.29
22/08/2024,871.43
21/08/2024,868.76
20/08/2024,867.73
19/08/2024,871.20
16/08/2024,866.77
15/08/2024,862.81
14/08/2024,865.64
13/08/2024,861.90
12/08/2024,860.26
09/08/2024,854.78
08/08/2024,853.16
07/08/2024,850.29
06/08/2024,849.37
05/08/2024,830.90
02/08/2024,866.50
01/08/2024,864.86
31/07/2024,867.27
30/07/2024,863.24
29/07/2024,864.29
26/07/2024,862.25
25/07/2024,864.25
24/07/2024,862.82
23/07/2024,860.91
22/07/2024,860.82
19/07/2024,864.55
18/07/2024,869.40
17/07/2024,866.38
16/07/2024,857.65
15/07/2024,859.04
12/07/2024,863.83
11/07/2024,857.18
10/07/2024,860.94
09/07/2024,855.76
08/07/2024,851.90
05/07/2024,852.60
04/07/2024,849.50
03/07/2024,847.87
02/07/2024,849.29
01/07/2024,849.68
28/06/2024,847.68
27/06/2024,849.07
26/06/2024,846.07
25/06/2024,841.05
24/06/2024,841.12
21/06/2024,848.99
20/06/2024,851.93
19/06/2024,851.41
18/06/2024,848.43
17/06/2024,852.14
14/06/2024,853.13
13/06/2024,854.66
12/06/2024,855.79
11/06/2024,858.23
10/06/2024,855.63
07/06/2024,862.00
06/06/2024,865.04
05/06/2024,864.27
04/06/2024,865.54
03/06/2024,865.44
31/05/2024,865.39
30/05/2024,863.60
29/05/2024,866.59
28/05/2024,866.82
27/05/2024,866.50
23/05/2024,866.45
22/05/2024,868.11
21/05/2024,871.29
20/05/2024,863.01
17/05/2024,855.96
16/05/2024,849.40
15/05/2024,846.30
14/05/2024,849.12
13/05/2024,838.79
10/05/2024,837.99
09/05/2024,832.94
08/05/2024,829.14
07/05/2024,823.08
06/05/2024,813.65
02/05/2024,813.65
30/04/2024,813.54
29/04/2024,814.25
26/04/2024,818.59
25/04/2024,815.26
24/04/2024,816.99
23/04/2024,805.04
22/04/2024,806.46
19/04/2024,805.96
18/04/2024,807.23
17/04/2024,805.34
16/04/2024,805.73
15/04/2024,810.58
12/04/2024,809.86
11/04/2024,811.83
10/04/2024,805.67
09/04/2024,801.37
08/04/2024,798.26
05/04/2024,799.05
04/04/2024,798.58
03/04/2024,808.40
02/04/2024,807.70
28/03/2024,807.47
27/03/2024,803.52
26/03/2024,804.48
25/03/2024,805.51
22/03/2024,806.02
21/03/2024,811.02
20/03/2024,811.35
19/03/2024,809.24
18/03/2024,814.40
15/03/2024,813.82
14/03/2024,813.62
13/03/2024,809.41
12/03/2024,810.13
11/03/2024,813.81
08/03/2024,803.00
07/03/2024,797.24
06/03/2024,800.72
05/03/2024,794.35
01/03/2024,793.16
29/02/2024,788.42
28/02/2024,784.03
27/02/2024,783.41
26/02/2024,785.07
23/02/2024,785.45
22/02/2024,784.84
21/02/2024,780.01
20/02/2024,781.07
19/02/2024,781.73
16/02/2024,785.36
15/02/2024,780.69
14/02/2024,785.20
13/02/2024,780.02
12/02/2024,781.76
09/02/2024,781.02
08/02/2024,781.32
07/02/2024,781.87
06/02/2024,777.84
05/02/2024,778.98
02/02/2024,779.96
01/02/2024,783.52
31/01/2024,786.68
30/01/2024,787.71
29/01/2024,789.80
26/01/2024,787.72
25/01/2024,782.07
24/01/2024,783.72
23/01/2024,778.21
22/01/2024,781.82
19/01/2024,782.93
18/01/2024,777.23
17/01/2024,773.78
16/01/2024,774.57
15/01/2024,772.96
12/01/2024,777.54
11/01/2024,769.78
10/01/2024,763.63
09/01/2024,767.21
08/01/2024,758.55
05/01/2024,766.84
04/01/2024,764.52
03/01/2024,757.78
02/01/2024,768.87
29/12/2023,765.12
28/12/2023,742.09
26/12/2023,740.97
22/12/2023,740.97
21/12/2023,740.77
20/12/2023,742.27
19/12/2023,744.68
18/12/2023,743.83
15/12/2023,745.32
14/12/2023,748.21
13/12/2023,759.17
12/12/2023,755.51
11/12/2023,756.33
08/12/2023,755.99
07/12/2023,759.25
06/12/2023,756.56
05/12/2023,750.04
04/12/2023,748.61
01/12/2023,745.97
30/11/2023,746.23
29/11/2023,742.57
28/11/2023,746.58
27/11/2023,741.34
24/11/2023,748.79
23/11/2023,746.24
22/11/2023,740.72
21/11/2023,737.46
20/11/2023,746.53
17/11/2023,748.78
16/11/2023,748.33
15/11/2023,748.71
14/11/2023,748.52
13/11/2023,747.37
10/11/2023,742.21
09/11/2023,742.79
08/11/2023,745.84
07/11/2023,746.67
06/11/2023,752.78
03/11/2023,745.07
02/11/2023,746.91
01/11/2023,747.00
31/10/2023,747.00
30/10/2023,747.86
27/10/2023,747.05
26/10/2023,745.40
25/10/2023,742.64
24/10/2023,742.27
23/10/2023,740.00
20/10/2023,741.92
19/10/2023,750.20
18/10/2023,752.53
17/10/2023,749.65
16/10/2023,748.29
13/10/2023,750.41
12/10/2023,752.83
11/10/2023,751.89
10/10/2023,753.40
09/10/2023,755.71
06/10/2023,753.13
05/10/2023,753.57
04/10/2023,751.77
03/10/2023,747.79
02/10/2023,748.73
29/09/2023,755.73
28/09/2023,755.18
27/09/2023,743.79
26/09/2023,743.56
25/09/2023,741.81
21/09/2023,741.15
20/09/2023,740.06
19/09/2023,733.39
18/09/2023,740.97
15/09/2023,745.82
14/09/2023,751.96
13/09/2023,753.37
12/09/2023,755.65
11/09/2023,755.03
08/09/2023,756.68
07/09/2023,756.46
05/09/2023,745.93
04/09/2023,752.26
01/09/2023,758.33
31/08/2023,755.65
30/08/2023,757.88
29/08/2023,752.63
28/08/2023,746.62
25/08/2023,741.19
24/08/2023,733.41
23/08/2023,730.40
22/08/2023,729.22
21/08/2023,729.65
18/08/2023,727.72
17/08/2023,718.16
16/08/2023,710.30
15/08/2023,713.38
14/08/2023,708.55
11/08/2023,706.53
10/08/2023,706.48
09/08/2023,705.00
08/08/2023,705.09
07/08/2023,706.39
04/08/2023,695.21
03/08/2023,691.29
02/08/2023,688.55
01/08/2023,688.34
31/07/2023,687.14
28/07/2023,679.54
27/07/2023,677.81
26/07/2023,677.61
25/07/2023,677.22
24/07/2023,680.94
21/07/2023,682.70
20/07/2023,678.05
19/07/2023,672.01
18/07/2023,670.59
17/07/2023,672.04
14/07/2023,671.96
13/07/2023,671.89
12/07/2023,673.26
11/07/2023,672.53
10/07/2023,671.48
07/07/2023,672.49
06/07/2023,671.91
05/07/2023,673.73
04/07/2023,671.17
03/07/2023,668.79
30/06/2023,669.90
29/06/2023,668.81
28/06/2023,669.07
27/06/2023,670.14
26/06/2023,675.67
23/06/2023,678.45
22/06/2023,675.16
21/06/2023,677.81
20/06/2023,675.16
19/06/2023,685.44
16/06/2023,684.87
15/06/2023,686.69
14/06/2023,685.11
13/06/2023,690.42
12/06/2023,684.63
09/06/2023,683.34
08/06/2023,686.30
07/06/2023,681.64
06/06/2023,680.23
05/06/2023,683.65
02/06/2023,673.67
01/06/2023,672.12
31/05/2023,666.63
30/05/2023,666.25
29/05/2023,660.77
26/05/2023,663.38
25/05/2023,664.02
23/05/2023,661.82
22/05/2023,656.47
19/05/2023,657.00
18/05/2023,641.72
17/05/2023,638.54
16/05/2023,638.18
15/05/2023,635.39
12/05/2023,629.36
11/05/2023,631.43
10/05/2023,621.67
09/05/2023,617.95
05/05/2023,613.91
04/05/2023,613.72
03/05/2023,611.81
02/05/2023,609.55
28/04/2023,607.01
27/04/2023,603.87
26/04/2023,609.40
25/04/2023,610.08
24/04/2023,607.36
21/04/2023,608.95
20/04/2023,611.40
19/04/2023,616.31
18/04/2023,617.60
13/04/2023,615.55
12/04/2023,611.57
11/04/2023,612.84
06/04/2023,611.07
05/04/2023,610.43
04/04/2023,611.31
03/04/2023,610.93
31/03/2023,610.79
30/03/2023,606.66
29/03/2023,605.26
28/03/2023,601.64
27/03/2023,604.98
24/03/2023,601.32
23/03/2023,602.79
22/03/2023,607.58
21/03/2023,602.69
20/03/2023,595.64
17/03/2023,606.59
16/03/2023,624.38
15/03/2023,621.93
14/03/2023,627.46
13/03/2023,625.09
10/03/2023,632.75
09/03/2023,632.84
08/03/2023,631.96
07/03/2023,627.17
06/03/2023,629.17
02/03/2023,624.35
01/03/2023,622.05
28/02/2023,628.85
27/02/2023,626.30
24/02/2023,619.02
23/02/2023,617.55
22/02/2023,616.37
21/02/2023,614.14
20/02/2023,610.49
17/02/2023,607.30
16/02/2023,605.89
15/02/2023,607.59
14/02/2023,609.91
13/02/2023,612.35
10/02/2023,614.80
09/02/2023,613.40
08/02/2023,612.71
07/02/2023,611.42
06/02/2023,612.00
03/02/2023,611.28
02/02/2023,612.56
01/02/2023,615.10
31/01/2023,614.89
30/01/2023,614.77
27/01/2023,614.04
26/01/2023,616.38
25/01/2023,614.45
24/01/2023,615.34
23/01/2023,615.55
20/01/2023,617.74
19/01/2023,613.90
18/01/2023,613.54
17/01/2023,616.48
16/01/2023,619.61
13/01/2023,623.26
12/01/2023,617.62
11/01/2023,620.09
10/01/2023,617.38
09/01/2023,607.40
06/01/2023,604.72
05/01/2023,605.13
04/01/2023,603.42
03/01/2023,602.39
30/12/2022,601.49
29/12/2022,602.86
23/12/2022,602.95
22/12/2022,601.42
21/12/2022,600.68
20/12/2022,597.75
19/12/2022,597.75
16/12/2022,601.38
15/12/2022,602.48
14/12/2022,602.85
13/12/2022,601.58
12/12/2022,602.55
09/12/2022,603.83
08/12/2022,602.40
07/12/2022,606.11
06/12/2022,606.62
05/12/2022,602.61
02/12/2022,605.43
01/12/2022,601.80
30/11/2022,603.44
29/11/2022,598.64
28/11/2022,596.62
25/11/2022,595.75
24/11/2022,593.10
23/11/2022,591.70
22/11/2022,594.39
21/11/2022,592.14
18/11/2022,593.22
17/11/2022,588.89
16/11/2022,592.18
15/11/2022,595.14
14/11/2022,598.51
11/11/2022,596.43
10/11/2022,602.26
09/11/2022,597.45
08/11/2022,594.11
07/11/2022,592.98
04/11/2022,593.87
03/11/2022,593.83
02/11/2022,590.91
01/11/2022,590.21
31/10/2022,589.52
28/10/2022,587.80
27/10/2022,585.75
26/10/2022,582.75
25/10/2022,580.42
24/10/2022,580.18
21/10/2022,579.43
20/10/2022,579.85
19/10/2022,579.58
18/10/2022,579.88
17/10/2022,577.48
14/10/2022,581.70
13/10/2022,580.37
12/10/2022,582.72
11/10/2022,583.11
10/10/2022,583.83
07/10/2022,581.69
06/10/2022,582.54
05/10/2022,582.10
04/10/2022,583.54
03/10/2022,570.94
30/09/2022,587.15
29/09/2022,585.29
28/09/2022,590.37
27/09/2022,591.63
26/09/2022,591.74
23/09/2022,589.13
21/09/2022,599.98
20/09/2022,601.60
19/09/2022,606.48
16/09/2022,603.74
15/09/2022,605.10
14/09/2022,611.62
13/09/2022,613.73
12/09/2022,612.22
09/09/2022,605.20
07/09/2022,607.46
05/09/2022,609.60
02/09/2022,611.09
01/09/2022,615.79
31/08/2022,612.34
30/08/2022,612.10
29/08/2022,606.98
26/08/2022,607.75
25/08/2022,607.32
24/08/2022,617.07
23/08/2022,613.28
22/08/2022,610.75
19/08/2022,614.47
18/08/2022,613.90
17/08/2022,613.36
16/08/2022,614.64
15/08/2022,622.29
12/08/2022,619.18
11/08/2022,614.74
10/08/2022,617.13
09/08/2022,610.45
08/08/2022,607.91
05/08/2022,608.44
04/08/2022,606.93
03/08/2022,599.85
02/08/2022,596.54
01/08/2022,602.07
29/07/2022,599.72
28/07/2022,602.48
27/07/2022,604.98
26/07/2022,605.85
25/07/2022,597.74
22/07/2022,600.63
21/07/2022,608.83
20/07/2022,609.59
19/07/2022,602.58
18/07/2022,607.38
15/07/2022,606.89
14/07/2022,607.30
13/07/2022,598.12
12/07/2022,606.68
11/07/2022,609.69
08/07/2022,615.09
07/07/2022,610.96
06/07/2022,612.33
05/07/2022,610.10
04/07/2022,609.24
01/07/2022,609.99
30/06/2022,613.21
29/06/2022,612.50
28/06/2022,611.48
27/06/2022,613.67
24/06/2022,614.28
23/06/2022,606.43
22/06/2022,611.79
21/06/2022,616.25
20/06/2022,612.77
17/06/2022,612.79
16/06/2022,611.73
15/06/2022,611.68
14/06/2022,611.38
13/06/2022,615.09
10/06/2022,620.06
09/06/2022,620.31
08/06/2022,621.86
07/06/2022,618.57
06/06/2022,614.45
03/06/2022,615.66
02/06/2022,618.54
01/06/2022,621.96
31/05/2022,617.97
30/05/2022,612.92
27/05/2022,613.62
26/05/2022,610.42
25/05/2022,608.21
23/05/2022,614.46
20/05/2022,618.69
19/05/2022,613.99
18/05/2022,616.05
17/05/2022,609.43
16/05/2022,600.70
13/05/2022,599.63
12/05/2022,601.82
11/05/2022,608.08
10/05/2022,600.53
09/05/2022,603.95
05/05/2022,605.42
04/05/2022,602.52
03/05/2022,603.39
29/04/2022,619.03
28/04/2022,610.55
27/04/2022,613.46
26/04/2022,630.27
21/04/2022,635.25
20/04/2022,636.79
19/04/2022,637.08
14/04/2022,634.32
13/04/2022,631.06
12/04/2022,622.70
11/04/2022,621.02
08/04/2022,627.55
07/04/2022,623.70
06/04/2022,627.01
05/04/2022,636.04
04/04/2022,636.20
01/04/2022,635.10
31/03/2022,626.76
30/03/2022,623.20
29/03/2022,618.66
28/03/2022,610.83
25/03/2022,610.52
24/03/2022,597.23
23/03/2022,600.73
22/03/2022,597.16
21/03/2022,598.03
18/03/2022,601.96
17/03/2022,596.56
16/03/2022,589.67
15/03/2022,590.38
14/03/2022,589.73
11/03/2022,579.31
10/03/2022,570.49
09/03/2022,576.23
08/03/2022,547.27
07/03/2022,538.96
04/03/2022,574.42
02/03/2022,587.48
01/03/2022,592.93
28/02/2022,595.22
25/02/2022,607.24
24/02/2022,595.89
23/02/2022,607.44
22/02/2022,615.11
21/02/2022,621.37
18/02/2022,624.08
17/02/2022,623.99
16/02/2022,623.39
15/02/2022,621.02
14/02/2022,622.07
11/02/2022,622.52
10/02/2022,623.15
09/02/2022,629.29
08/02/2022,629.25
07/02/2022,630.00
04/02/2022,626.52
03/02/2022,625.36
02/02/2022,625.53
01/02/2022,620.33
31/01/2022,618.53
28/01/2022,614.44
27/01/2022,611.71
26/01/2022,610.90
25/01/2022,613.72
24/01/2022,609.94
21/01/2022,627.18
20/01/2022,634.56
19/01/2022,631.58
