country,quarter,date,GaR,GaR_st,prob_neg,ES,mean,std,iqr_05_95,scale_st,skew,skew_st,nu_st,n_train
Brazil,2010Q1,01/03/2010,0.06761933138806613,0.06764130389703757,0.0,0.058622332322939875,0.0914581834031297,0.01262639923220763,0.056713704121108946,0.011945294122829062,0.30467432017983936,0.630162418812698,2.1,44
Brazil,2011Q1,01/03/2011,0.03095553061332647,0.03127767498317136,0.0,0.025932138308636134,0.05613296170892267,0.012391110271089426,0.06382398595414555,0.014336585111621733,0.23788114212016542,0.7832398691215232,2.1,64
Brazil,2012Q1,01/03/2012,-0.0009350359209207952,3.7420300576251176e-05,0.06969664118085639,-0.005458686963266367,0.022703057373997314,0.009576785756273824,0.07235983953352702,0.017574083578118606,0.514877837872137,0.9178501058779572,2.1,84
Brazil,2013Q1,01/03/2013,0.012262496377783219,0.012487732438756326,0.0,0.011648057001828763,0.03296798276344527,0.008724383559893615,0.04502311454592439,0.009004900250926106,0.3488482986930817,0.5106272233995043,2.1,104
Brazil,2014Q1,01/03/2014,0.014333947389901267,0.014331850001474576,0.0,0.011234028517727026,0.03567697306610145,0.009333102303845882,0.039584057842611486,0.0078786892665343,0.45698240979760574,-0.4232607912707897,2.123378045805858,124
Brazil,2015Q1,01/03/2015,-0.042536913005580164,-0.042044754317494715,0.8756231025227806,-0.04731926386472654,-0.012038886923436366,0.010041737440096817,0.0572533396406194,0.010611769240956996,-0.4490604494801417,0.020095681133317098,2.1000000000000414,144
Brazil,2016Q1,01/03/2016,-0.056523010949147974,-0.05665608775689932,0.962829103494331,-0.0724675222846489,-0.03971555978748735,0.010029769623881971,0.04003002733915058,0.009359631866629631,-0.28027015562452867,0.8146029447743819,2.100000929917458,164
Brazil,2017Q1,01/03/2017,-0.010132875282614456,-0.010132875341552038,0.2373486191802706,-0.014010003814469828,0.007330687839545615,0.010772297281768208,0.0402313083487324,0.012013064642655353,0.12806774219098552,0.7277924317529224,5.044115727113221,184
Brazil,2018Q1,01/03/2018,-0.01149035381190947,-0.011251128357517579,0.09730322505469785,-0.016995148221193173,0.02101820000927505,0.011926941713663743,0.05883291670725018,0.01137737368875974,-0.032411413813686195,-0.3555389801480774,2.1000000000000205,204
Brazil,2019Q1,01/03/2019,-0.00946258602938662,-0.009462585886648143,0.1402861610439859,-0.010867741277995014,0.012420671819589111,0.010340389132226973,0.040379535235676625,0.00991974860939074,-0.07249333680880726,-0.44026713937539413,3.7947519156066716,224
