country,quarter,debt_gdp,fisc_bal,res_gdp,ca_gdp,infl_yoy,reer
brazil,2009Q4,61.3187804637225,-2.48178858446383,13.600015728559034,-2.84265171226522,4.96338084992436,162.65666666666667
brazil,2010Q1,61.3187804637225,-2.48178858446383,13.31478774301684,-3.3842985554707647,5.00105387550255,160.74
brazil,2010Q2,61.3187804637225,-2.48178858446383,13.064543862593611,-3.92594539867631,5.03872690108074,166.72
brazil,2010Q3,60.824499923652674,-2.5405765683476926,13.17513197560025,-3.743113511952843,5.4381575813432805,168.74666666666667
brazil,2010Q4,60.33021938358284,-2.599364552231555,13.276384413283473,-3.560281625229375,5.83758826160582,170.96
brazil,2011Q1,59.83593884351302,-2.6581525361154177,13.36943545330842,-3.3774497385059075,6.23701894186836,174.60333333333332
brazil,2011Q2,59.3416583034432,-2.71694051999928,13.455242773715469,-3.19461785178244,6.6364496221309,179.99666666666667
brazil,2011Q3,59.468616227674474,-2.498551813353465,13.857218139283967,-3.3358172309024425,6.328212001690668,177.42999999999998
brazil,2011Q4,59.59557415190575,-2.28016310670765,14.271133057736574,-3.477016610022445,6.019974381250435,166.57
brazil,2012Q1,59.72253207613702,-2.061774400061835,14.697527494645703,-3.6182159891424477,5.7117367608102025,170.81000000000003
brazil,2012Q2,59.8494900003683,-1.84338569341602,15.136974473817375,-3.75941536826245,5.40349914036997,156.65333333333334
brazil,2012Q3,59.194219846341426,-2.094977654473255,14.979973850741292,-3.7131167879532225,5.603702021877727,153.45333333333335
brazil,2012Q4,58.538949692314546,-2.34656961553049,14.823214578608294,-3.666818207643995,5.803904903385485,151.11666666666667
brazil,2013Q1,57.88367953828767,-2.598161576587725,14.666696101316704,-3.6205196273347675,6.004107784893242,158.65
brazil,2013Q2,57.2284093842608,-2.84975353764496,14.510417864471984,-3.57422104702554,6.204310666401,156.36333333333334
brazil,2013Q3,57.53562481463908,-3.4800967415604025,14.583211538590055,-3.805373362532235,6.235493038591095,142.5
brazil,2013Q4,57.84284024501735,-4.110439945475845,14.656252969084694,-4.03652567803893,6.26667541078119,144.51666666666665
brazil,2014Q1,58.15005567539562,-4.740783149391287,14.72954342298619,-4.267677993545624,6.297857782971285,144.02666666666667
brazil,2014Q2,58.4572711057739,-5.37112635330673,14.803084175979084,-4.49883030905232,6.32904015516138,154.51666666666668
brazil,2014Q3,60.72734183702907,-6.03589243167474,15.781041250304574,-4.253720749993264,7.004255372411375,153.67
brazil,2014Q4,62.99741256828425,-6.70065851004275,16.90915825788816,-4.00861119093421,7.67947058966137,143.63666666666668
brazil,2015Q1,65.26748329953942,-7.36542458841076,18.224895455553053,-3.7635016318751546,8.354685806911364,137.67333333333332
brazil,2015Q2,67.5375540307946,-8.03019066677877,19.77930345791751,-3.5183920728161,9.02990102416136,130.72666666666666
brazil,2015Q3,69.00786647358503,-7.7877124528330475,19.915487440586016,-3.06382245513118,8.957211648944503,117.84333333333332
brazil,2015Q4,70.47817891637544,-7.545234238887325,20.05191816323756,-2.60925283744626,8.884522273727644,111.80333333333333
brazil,2016Q1,71.94849135916587,-7.302756024941603,20.188596297050434,-2.15468321976134,8.811832898510787,117.19
brazil,2016Q2,73.4188038019563,-7.06027781099588,20.325522515639435,-1.70011360207642,8.73914352329393,128.45000000000002
brazil,2016Q3,75.98140351375737,-7.2242837475699355,19.715307799474306,-1.5811600587810224,7.41595098005212,141.04666666666665
brazil,2016Q4,78.54400322555844,-7.38828968414399,19.14744078144177,-1.462206515485625,6.09275843681031,142.28333333333333
brazil,2017Q1,81.10660293735953,-7.552295620718045,18.617661024381846,-1.3432529721902275,4.769565893568499,149.87666666666667
brazil,2017Q2,83.6692026491606,-7.7163015572921,18.122261048837345,-1.22429942889483,3.44637335032669,144.01666666666668
brazil,2017Q3,84.40387301717877,-7.483991796147215,18.459208536649182,-1.6201046626007298,3.500992583686837,143.16
brazil,2017Q4,85.13854338519695,-7.2516820350023306,18.808564197660772,-2.01590989630663,3.5556118170469846,139.64333333333332
brazil,2018Q1,85.87321375321513,-7.019372273857445,19.171026289622365,-2.4117151300125297,3.6102310504071324,137.09333333333333
brazil,2018Q2,86.6078841212333,-6.78706251271256,19.547346463526303,-2.80752036371843,3.66485028376728,127.24666666666667
brazil,2018Q3,88.09722638970669,-6.417022969114358,19.425473025133503,-2.959213051531625,3.6818817658676926,122.03333333333335
brazil,2018Q4,89.5865686581801,-6.046983425516155,19.302196177289698,-3.11090573934482,3.698913247968105,128.97666666666666
brazil,2019Q1,91.0759109266535,-5.6769438819179525,19.177491538589745,-3.262598427158015,3.715944730068517,129.68333333333334
brazil,2019Q2,92.5652531951269,-5.30690433831975,19.051334159568626,-3.41429111497121,3.73297621216893,126.37666666666667
brazil,2019Q3,94.10141038314146,-7.089262959862888,20.09976164913399,-2.9709771738939375,3.6026741686351373,126.37666666666667
brazil,2019Q4,95.637567571156,-8.871621581406025,21.272514661038176,-2.527663232816665,3.472372125101345,122.56666666666666
brazil,2020Q1,97.17372475917054,-10.653980202949162,22.59310133928119,-2.084349291739392,3.3420700815675524,114.90333333333332
brazil,2020Q2,98.7098819471851,-12.4363388244923,24.091355238663247,-1.64103535066212,3.21176803803376,96.86666666666667
brazil,2020Q3,95.28528737962583,-10.461394626299262,23.43105455631248,-1.8203317330607376,4.4842409674895025,94.32
brazil,2020Q4,91.86069281206655,-8.486450428106224,22.81157529736746,-1.999628115459355,5.756713896945245,93.91333333333334
brazil,2021Q1,88.43609824450726,-6.511506229913188,22.22924544614702,-2.1789244978579725,7.029186826400988,92.69
brazil,2021Q2,85.011503676948,-4.53656203172015,21.68082057841419,-2.35822088025659,8.30165975585673,96.66666666666667
brazil,2021Q3,83.53420822972045,-4.519015903860535,20.266094176338605,-2.3060849367410503,8.54627133928473,100.48333333333333
brazil,2021Q4,82.0569127824929,-4.501469776000921,18.961214916413788,-2.25394899322551,8.790882922712726,96.53666666666668
brazil,2022Q1,80.57961733526535,-4.483923648141305,17.753867218543313,-2.20181304970997,9.035494506140722,104.68333333333334
brazil,2022Q2,79.1023218880378,-4.46637752028169,16.63351020386791,-2.14967710619443,9.28010608956872,115.07333333333332
brazil,2022Q3,80.08467887911583,-5.066955602219265,16.516188705686016,-1.9211532863033127,8.108470272884547,109.19
brazil,2022Q4,81.06703587019385,-5.66753368415684,16.405641011037314,-1.6926294664121952,6.936834456200375,110.16000000000001
brazil,2023Q1,82.04939286127188,-6.268111766094416,16.301296930759417,-1.4641056465210776,5.765198639516203,109.5
brazil,2023Q2,83.0317498523499,-6.86868984803199,16.202648523805852,-1.23558182662996,4.59356282283203,116.52666666666666
brazil,2023Q3,82.73767316898883,-6.574138403850723,15.923758817082682,-1.6834762736277025,4.537038136254862,119.90666666666668
brazil,2023Q4,82.44359648562775,-6.279586959669455,15.64453075494754,-2.131370720625445,4.480513449677695,119.31333333333333
chile,2009Q4,,-2.333406925004671,13.661407626013375,1.1683152570545015,0.8818781289520681,114.97333333333331
chile,2010Q1,,-1.3791681563014313,13.217919984033806,1.0325984688992873,1.146294604247634,115.65333333333335
chile,2010Q2,,-0.424929387598192,12.820684452218835,0.896881680744073,1.4107110795432,115.43333333333334
chile,2010Q3,,0.0038641577131734994,13.897087083024424,-0.5566234935991553,1.8933375453056551,118.86666666666667
chile,2010Q4,,0.432657703024539,14.894600503519355,-2.0101286679423835,2.3759640110681097,122.27333333333333
chile,2011Q1,,0.8614512483359044,15.8215907883367,-3.4636338422856117,2.8585904768305648,120.22333333333334
chile,2011Q2,,1.29024479364727,16.68528145574808,-4.91713901662884,3.34121694259302,120.82333333333334
chile,2011Q3,,1.1030353719711612,16.40084564641262,-5.019977059975953,3.2577748074773822,120.76666666666667
chile,2011Q4,,0.9158259502950525,16.124992285235304,-5.122815103323065,3.1743326723617447,114.50333333333333
chile,2012Q1,,0.7286165286189438,15.857338700655133,-5.225653146670178,3.0908905372461075,119.68666666666667
chile,2012Q2,,0.541407106942835,15.5975246378633,-5.32849119001729,3.00744840213047,119.55666666666667
chile,2012Q3,,0.25471076473835425,15.395988652020378,-5.19038474668036,2.7029751865593274,123.46666666666665
chile,2012Q4,,-0.031985577466126514,15.198291571011996,-5.05227830334343,2.398501970988185,123.42
chile,2013Q1,,-0.3186819196706072,15.004324743107427,-4.9141718600065,2.0940287554170425,123.99666666666667
chile,2013Q2,,-0.605378261875088,14.81398357845179,-4.77606541666957,1.7895555398459,121.56666666666666
chile,2013Q3,,-0.8442434362660285,14.996815326670356,-4.447124042196325,2.5218354745211027,117.87
chile,2013Q4,,-1.0831086106569692,15.185719506972392,-4.1181826677230795,3.254115409196305,115.60666666666667
chile,2014Q1,,-1.3219737850479096,15.381003755740421,-3.7892412932498347,3.9863953438715076,109.94333333333333
chile,2014Q2,,-1.56083895943885,15.582996846585601,-3.46029991877659,4.71867527854671,110.36333333333333
chile,2014Q3,,-1.7070500419802426,15.66723122718685,-3.2789919930959224,4.6261998419526424,107.36333333333333
chile,2014Q4,,-1.853261124521635,15.754336663840508,-3.097684067415255,4.533724405358575,108.22333333333334
chile,2015Q1,,-1.9994722070630275,15.844462487653221,-2.9163761417345877,4.441248968764508,107.93
chile,2015Q2,,-2.14568328960442,15.93776856858264,-2.73506821605392,4.34877353217044,110.78000000000002
chile,2015Q3,,-2.2927344637635425,16.014894555774156,-2.7064657929554103,4.208128538860625,104.68333333333334
chile,2015Q4,,-2.439785637922665,16.09093930890348,-2.6778633698569,4.06748354555081,103.82333333333334
chile,2016Q1,,-2.5868368120817875,16.165925406537866,-2.64926094675839,3.9268385522409948,105.22666666666667
chile,2016Q2,,-2.73388798624091,16.239874802936058,-2.62065852365988,3.78619355893118,107.24333333333334
chile,2016Q3,,-2.689952908318095,15.667171212188123,-2.6549438448758274,3.3853247863696825,110.55
chile,2016Q4,,-2.64601783039528,15.123685248428625,-2.689229166091775,2.984456013808185,112.32666666666667
chile,2017Q1,,-2.602082752472465,14.607236633187364,-2.723514487307723,2.5835872412466876,114.49000000000001
chile,2017Q2,,-2.55814767454965,14.11585675211627,-2.75779980852367,2.18271846868519,111.64999999999999
chile,2017Q3,,-2.350075660459037,13.946509499852732,-3.1892687433372924,2.245761304896535,112.33333333333333
chile,2017Q4,,-2.142003646368425,13.782995519020586,-3.620737678150915,2.3088041411078803,113.95
chile,2018Q1,,-1.9339316322778124,13.625018516624307,-4.052206612964538,2.3718469773192252,116.73666666666666
chile,2018Q2,,-1.7258596181872,13.47230193197001,-4.48367554777816,2.43488981353057,115.84666666666665
chile,2018Q3,,-2.005693465798985,13.743700471143294,-4.665869107870687,2.4655535494062426,113.31333333333333
chile,2018Q4,,-2.28552731341077,14.023405573544528,-4.848062667963214,2.496217285281915,112.04333333333334
chile,2019Q1,,-2.5653611610225546,14.311804518221935,-5.030256228055742,2.5268810211575876,112.47333333333331
chile,2019Q2,,-2.84519500863434,14.609309039229549,-5.21244978814827,2.55754475703326,111.19333333333333
chile,2019Q3,,-3.9386578593880497,14.797785390409109,-4.396690149516255,2.6795312797857602,109.29
chile,2019Q4,,-5.0321207101417595,14.99484520880224,-3.5809305108842397,2.8015178025382603,102.58999999999999
chile,2020Q1,,-6.12558356089547,15.201088511204935,-2.7651708722522246,2.92350432529076,97.44333333333333
chile,2020Q2,,-7.21904641164918,15.417172573203919,-1.94941123362021,3.04549084804326,98.92333333333333
chile,2020Q3,,-7.345065618196703,15.661998696769984,-3.2825791657804877,3.4152602316803025,101.32000000000001
chile,2020Q4,,-7.471084824744225,15.880473177774565,-4.6157470979407655,3.7850296153173453,102.31333333333333
chile,2021Q1,,-7.597104031291748,16.076633247794156,-5.948915030101043,4.154798998954387,106.25333333333333
chile,2021Q2,,-7.72312323783927,16.25373150414145,-7.28208296226132,4.52456838259143,107.67333333333333
chile,2021Q3,,-5.509342418373407,15.463305386904388,-7.673891007859055,6.304392964707548,101.2
chile,2021Q4,,-3.295561598907545,14.654804244076248,-8.06569905345679,8.084217546823664,96.87666666666667
