country,HHI
brazil,0.64919185
bulgaria,0.53345475
chile,0.52736925
china,0.46982204999999994
colombia,0.6844536999999999
indonesia,0.4174893
mexico,0.50834935
peru,0.73615645
poland,0.4660898
southafrica,0.77374
turkey,0.4417034
