country,time,quarter,EMBI,JLoss,D,HHI,HHI_anual,debt,growth_q,gfac
brazil,0,2007Q4,209.60932558139527,4.860112167475402,-0.045564118077144,0.64919185,0.4800673,,1.28630967274397,0.8269733790232414
brazil,1,2008Q1,257.84786885245904,5.724853446479616,-0.0422068864988195,0.64919185,0.5131218,,1.14094132385888,0.1902972462427637
brazil,2,2008Q2,214.303953125,4.4451942076872095,-0.0453026680701201,0.64919185,0.5131218,,1.1948270182869,0.3134534703573778
brazil,3,2008Q3,252.53071875,8.83659952320885,-0.0467696963903762,0.64919185,0.5131218,,1.38927773339185,0.3706815146279741
brazil,4,2008Q4,481.57249999999993,23.632048872232712,0.0164549710641318,0.64919185,0.5131218,,-0.40614193250059,-1.5971205281930674
brazil,5,2009Q1,429.8823278688525,12.613062624724868,0.0589199333014301,0.64919185,0.6640308,,-1.4481414404379,-1.6368842577085512
brazil,6,2009Q2,324.0510793650794,5.42865989146263,0.0316614433281703,0.64919185,0.6640308,,-1.38094374791865,-0.6085899817311654
brazil,7,2009Q3,253.6718125,2.7653110671846104,0.0236447831846207,0.64919185,0.6640308,,-1.06710160111864,-0.3763119187164372
brazil,8,2009Q4,215.8552096774193,4.709937416576495,-0.029862474547377,0.64919185,0.6640308,61.3187804637225,0.889624086321294,-0.1221161909784199
brazil,9,2010Q1,203.3946721311476,6.386116338900138,-0.0642274274089133,0.64919185,0.6185835000000001,61.3187804637225,2.06135439088386,0.1949266189149057
brazil,10,2010Q2,212.25806349206349,6.625570470660924,-0.0409862128423152,0.64919185,0.6185835000000001,61.3187804637225,1.85291940649388,0.2521909958239118
brazil,11,2010Q3,211.086203125,2.468044386947785,-0.0422394537431596,0.64919185,0.6185835000000001,60.824499923652674,1.36703626198725,0.0470563665538009
brazil,12,2010Q4,179.17358064516128,2.4713791639716227,-0.0403552115479453,0.64919185,0.6185835000000001,60.33021938358284,0.999715081018009,0.1222053256908528
brazil,13,2011Q1,173.29375806451614,3.567475817755501,-0.0358598988651239,0.64919185,0.6203946,59.83593884351302,0.850661583506529,0.3740358977082938
brazil,14,2011Q2,172.5560634920635,3.0209797701458587,-0.0307117014881231,0.64919185,0.6203946,59.3416583034432,0.70135444261863,0.2773539009209815
brazil,15,2011Q3,204.70584375,18.655215000678545,0.0078233658406393,0.64919185,0.6203946,59.46861622767448,0.350613160026187,-0.0007378385254411
brazil,16,2011Q4,230.6918524590164,14.965791228148268,-0.0089892609565494,0.64919185,0.6203946,59.59557415190575,0.0581213872539691,-0.0757393630812463
brazil,17,2012Q1,201.2404677419355,7.051399505076144,-0.0098587198374738,0.64919185,0.493904,59.72253207613702,-0.201510172598575,-0.0175043092385033
brazil,18,2012Q2,205.7212857142857,12.05760373845852,0.0022692164334935,0.64919185,0.493904,59.8494900003683,-0.418827857164534,-0.068035096670408
