country,quarter,EMBI_bps,JLoss,GaR,GaR_st,prob_neg,ES,skew,std,VIX,g_GDP,debt_gdp,fisc_bal,res_gdp,ca_gdp,infl_yoy,reer,JLoss_x_GaR,profit_margin,UST10Y_log,US_HY_spread_log,OnOffRun_spread_log,X_control_idx,X_control_idx_ncomp,debt_gdp_log,X_dom_idx,X_global_idx
brazil,2010Q1,203.3946721311476,6.386116338900138,0.0676193313880661,0.0676413038970375,0.0,0.0586223323229398,0.3046743201798393,0.0126263992322076,-0.260304407306969,2.06135439088386,61.3187804637225,-2.48178858446383,13.31478774301684,-3.3842985554707647,5.00105387550255,160.74,0.4318249170028318,16.704611778259277,1.5513571833246549,,-0.3860989243431428,-0.2012198759870943,4,4.116086165738696,0.3915046866189702,-0.7939444385931588
brazil,2010Q2,212.25806349206349,6.625570470660924,0.0138233706245373,0.0132768335520343,0.0,0.0134385487654249,-0.2463072127513855,0.0168858984059716,1.92935301396009,1.85291940649388,61.3187804637225,-2.48178858446383,13.064543862593611,-3.92594539867631,5.03872690108074,166.72,0.091587716214936,18.989770889282227,1.5024093396755769,,-0.3188029985454527,-0.052090431241244,4,4.116086165738696,0.4088527255735199,-0.513033588056008
brazil,2010Q3,211.086203125,2.468044386947785,0.04996007966457,0.0501986164836777,0.0,0.0264722581898923,0.3569530526737096,0.0106430852507231,0.529005730978679,1.36703626198725,60.824499923652674,-2.5405765683476926,13.17513197560025,-3.743113511952843,5.4381575813432805,168.74666666666667,0.1233036941876061,17.05369428326102,1.330922035098563,,-0.2596778730128791,-0.0811447741852536,4,4.1079926670764415,0.3854267516420654,-0.5477163000125727
brazil,2010Q4,179.17358064516128,2.4713791639716227,0.0443947960015794,0.0445586103178162,0.0,0.0325202368675042,0.7348386382139208,0.0118857802169807,-0.239635074716838,0.999715081018009,60.33021938358284,-2.599364552231555,13.276384413283472,-3.560281625229375,5.83758826160582,170.96,0.109716373827074,17.15754727756276,1.3554193705016715,,-0.2481657195954341,-0.025115328735615,4,4.099833128838945,0.37741591250840467,-0.4276465699796348
brazil,2011Q1,173.29375806451614,3.567475817755501,0.0309555306133264,0.0312776749831713,0.0,0.0259321383086361,0.2378811421201654,0.0123911102710894,-0.240926908003721,0.850661583506529,59.83593884351302,-2.6581525361154177,13.36943545330842,-3.3774497385059075,6.23701894186836,174.60333333333332,0.110433106888832,18.94373557146858,1.4945699785755024,,-0.2589734143346897,0.0984900168069853,4,4.091606464443255,0.38210431958798796,-0.1851242859740172
brazil,2011Q2,172.5560634920635,3.0209797701458587,0.0287761601309914,0.0292687385120505,0.0,0.0266635047668041,0.4777251355922878,0.0112466642626355,-0.398530569003474,0.70135444261863,59.3416583034432,-2.71694051999928,13.455242773715469,-3.19461785178244,6.6364496221309,179.99666666666667,0.0869321976182028,17.96540624955121,1.4354246035105904,,-0.2498705778622153,0.0517659998538012,4,4.083311560266658,0.36573199461536243,-0.2621999949077599
brazil,2011Q3,204.70584375,18.655215000678545,-0.0155343190907843,-0.0153352000178469,0.2036474604422134,-0.0461353683029256,-0.6548961066572356,0.0132174876380531,3.01707664151577,0.350613160026187,59.46861622767448,-2.498551813353465,13.857218139283969,-3.3358172309024425,6.328212001690668,177.42999999999998,-0.2897960625277264,,1.2279486967191036,,-0.1913572555557563,-0.0910358012326555,3,4.085448715038077,0.4854070979174929,-0.37925725080772976
brazil,2011Q4,230.6918524590164,14.965791228148268,0.0040502807002567,0.0042214741270266,0.0407631721963852,-0.0069120344645656,0.1895498170594257,0.0134705452652417,0.490250732372183,0.0581213872539691,59.59557415190575,-2.28016310670765,14.271133057736574,-3.477016610022445,6.019974381250435,166.57,0.0606156553754399,,1.1140660325699498,,-0.1254386989113021,-0.0023667842858943,3,4.087581312117742,0.4900066857181907,-0.24855351928793687
brazil,2012Q1,201.2404677419355,7.051399505076144,-0.0009350359209207,3.7420300576251176e-05,0.0696966411808563,-0.0054586869632663,0.514877837872137,0.0095767857562738,-0.530297564265563,-0.201510172598575,59.72253207613702,-2.061774400061835,14.697527494645705,-3.618215989142448,5.7117367608102025,170.81000000000003,-0.0065933118300086,,1.1118575154181305,,-0.098174925320081,0.1007718524747691,3,4.089709370903736,0.4945964853219532,-0.0961404639488229
brazil,2012Q2,205.7212857142857,12.05760373845852,-0.0093988499414707,-0.0090164140446655,0.2197271671321384,-0.0220381543441249,0.2205770409704061,0.0119930751946988,-0.326187904938014,-0.418827857164534,59.8494900003683,-1.84338569341602,15.136974473817377,-3.75941536826245,5.40349914036997,156.65333333333334,-0.1133276081914877,,1.038784875038435,,-0.0569258922141058,0.1541812311896548,3,4.091832910670571,0.4991765383000654,-0.01831642236555045
brazil,2012Q3,177.64906349206348,7.750347718050947,0.0101417885991805,0.0108727881623783,0.0,0.010123395096177,0.3222721255689124,0.0095516431304347,-0.500585398667249,0.0333227012341724,59.19421984634143,-2.094977654473255,14.979973850741292,-3.713116787953224,5.603702021877727,153.45333333333335,0.0786023881266137,,0.9712598019955756,,-0.0448861362275025,0.0939365570594062,3,4.080823899392367,0.4754322902863062,-0.09681130955404377
brazil,2012Q4,147.9453606557377,7.854454244444137,0.0147215032106498,0.0153562755529732,0.0,0.0146989297778125,0.4669490544547017,0.009634109726196,-0.204755575970991,0.0325177326487524,58.53894969231455,-2.34656961553049,14.823214578608294,-3.666818207643995,5.803904903385485,151.11666666666667,0.1156293733774863,,0.9958591783015855,,-0.031236935565726,0.1743465811201061,3,4.069692339393092,0.4514237290519174,0.035808007154200516
