country,quarter,EMBI_bps,embi_source,JLoss,GaR,prob_neg,ES,ER,mean,std,iqr_05_95,skew,kurt,n_train,JLoss_x_GaR,debt_gdp,fisc_bal,res_gdp,ca_gdp,infl_yoy,reer,VIX,g_GDP,profit_margin,UST10Y_log,US_HY_spread_log,OnOffRun_spread_log,X_control_idx,X_control_idx_ncomp,debt_gdp_log,X_dom_idx,X_global_idx
brazil,2007Q4,209.60932558139527,BCRP_real,4.860112167475402,0.0488095763567575,0.0,0.0411108249758878,0.0797705469894272,0.0627093832120071,0.0067634255215107,0.0305549512492351,-0.0254827486684073,1.3614076438144227,165,0.2372200159407968,,,,,,,0.373985736552693,1.28630967274397,-139.49685721609225,1.6613874430644424,,-0.2061774066646915,-0.4806642595100761,3,,-3.095939536576711,0.8269733790232414
brazil,2008Q1,257.84786885245904,BCRP_real,5.724853446479616,0.0410131769566399,0.0,0.0345224600656683,0.0749188162696489,0.0553611720607197,0.0075869580712943,0.0319823984954522,0.2330751408327392,1.1532584920680151,175,0.2347944274512983,,,,,,,0.775745888773375,1.14094132385888,19.67719423069673,1.5401405449442342,,-0.3784058460241801,0.2324100925488386,3,,0.31663578516098856,0.19029724624276378
brazil,2008Q2,214.303953125,BCRP_real,4.4451942076872095,0.0437127563004621,0.0,0.038902491270464,0.072737230155859,0.0573666740831743,0.0057291168271908,0.0262071946753884,-0.1806929483649646,1.4608996377047023,185,0.1943116911088566,,,,,,,0.56130156315076,1.1948270182869,20.94877066331751,1.5854653530431908,,-0.364021071138336,0.3236014650627307,3,,0.3438974544734365,0.3134534703573778
brazil,2008Q3,252.53071875,BCRP_real,8.83659952320885,0.0432067386922647,0.0,0.0409072516008731,0.0793618441150241,0.0579590174000421,0.0060608364335242,0.0334813219452986,-0.2583859020018035,1.5083512081207304,195,0.3818006465274756,,,,,,,2.55589215809846,1.38927773339185,19.00520008188837,1.581488439527145,,-0.3356650752142703,0.3478639170103642,3,,0.30222872177514415,0.3706815146279741
brazil,2008Q4,481.57249999999993,BCRP_real,23.632048872232712,-0.0193461852360913,0.0878589803865325,-0.0261856507999919,0.039089867941936,0.0163154249759847,0.0078001996294247,0.0479591913006291,-0.0109079955585665,1.6366280290092086,206,-0.4571899949905765,,,,,,,2.63469398859833,-0.40614193250059,11.642305703724132,1.4433071550387766,,-1.0727322974290805,-1.0166224694981962,3,,0.14437364789154605,-1.5971205281930674
brazil,2009Q1,429.8823278688525,BCRP_real,12.613062624724868,-0.0427039533200318,0.5109946363044586,-0.0480243319006435,0.0332213640871966,-0.0049318741553293,0.0222552837534703,0.0689132355201732,-0.3019289364411852,1.5385939019544417,217,-0.5386276375488885,,,,,,,3.16951296936799,-1.4481414404379,11.68245293112362,1.3180769500099287,,-0.9816514743479056,-1.042844713437988,3,,0.1452343751031386,-1.6368842577085512
brazil,2009Q2,324.0510793650794,BCRP_real,5.42865989146263,-0.0365463037191302,0.3515596242245639,-0.0400805960215709,0.0299994075109227,0.001752030584524,0.0129701858465553,0.0606217460585606,-0.1555988220874818,1.746859012435281,228,-0.1983974531812536,,,,,,,0.871341552002734,-1.38094374791865,14.971423499724445,1.4634391008438934,,-0.6598075739928725,-0.3338108210989883,3,,0.2157475001653656,-0.6085899817311654
brazil,2009Q3,253.6718125,BCRP_real,2.7653110671846104,-0.0185427848331629,0.2551304106376464,-0.0255520038305497,0.0344776266203941,0.0088656251489384,0.0136596691180849,0.0530188104973101,-0.143687564294172,1.4761885595281263,239,-0.0512765681155683,,,,,,,0.775745888773375,-1.06710160111864,9.64888219272389,1.5080279165206243,,-0.5972803551293554,-0.2169959108706053,3,,0.10163610482105852,-0.3763119187164372
brazil,2009Q4,215.8552096774193,BCRP_real,4.709937416576495,0.0307921596207882,0.0,0.0228926221011825,0.0750596558351689,0.0517673734775626,0.0132134527600487,0.0428223017189594,-0.0152302485213702,1.2664267114899892,251,0.1450291447351462,61.3187804637225,-2.48178858446383,13.600015728559034,-2.84265171226522,4.96338084992436,162.65666666666667,0.268055407028269,0.889624086321294,16.37340596142937,1.4960524513218334,,-0.4762528226232063,0.183208560413246,4,4.116086165738696,0.488533311804912,-0.12211619097841997
brazil,2010Q1,203.3946721311476,BCRP_real,6.386116338900138,0.0618091814650133,0.0,0.0547759893974481,0.0945915894593049,0.0773649037971498,0.0094373965927206,0.0320895450671524,-0.0769049265403534,1.1086557857431063,263,0.394720623647765,61.3187804637225,-2.48178858446383,13.31478774301684,-3.3842985554707647,5.00105387550255,160.74,-0.260304407306969,2.06135439088386,16.704611778259277,1.5513571833246549,,-0.3860989243431428,0.3435051680180311,4,4.116086165738696,0.4920837171211565,0.1949266189149057
brazil,2010Q2,212.25806349206349,BCRP_real,6.625570470660924,0.0439463001327915,0.0,0.0396641849414744,0.0963123727700407,0.0652740067505867,0.0205413168797645,0.0509411485139181,-0.0832465862319661,0.9250325583595288,276,0.2911693084546256,61.3187804637225,-2.48178858446383,13.064543862593611,-3.92594539867631,5.03872690108074,166.72,1.92935301396009,1.85291940649388,18.989770889282227,1.5024093396755769,,-0.3188029985454527,0.3843853917484471,4,4.116086165738696,0.5165797876729823,0.25219099582391186
brazil,2010Q3,211.086203125,BCRP_real,2.468044386947785,0.0458589347208076,0.0,0.0423610717356089,0.0910502855237083,0.065670457164308,0.0127410155831032,0.0390883962533668,-0.1164465430946792,1.3795397378628953,289,0.113181886429094,60.824499923652674,-2.5405765683476926,13.17513197560025,-3.743113511952843,5.4381575813432805,168.74666666666667,0.529005730978679,1.36703626198725,17.05369428326102,1.330922035098563,,-0.2596778730128791,0.2683496575837556,4,4.1079926670764415,0.4896429486137103,0.04705636655380094
brazil,2010Q4,179.17358064516128,BCRP_real,2.4713791639716227,0.0397165202892523,0.0,0.0371617007435716,0.0820050420199324,0.060232558250312,0.0105420986066212,0.0395213507821135,-0.0914142655303634,1.5202326872853955,302,0.0981545807083143,60.33021938358284,-2.599364552231555,13.276384413283472,-3.560281625229375,5.83758826160582,170.96,-0.239635074716838,0.999715081018009,17.15754727756276,1.3554193705016715,,-0.2481657195954341,0.3033641429738359,4,4.099833128838945,0.48452296025681907,0.12220532569085285
brazil,2011Q1,173.29375806451614,BCRP_real,3.567475817755501,0.0314481207103018,0.0,0.0275863981209494,0.080438377479799,0.0547025322901627,0.0114293830896947,0.0435146124355301,-0.0301082522138344,1.5054142209207122,315,0.1121904101478576,59.83593884351302,-2.6581525361154177,13.36943545330842,-3.3774497385059075,6.23701894186836,174.60333333333332,-0.240926908003721,0.850661583506529,18.94373557146858,1.4945699785755024,,-0.2589734143346897,0.4357108050128505,4,4.091606464443255,0.4973857123174072,0.3740358977082938
brazil,2011Q2,172.5560634920635,BCRP_real,3.0209797701458587,0.0277957013139861,0.0,0.0254151195084193,0.0782377030154669,0.0510529589959884,0.0104413097784861,0.0451835778233831,-0.1640736175534163,1.575982486769115,328,0.0839702513665686,59.3416583034432,-2.71694051999928,13.455242773715469,-3.19461785178244,6.6364496221309,179.99666666666667,-0.398530569003474,0.70135444261863,17.96540624955121,1.4354246035105904,,-0.2498705778622153,0.3789578084287926,4,4.083311560266658,0.4805617159366038,0.27735390092098156
brazil,2011Q3,204.70584375,BCRP_real,18.655215000678545,-0.0070761237497742,0.1060275232172654,-0.0089552510704764,0.0591747024912577,0.0276835908069138,0.0197455972938756,0.064677572256437,0.187388950975574,1.2753860178520244,341,-0.1320066099234453,59.46861622767448,-2.498551813353465,13.857218139283969,-3.3358172309024425,6.328212001690668,177.42999999999998,3.01707664151577,0.350613160026187,,1.2279486967191036,,-0.1913572555557563,0.227658897956973,3,4.085448715038077,0.6844523709218012,-0.0007378385254411188
brazil,2011Q4,230.6918524590164,BCRP_real,14.965791228148268,0.0059520285891694,0.0,0.0028510450106878,0.0611719845898091,0.0331220458593409,0.0131807041567324,0.0496989539733471,-0.0400172894695907,1.4000064369895933,354,0.0890768172494791,59.59557415190575,-2.28016310670765,14.271133057736574,-3.477016610022445,6.019974381250435,166.57,0.490250732372183,0.0581213872539691,,1.1140660325699498,,-0.1254386989113021,0.1787439741210655,3,4.087581312117742,0.6877106485256894,-0.07573936308124633
brazil,2012Q1,201.2404677419355,BCRP_real,7.051399505076144,0.0064204220210507,0.0,0.0024507323118018,0.0576508873241267,0.0300202588320866,0.0139409225863649,0.046503212526379,0.0234394009722937,1.243280507295902,369,0.0452729606616168,59.72253207613702,-2.061774400061835,14.697527494645705,-3.618215989142448,5.7117367608102025,170.81000000000003,-0.530297564265563,-0.201510172598575,,1.1118575154181305,,-0.098174925320081,0.2186511246145549,3,4.089709370903736,0.6909619923206717,-0.01750430923850335
brazil,2012Q2,205.7212857142857,BCRP_real,12.05760373845852,-0.0039370926637595,0.0911952519417453,-0.0083709709554188,0.0496148988589904,0.0206771645815064,0.0164406522264903,0.0491805255685429,-0.1033145662353187,1.109697654375421,383,-0.0474719032212041,59.8494900003683,-1.84338569341602,15.136974473817377,-3.75941536826245,5.40349914036997,156.65333333333334,-0.326187904938014,-0.418827857164534,,1.038784875038435,,-0.0569258922141058,0.1860454128047979,3,4.091832910670571,0.6942064317552099,-0.06803509667040808
brazil,2012Q3,177.64906349206348,BCRP_real,7.750347718050947,0.0132768799532237,0.0,0.0105786139103205,0.0615601601312917,0.0339477682536963,0.013695021620803,0.0432934295892198,-0.012870444842999,1.147273744826808,397,0.1029004362483036,59.19421984634143,-2.094977654473255,14.979973850741292,-3.713116787953224,5.603702021877727,153.45333333333335,-0.500585398667249,0.0333227012341724,,0.9712598019955756,,-0.0448861362275025,0.1093746506509384,3,4.080823899392367,0.6773863698547361,-0.17463120895096035
brazil,2012Q4,147.9453606557377,BCRP_real,7.854454244444137,0.0174949970397108,0.0,0.0110880595353349,0.0601800847720255,0.034753860461181,0.0133507987235494,0.0394625898304736,0.0985185408250823,1.1166955389575937,411,0.1374136537550941,58.53894969231455,-2.34656961553049,14.823214578608294,-3.666818207643995,5.803904903385485,151.11666666666667,-0.204755575970991,0.0325177326487524,,0.9958591783015855,,-0.031236935565726,0.1572126967801526,3,4.069692339393092,0.6603790725139348,-0.0943704910867384
