country,quarter,EMBI_bps,embi_source,JLoss,GaR,prob_neg,ES,ER,mean,std,iqr_05_95,skew,kurt,n_train,JLoss_x_GaR,VIX_cboe,profit_margin,UST10Y_log,US_HY_spread_log,OnOffRun_spread_log,X_control_idx,X_control_idx_ncomp,X_dom_idx,X_global_idx
brazil,2007Q4,197.0483870967742,Bloomberg,4.860112167475402,0.0488095763567575,0.0,0.0411108249758878,0.0797705469894272,0.0627093832120071,0.0067634255215107,0.0305549512492351,-0.0254827486684073,1.3614076438144227,165,0.2372200159407968,22.02984375,-139.49685721609225,1.6613874430644424,,-0.2061774066646915,-0.7027141385007131,3,-3.8017185902324986,0.8467880873651796
brazil,2008Q1,257.88524590163934,Bloomberg,5.724853446479616,0.0410131769566399,0.0,0.0345224600656683,0.0749188162696489,0.0553611720607197,0.0075869580712943,0.0319823984954522,0.2330751408327392,1.1532584920680151,175,0.2347944274512983,26.120163934426227,19.67719423069673,1.5401405449442342,,-0.3784058460241801,0.1794470037346844,3,0.246621909822908,0.1458595506905725
brazil,2008Q2,214.3125,Bloomberg,4.4451942076872095,0.0437127563004621,0.0,0.038902491270464,0.072737230155859,0.0573666740831743,0.0057291168271908,0.0262071946753884,-0.1806929483649646,1.4608996377047023,185,0.1943116911088566,20.67296875,20.94877066331751,1.5854653530431908,,-0.364021071138336,0.2791044225485551,3,0.2789624472679548,0.2791754101888553
brazil,2008Q3,252.5,Bloomberg,8.83659952320885,0.0432067386922647,0.0,0.0409072516008731,0.0793618441150241,0.0579590174000421,0.0060608364335242,0.0334813219452986,-0.2583859020018035,1.5083512081207304,195,0.3818006465274756,25.09296875,19.00520008188837,1.581488439527145,,-0.3356650752142703,0.30565833816418,3,0.2295308004134665,0.3437221070395368
brazil,2008Q4,481.56451612903226,Bloomberg,23.632048872232712,-0.0193461852360913,0.0878589803865325,-0.0261856507999919,0.039089867941936,0.0163154249759847,0.0078001996294247,0.0479591913006291,-0.0109079955585665,1.6366280290092086,206,-0.4571899949905765,58.5878125,11.642305703724132,1.4433071550387766,,-1.0727322974290805,-1.2173845603025395,3,0.0422672154395234,-1.8472104481735712
brazil,2009Q1,429.88524590163934,Bloomberg,12.613062624724868,-0.0427039533200318,0.5109946363044586,-0.0480243319006435,0.0332213640871966,-0.0049318741553293,0.0222552837534703,0.0689132355201732,-0.3019289364411852,1.5385939019544417,217,-0.5386276375488885,45.0,11.68245293112362,1.3180769500099287,,-0.9816514743479056,-1.2380907589643988,3,0.0432882967349293,-1.8787802868140628
brazil,2009Q2,324.06349206349205,Bloomberg,5.42865989146263,-0.0365463037191302,0.3515596242245639,-0.0400805960215709,0.0299994075109227,0.001752030584524,0.0129701858465553,0.0606217460585606,-0.1555988220874818,1.746859012435281,228,-0.1983974531812536,33.01571428571428,14.971423499724445,1.4634391008438934,,-0.6598075739928725,-0.4520050386242238,3,0.1269380665016306,-0.741476591187151
brazil,2009Q3,253.703125,Bloomberg,2.7653110671846104,-0.0185427848331629,0.2551304106376464,-0.0255520038305497,0.0344776266203941,0.0088656251489384,0.0136596691180849,0.0530188104973101,-0.143687564294172,1.4761885595281263,239,-0.0512765681155683,25.48625,9.64888219272389,1.5080279165206243,,-0.5972803551293554,-0.3266735485668039,3,-0.0084323619098832,-0.4857941418952642
brazil,2009Q4,215.8709677419355,Bloomberg,4.709937416576495,0.0307921596207882,0.0,0.0228926221011825,0.0750596558351689,0.0517673734775626,0.0132134527600487,0.0428223017189594,-0.0152302485213702,1.2664267114899892,251,0.1450291447351462,23.071875,16.37340596142937,1.4960524513218334,,-0.4762528226232063,-0.078922003329326,3,0.1625952752520455,-0.1996806426200117
brazil,2010Q1,203.39344262295083,Bloomberg,6.386116338900138,0.0618091814650133,0.0,0.0547759893974481,0.0945915894593049,0.0773649037971498,0.0094373965927206,0.0320895450671524,-0.0769049265403534,1.1086557857431063,263,0.394720623647765,20.149672131147543,16.704611778259277,1.5513571833246549,,-0.3860989243431428,0.1569289043827664,3,0.1710189718906567,0.1498838706288212
brazil,2010Q2,212.23809523809524,Bloomberg,6.625570470660924,0.0439463001327915,0.0,0.0396641849414744,0.0963123727700407,0.0652740067505867,0.0205413168797645,0.0509411485139181,-0.0832465862319661,0.9250325583595288,276,0.2911693084546256,26.391428571428573,18.989770889282227,1.5024093396755769,,-0.3188029985454527,0.2224707558502722,3,0.2291383832779921,0.2191369421364122
brazil,2010Q3,211.203125,Bloomberg,2.468044386947785,0.0458589347208076,0.0,0.0423610717356089,0.0910502855237083,0.065670457164308,0.0127410155831032,0.0390883962533668,-0.1164465430946792,1.3795397378628953,289,0.113181886429094,24.28359375,17.05369428326102,1.330922035098563,,-0.2596778730128791,0.0646584389693623,3,0.179897333847359,0.0070389915303639
brazil,2010Q4,179.327868852459,Bloomberg,2.4713791639716227,0.0397165202892523,0.0,0.0371617007435716,0.0820050420199324,0.060232558250312,0.0105420986066212,0.0395213507821135,-0.0914142655303634,1.5202326872853955,302,0.0981545807083143,19.3184375,17.15754727756276,1.3554193705016715,,-0.2481657195954341,0.1199896059738767,3,0.1825386706674142,0.088715073627108
brazil,2011Q1,173.32258064516128,Bloomberg,3.567475817755501,0.0314481207103018,0.0,0.0275863981209494,0.080438377479799,0.0547025322901627,0.0114293830896947,0.0435146124355301,-0.0301082522138344,1.5054142209207122,315,0.1121904101478576,18.61483870967741,18.94373557146858,1.4945699785755024,,-0.2589734143346897,0.3136551334844962,3,0.2279675477062142,0.3564989263736373
brazil,2011Q2,172.57142857142858,Bloomberg,3.0209797701458587,0.0277957013139861,0.0,0.0254151195084193,0.0782377030154669,0.0510529589959884,0.0104413097784861,0.0451835778233831,-0.1640736175534163,1.575982486769115,328,0.0839702513665686,17.482380952380954,17.96540624955121,1.4354246035105904,,-0.2498705778622153,0.2372190689384624,3,0.2030852871850397,0.2542859598151738
brazil,2011Q3,204.671875,Bloomberg,18.655215000678545,-0.0070761237497742,0.1060275232172654,-0.0089552510704764,0.0591747024912577,0.0276835908069138,0.0197455972938756,0.064677572256437,0.187388950975574,1.2753860178520244,341,-0.1320066099234453,30.58359375,,1.2279486967191036,,-0.1913572555557563,-0.0358395208496375,2,,-0.0358395208496375
brazil,2011Q4,230.35,Bloomberg,14.965791228148268,0.0059520285891694,0.0,0.0028510450106878,0.0611719845898091,0.0331220458593409,0.0131807041567324,0.0496989539733471,-0.0400172894695907,1.4000064369895933,354,0.0890768172494791,29.93952380952381,,1.1140660325699498,,-0.1254386989113021,-0.1080768006624656,2,,-0.1080768006624656
brazil,2012Q1,201.19354838709677,Bloomberg,7.051399505076144,0.0064204220210507,0.0,0.0024507323118018,0.0576508873241267,0.0300202588320866,0.0139409225863649,0.046503212526379,0.0234394009722937,1.243280507295902,369,0.0452729606616168,18.20403225806452,,1.1118575154181305,,-0.098174925320081,-0.0425850404141188,2,,-0.0425850404141188
brazil,2012Q2,205.76190476190476,Bloomberg,12.05760373845852,-0.0039370926637595,0.0911952519417453,-0.0083709709554188,0.0496148988589904,0.0206771645815064,0.0164406522264903,0.0491805255685429,-0.1033145662353187,1.109697654375421,383,-0.0474719032212041,20.035714285714285,,1.038784875038435,,-0.0569258922141058,-0.0916325216852709,2,,-0.0916325216852709
brazil,2012Q3,177.65079365079364,Bloomberg,7.750347718050947,0.0132768799532237,0.0,0.0105786139103205,0.0615601601312917,0.0339477682536963,0.013695021620803,0.0432934295892198,-0.012870444842999,1.147273744826808,397,0.1029004362483036,16.19174603174603,,0.9712598019955756,,-0.0448861362275025,-0.2040866206567154,2,,-0.2040866206567154
brazil,2012Q4,147.86666666666667,Bloomberg,7.854454244444137,0.0174949970397108,0.0,0.0110880595353349,0.0601800847720255,0.034753860461181,0.0133507987235494,0.0394625898304736,0.0985185408250823,1.1166955389575937,411,0.1374136537550941,16.765,,0.9958591783015855,,-0.031236935565726,-0.1166924995304412,2,,-0.1166924995304412
