base,HHI,b3,t3,b4,t4,me_baja,me_alta,P_b4_pos
Panel final all17 (5 países),"estructural (mediana, limpio)",54.11112711487129,1.6329822874937667,-362.9889032907922,-0.470799872944402,93.76571828754359,11.07426889668779,0.36
Panel final all17 (5 países),anual (con quiebres GFDD),30.846195489098506,1.2091962977372737,437.3566644831514,2.0776427974132243,-42.12541754618397,149.83212818646268,0.791
Panel extendido (11 países),"estructural (mediana, limpio)",-16.98300312765414,-0.6787091054274232,720.6694503404316,2.9760935658189918,-118.56522467162242,93.63809302294115,0.866
Panel extendido (11 países),anual (con quiebres GFDD),4.361608671236443,0.1847016831501686,383.41607156888045,4.471987039342206,-72.6050124662164,124.11960085702394,0.804
