country,quarter,EMBI_bps,GaR,prob_neg,ES,ER,mean,std,iqr_05_95,skew,kurt,n_train
brazil,2007Q4,209.60932558139532,0.0488095763567575,0.0,0.0411108249758878,0.0797705469894272,0.0627093832120071,0.0067634255215107,0.0305549512492351,-0.0254827486684073,1.3614076438144227,165
brazil,2008Q1,257.84786885245904,0.0410131769566399,0.0,0.0345224600656683,0.0749188162696489,0.0553611720607197,0.0075869580712943,0.0319823984954522,0.2330751408327392,1.1532584920680151,175
brazil,2008Q2,214.303953125,0.0437127563004621,0.0,0.038902491270464,0.072737230155859,0.0573666740831743,0.0057291168271908,0.0262071946753884,-0.1806929483649646,1.4608996377047023,185
brazil,2008Q3,252.53071875,0.0432067386922647,0.0,0.0409072516008731,0.0793618441150241,0.0579590174000421,0.0060608364335242,0.0334813219452986,-0.2583859020018035,1.5083512081207304,195
brazil,2008Q4,481.57249999999993,-0.0193461852360913,0.0878589803865325,-0.0261856507999919,0.039089867941936,0.0163154249759847,0.0078001996294247,0.0479591913006291,-0.0109079955585665,1.6366280290092086,206
brazil,2009Q1,429.88232786885254,-0.0427039533200318,0.5109946363044586,-0.0480243319006435,0.0332213640871966,-0.0049318741553293,0.0222552837534703,0.0689132355201732,-0.3019289364411852,1.5385939019544417,217
brazil,2009Q2,324.0510793650794,-0.0365463037191302,0.3515596242245639,-0.0400805960215709,0.0299994075109227,0.001752030584524,0.0129701858465553,0.0606217460585606,-0.1555988220874818,1.746859012435281,228
brazil,2009Q3,253.67181250000002,-0.0185427848331629,0.2551304106376464,-0.0255520038305497,0.0344776266203941,0.0088656251489384,0.0136596691180849,0.0530188104973101,-0.143687564294172,1.4761885595281263,239
brazil,2009Q4,215.85520967741934,0.0307921596207882,0.0,0.0228926221011825,0.0750596558351689,0.0517673734775626,0.0132134527600487,0.0428223017189594,-0.0152302485213702,1.2664267114899892,251
brazil,2010Q1,203.39467213114756,0.0618091814650133,0.0,0.0547759893974481,0.0945915894593049,0.0773649037971498,0.0094373965927206,0.0320895450671524,-0.0769049265403534,1.1086557857431063,263
brazil,2010Q2,212.25806349206349,0.0439463001327915,0.0,0.0396641849414744,0.0963123727700407,0.0652740067505867,0.0205413168797645,0.0509411485139181,-0.0832465862319661,0.9250325583595288,276
brazil,2010Q3,211.086203125,0.0458589347208076,0.0,0.0423610717356089,0.0910502855237083,0.065670457164308,0.0127410155831032,0.0390883962533668,-0.1164465430946792,1.3795397378628953,289
brazil,2010Q4,179.17358064516128,0.0397165202892523,0.0,0.0371617007435716,0.0820050420199324,0.060232558250312,0.0105420986066212,0.0395213507821135,-0.0914142655303634,1.5202326872853955,302
brazil,2011Q1,173.29375806451614,0.0314481207103018,0.0,0.0275863981209494,0.080438377479799,0.0547025322901627,0.0114293830896947,0.0435146124355301,-0.0301082522138344,1.5054142209207122,315
brazil,2011Q2,172.5560634920635,0.0277957013139861,0.0,0.0254151195084193,0.0782377030154669,0.0510529589959884,0.0104413097784861,0.0451835778233831,-0.1640736175534163,1.575982486769115,328
brazil,2011Q3,204.70584375,-0.0070761237497742,0.1060275232172654,-0.0089552510704764,0.0591747024912577,0.0276835908069138,0.0197455972938756,0.064677572256437,0.187388950975574,1.2753860178520244,341
brazil,2011Q4,230.6918524590164,0.0059520285891694,0.0,0.0028510450106878,0.0611719845898091,0.0331220458593409,0.0131807041567324,0.0496989539733471,-0.0400172894695907,1.4000064369895933,354
brazil,2012Q1,201.2404677419355,0.0064204220210507,0.0,0.0024507323118018,0.0576508873241267,0.0300202588320866,0.0139409225863649,0.046503212526379,0.0234394009722937,1.243280507295902,369
brazil,2012Q2,205.7212857142857,-0.0039370926637595,0.0911952519417453,-0.0083709709554188,0.0496148988589904,0.0206771645815064,0.0164406522264903,0.0491805255685429,-0.1033145662353187,1.109697654375421,383
brazil,2012Q3,177.64906349206348,0.0132768799532237,0.0,0.0105786139103205,0.0615601601312917,0.0339477682536963,0.013695021620803,0.0432934295892198,-0.012870444842999,1.147273744826808,397
brazil,2012Q4,147.9453606557377,0.0174949970397108,0.0,0.0110880595353349,0.0601800847720255,0.034753860461181,0.0133507987235494,0.0394625898304736,0.0985185408250823,1.1166955389575937,411
brazil,2013Q1,161.28553333333332,0.0169345407626054,0.0,0.0126521013238155,0.0593817100586921,0.0343415322960612,0.0140003302197552,0.0398334166124008,-0.0216444639590115,0.9840080269296853,425
brazil,2013Q2,195.34178125,0.0061849223877106,0.0,0.0042663015340252,0.0586517222953659,0.0354060081021042,0.0163425345312642,0.051581422810923,-0.1800705723410464,1.2278569328118734,439
brazil,2013Q3,236.79215624999998,0.0041943015717722,0.0,4.126151651956829e-05,0.0534608635321258,0.0288618196762729,0.0142557732601998,0.0479181500541818,-0.0053229154576122,1.2108533824989307,453
brazil,2013Q4,239.25604838709677,0.0085968648514943,0.0,0.0048531244989329,0.0538184213687449,0.0294163609464908,0.0129134621206072,0.0442042748264315,-0.0333726713666485,1.1920927361400042,467
brazil,2014Q1,250.71404918032786,0.0163382956854568,0.0,0.0132861241318507,0.0607339188388341,0.0365195368092111,0.0119353743376591,0.0421037145885322,-0.0008451841064105,1.2722941084441648,481
brazil,2014Q2,216.04630158730157,-0.0076599568263358,0.2124327503183843,-0.019214994011293,0.0389780920857157,0.0110992254991496,0.0144552668113738,0.0462355738983481,-0.0869012253215534,1.0436064052002798,495
brazil,2014Q3,216.404828125,-0.0129781223148449,0.2946152494907676,-0.0219950691361703,0.0374828027179319,0.0075765752526702,0.0135820773508701,0.0458676797768647,-0.0587328938641316,1.2421713384263366,509
brazil,2014Q4,256.18509677419354,-0.0199834236992436,0.3390098578175648,-0.033711876487399,0.0338907675667033,0.0050164331427902,0.0142356378154427,0.0518743761367701,-0.0739630824722151,1.3102889039208885,523
