date,country,GaR,prob_neg,ES,ER,mean,std,iqr_05_95,skew,kurt,n_train,quarter
01/03/2004,BRAZIL,,,,,,,,,,56,2004Q1
01/03/2005,BRAZIL,,,,,,,,,,80,2005Q1
01/03/2006,BRAZIL,,,,,,,,,,107,2006Q1
01/03/2007,BRAZIL,,,,,,,,,,137,2007Q1
01/03/2008,BRAZIL,0.0410131769566399,0.0,0.0345224600656683,0.0749188162696489,0.0553611720607197,0.0075869580712943,0.0319823984954522,0.2330751408327392,1.1532584920680151,175,2008Q1
01/03/2009,BRAZIL,-0.0427039533200318,0.5109946363044586,-0.0480243319006435,0.0332213640871966,-0.0049318741553293,0.0222552837534703,0.0689132355201732,-0.3019289364411852,1.5385939019544417,217,2009Q1
01/03/2010,BRAZIL,0.0618091814650133,0.0,0.0547759893974481,0.0945915894593049,0.0773649037971498,0.0094373965927206,0.0320895450671524,-0.0769049265403534,1.1086557857431063,263,2010Q1
01/03/2011,BRAZIL,0.0314481207103018,0.0,0.0275863981209494,0.080438377479799,0.0547025322901627,0.0114293830896947,0.0435146124355301,-0.0301082522138344,1.5054142209207122,315,2011Q1
01/03/2012,BRAZIL,0.0064204220210507,0.0,0.0024507323118018,0.0576508873241267,0.0300202588320866,0.0139409225863649,0.046503212526379,0.0234394009722937,1.243280507295902,369,2012Q1
01/03/2013,BRAZIL,0.0169345407626054,0.0,0.0126521013238155,0.0593817100586921,0.0343415322960612,0.0140003302197552,0.0398334166124008,-0.0216444639590115,0.9840080269296853,425,2013Q1
01/03/2014,BRAZIL,0.0163382956854568,0.0,0.0132861241318507,0.0607339188388341,0.0365195368092111,0.0119353743376591,0.0421037145885322,-0.0008451841064105,1.2722941084441648,481,2014Q1
01/03/2015,BRAZIL,-0.0243322100312943,0.5869586536770757,-0.038064424576035,0.0233120620708805,-0.0035090560907033,0.0140208254275921,0.0464291912640516,-0.0256269092954508,1.2454366931386855,537,2015Q1
01/03/2016,BRAZIL,-0.0475582101900482,0.9548792884330508,-0.0547728571181793,0.0033426581217385,-0.0251278279580538,0.012916367965831,0.0467476129577002,-0.0200079809516725,1.2416514056950356,593,2016Q1
01/03/2017,BRAZIL,-0.0071327804282111,0.1484196660716839,-0.0102328034729448,0.0367381176008032,0.0110417275625094,0.0097987308490704,0.0365760032106746,0.0942946945597612,1.4075175473815666,651,2017Q1
01/03/2018,BRAZIL,0.000624868873496,0.0467471645972692,-0.0041776249213902,0.0505023790651665,0.0206474653573833,0.0109387426166093,0.0432620993448492,0.0021627194020583,1.3887525085113617,711,2018Q1
01/03/2019,BRAZIL,-0.0017474025788534,0.0789817305935521,-0.0053823029517151,0.039929773258405,0.014478872223652,0.008749943890514,0.0347059800574569,0.0422926644341204,1.4291428868590268,771,2019Q1
01/03/2020,BRAZIL,-0.0741974248327464,0.5554296113669863,-0.0774365167174924,0.0412678985301117,-0.006285829677608,0.0274569568525333,0.1126339891599598,-0.0341690528131998,1.3479153786767082,831,2020Q1
