country,quarter,EMBI_bps,JLoss,GaR,GaR_st,prob_neg,ES,skew,std,VIX,g_GDP,debt_gdp,fisc_bal,res_gdp,ca_gdp,infl_yoy,reer,JLoss_x_GaR,UST10Y_log,US_HY_spread_log,OnOffRun_spread_log,debt_gdp_log,profit_margin,X_dom_idx,X_global_idx
brazil,2007Q4,209.60932558139532,4.860112167475402,0.045564118077144,0.0455641181842443,0.0,0.0441588062982347,-0.1417311950511044,0.0086913677797644,0.373985736552693,1.28630967274397,,,,,,,0.22144672466701348,1.6613874430644424,,-0.2061774066646915,,-139.49685721609225,-3.095939536576711,0.8269733790232414
brazil,2008Q1,257.84786885245904,5.724853446479616,0.0422068864988195,0.0412698002559122,0.0,0.0353838376079043,0.1396294487235311,0.010814860951082,0.775745888773375,1.14094132385888,,,,,,,0.2416282396379408,1.5401405449442342,,-0.3784058460241801,,19.67719423069673,0.31663578516098856,0.19029724624276378
brazil,2008Q2,214.303953125,4.4451942076872095,0.0453026680701201,0.0453026680235727,0.0,0.0390356970653897,-0.0865552086966897,0.0085400583391265,0.56130156315076,1.1948270182869,,,,,,,0.20137915769807416,1.5854653530431908,,-0.364021071138336,,20.94877066331751,0.3438974544734365,0.3134534703573778
brazil,2008Q3,252.53071875,8.83659952320885,0.0467696963903762,0.0450835990614205,0.0,0.043419881592924,-0.0161796336297772,0.0100001002798956,2.55589215809846,1.38927773339185,,,,,,,0.41328507682382104,1.581488439527145,,-0.3356650752142703,,19.00520008188837,0.30222872177514415,0.3706815146279741
brazil,2008Q4,481.57249999999993,23.632048872232712,-0.0164549710641318,-0.0158529365006167,0.1084061687571756,-0.0223212647106935,0.5731611693552763,0.0098884086065795,2.63469398859833,-0.40614193250059,,,,,,,-0.3888646803787378,1.4433071550387766,,-1.0727322974290805,,11.642305703724132,0.14437364789154605,-1.5971205281930674
brazil,2009Q1,429.88232786885254,12.613062624724867,-0.0589199333014301,-0.0589199333890633,0.655643519083312,-0.0594000346740564,-0.2778034674569155,0.0210930863945454,3.16951296936799,-1.4481414404379,,,,,,,-0.74316080857555,1.3180769500099287,,-0.9816514743479056,,11.68245293112362,0.1452343751031386,-1.6368842577085512
brazil,2009Q2,324.0510793650794,5.42865989146263,-0.0316614433281703,-0.0311664856703414,0.3769504942700843,-0.0401184712762376,-0.5978027485329,0.010371935446739,0.871341552002734,-1.38094374791865,,,,,,,-0.1718792075014552,1.4634391008438934,,-0.6598075739928725,,14.971423499724445,0.2157475001653656,-0.6085899817311654
brazil,2009Q3,253.67181250000002,2.7653110671846104,-0.0236447831846207,-0.0236447834110336,0.3300355289977046,-0.0311508320774761,-0.2354139170760606,0.013629977268827,0.775745888773375,-1.06710160111864,,,,,,,-0.0653851806216122,1.5080279165206243,,-0.5972803551293554,,9.64888219272389,0.10163610482105852,-0.3763119187164372
brazil,2009Q4,215.85520967741934,4.709937416576495,0.029862474547377,0.0309328497429849,0.0,0.0243955814844765,-0.1006701895058672,0.0133575467690727,0.268055407028269,0.889624086321294,61.3187804637225,-2.48178858446383,13.600015728559034,-2.84265171226522,4.96338084992436,162.65666666666667,0.14065038622225418,1.4960524513218334,,-0.4762528226232063,4.116086165738696,16.37340596142937,0.488533311804912,-0.12211619097841997
brazil,2010Q1,203.39467213114756,6.386116338900138,0.0642274274089133,0.064012400005184,0.0,0.0600126893597546,-0.253573184845922,0.0096103544465458,-0.260304407306969,2.06135439088386,61.3187804637225,-2.48178858446383,13.31478774301684,-3.3842985554707647,5.00105387550255,160.74,0.4101638235815837,1.5513571833246549,,-0.3860989243431428,4.116086165738696,16.704611778259277,0.4920837171211565,0.1949266189149057
brazil,2010Q2,212.25806349206349,6.625570470660924,0.0409862128423152,0.0393076013619862,0.0,0.0286637697912773,-0.2627872650492298,0.0197679701214139,1.92935301396009,1.85291940649388,61.3187804637225,-2.48178858446383,13.064543862593611,-3.92594539867631,5.03872690108074,166.72,0.2715570415122671,1.5024093396755769,,-0.3188029985454527,4.116086165738696,18.989770889282227,0.5165797876729823,0.25219099582391186
