DATES,EMBI
16/10/2015,162.0
15/10/2015,165.0
14/10/2015,166.0
13/10/2015,166.0
12/10/2015,166.0
09/10/2015,166.0
08/10/2015,166.0
07/10/2015,166.0
06/10/2015,170.0
05/10/2015,170.0
02/10/2015,166.5
01/10/2015,167.5
30/09/2015,170.0
29/09/2015,171.5
28/09/2015,168.0
25/09/2015,165.0
24/09/2015,171.0
23/09/2015,168.5
22/09/2015,171.0
18/09/2015,170.0
17/09/2015,166.0
16/09/2015,165.0
15/09/2015,168.0
14/09/2015,168.0
11/09/2015,170.0
10/09/2015,170.0
09/09/2015,170.0
08/09/2015,170.0
07/09/2015,170.0
04/09/2015,170.0
03/09/2015,167.5
02/09/2015,167.5
01/09/2015,166.5
28/08/2015,152.5
27/08/2015,152.5
26/08/2015,152.5
25/08/2015,152.5
24/08/2015,152.5
21/08/2015,155.0
20/08/2015,155.0
19/08/2015,152.5
18/08/2015,152.5
17/08/2015,150.0
14/08/2015,150.0
13/08/2015,150.0
12/08/2015,150.0
11/08/2015,149.0
10/08/2015,149.0
07/08/2015,149.0
06/08/2015,149.0
05/08/2015,149.0
04/08/2015,149.0
03/08/2015,149.0
31/07/2015,149.0
30/07/2015,149.0
29/07/2015,149.0
28/07/2015,149.0
27/07/2015,147.0
02/07/2015,160.0
01/07/2015,160.0
29/06/2015,160.0
26/06/2015,150.0
25/06/2015,150.0
24/06/2015,152.0
23/06/2015,152.0
22/06/2015,152.0
18/06/2015,152.0
17/06/2015,152.0
16/06/2015,152.0
15/06/2015,145.0
05/06/2015,140.0
04/06/2015,140.0
03/06/2015,140.0
02/06/2015,140.0
01/06/2015,140.0
27/05/2015,139.0
26/05/2015,139.0
21/05/2015,139.0
19/05/2015,140.0
18/05/2015,140.0
15/05/2015,140.0
13/05/2015,140.0
12/05/2015,140.0
11/05/2015,140.0
07/05/2015,140.0
05/05/2015,137.0
30/04/2015,135.0
29/04/2015,135.0
27/04/2015,135.0
22/04/2015,135.0
21/04/2015,135.0
17/04/2015,133.0
15/04/2015,133.0
14/04/2015,126.0
10/04/2015,126.0
09/04/2015,125.0
08/04/2015,127.0
07/04/2015,132.0
02/04/2015,132.0
01/04/2015,136.0
31/03/2015,137.0
30/03/2015,136.0
27/03/2015,133.0
26/03/2015,133.0
25/03/2015,133.0
24/03/2015,139.0
23/03/2015,139.0
20/03/2015,139.0
19/03/2015,133.0
18/03/2015,136.0
17/03/2015,136.0
16/03/2015,136.0
13/03/2015,129.0
09/03/2015,118.0
02/03/2015,118.0
27/02/2015,122.0
26/02/2015,122.0
25/02/2015,122.0
24/02/2015,127.0
23/02/2015,133.0
18/02/2015,133.0
17/02/2015,133.0
13/02/2015,134.0
12/02/2015,136.0
11/02/2015,137.0
10/02/2015,137.0
06/02/2015,137.0
05/02/2015,141.0
03/02/2015,141.0
02/02/2015,141.0
30/01/2015,148.0
29/01/2015,148.0
23/01/2015,170.0
21/01/2015,175.0
20/01/2015,175.0
19/01/2015,180.0
16/01/2015,180.0
15/01/2015,185.0
14/01/2015,178.0
13/01/2015,182.0
12/01/2015,190.0
08/01/2015,180.0
07/01/2015,187.0
06/01/2015,190.0
05/01/2015,185.0
22/12/2014,185.0
19/12/2014,185.0
17/12/2014,200.0
16/12/2014,195.0
15/12/2014,190.0
12/12/2014,178.0
11/12/2014,174.0
10/12/2014,166.0
09/12/2014,164.0
08/12/2014,164.0
05/12/2014,160.0
04/12/2014,160.0
03/12/2014,162.0
02/12/2014,162.0
01/12/2014,162.0
28/11/2014,162.0
26/11/2014,168.0
25/11/2014,168.0
24/11/2014,170.0
21/11/2014,171.0
20/11/2014,171.0
19/11/2014,171.0
18/11/2014,172.0
17/11/2014,172.0
14/11/2014,172.0
13/11/2014,177.0
12/11/2014,177.0
11/11/2014,177.0
10/11/2014,177.0
07/11/2014,185.0
06/11/2014,180.0
05/11/2014,180.0
04/11/2014,180.0
03/11/2014,180.0
31/10/2014,180.0
30/10/2014,180.0
29/10/2014,178.0
28/10/2014,178.0
27/10/2014,177.0
24/10/2014,176.0
23/10/2014,176.0
22/10/2014,176.0
21/10/2014,176.0
20/10/2014,176.0
17/10/2014,172.0
16/10/2014,172.0
15/10/2014,172.0
14/10/2014,171.0
13/10/2014,171.0
10/10/2014,171.0
09/10/2014,169.5
08/10/2014,171.5
07/10/2014,171.5
06/10/2014,174.5
03/10/2014,174.5
02/10/2014,173.5
01/10/2014,170.0
30/09/2014,170.0
29/09/2014,159.0
25/09/2014,158.0
23/09/2014,159.0
22/09/2014,159.0
19/09/2014,159.0
18/09/2014,159.0
17/09/2014,159.0
16/09/2014,159.0
15/09/2014,158.0
12/09/2014,158.0
11/09/2014,154.0
10/09/2014,154.0
09/09/2014,154.0
08/09/2014,148.0
29/08/2014,164.0
28/08/2014,164.0
27/08/2014,164.0
26/08/2014,166.0
22/08/2014,166.0
21/08/2014,166.0
20/08/2014,166.0
19/08/2014,172.0
18/08/2014,172.0
13/08/2014,185.0
12/08/2014,185.0
11/08/2014,190.0
08/08/2014,190.0
07/08/2014,182.0
10/06/2014,172.0
09/06/2014,170.0
06/06/2014,170.0
04/06/2014,192.0
29/05/2014,188.0
28/05/2014,188.0
10/04/2014,232.0
27/03/2014,240.0
25/03/2014,243.0
19/03/2014,243.0
17/03/2014,252.0
14/03/2014,255.0
12/03/2014,248.0
05/03/2014,243.0
27/02/2014,250.0
24/02/2014,260.0
21/02/2014,260.0
19/02/2014,262.0
18/02/2014,260.0
13/02/2014,267.0
11/02/2014,260.0
06/02/2014,260.0
05/02/2014,265.0
04/02/2014,270.0
31/01/2014,270.0
29/01/2014,250.0
28/01/2014,250.0
27/01/2014,251.0
23/01/2014,237.0
22/01/2014,237.0
21/01/2014,235.0
17/01/2014,230.0
16/01/2014,228.0
14/01/2014,238.0
13/01/2014,237.0
10/01/2014,237.0
09/01/2014,237.0
08/01/2014,235.5
06/01/2014,248.0
02/01/2014,260.0
31/12/2013,260.0
30/12/2013,260.0
19/12/2013,254.0
18/12/2013,258.0
16/12/2013,270.0
13/12/2013,270.0
12/12/2013,270.0
10/12/2013,277.5
09/12/2013,280.0
02/12/2013,281.0
27/11/2013,275.0
25/11/2013,276.0
22/11/2013,276.0
21/11/2013,278.0
20/11/2013,277.0
18/11/2013,263.0
15/11/2013,266.25
13/11/2013,286.0
12/11/2013,285.0
08/11/2013,278.0
07/11/2013,278.0
05/11/2013,275.0
04/11/2013,274.0
31/10/2013,266.0
30/10/2013,262.0
23/10/2013,250.0
21/10/2013,258.0
17/10/2013,257.0
16/10/2013,257.0
08/10/2013,270.0
03/10/2013,277.0
30/09/2013,280.0
26/09/2013,280.0
19/09/2013,250.0
17/09/2013,265.0
11/09/2013,300.0
09/09/2013,300.0
04/09/2013,323.0
03/09/2013,322.5
22/08/2013,325.0
21/08/2013,325.0
19/08/2013,335.0
15/08/2013,330.0
08/08/2013,321.5
06/08/2013,313.0
05/08/2013,310.0
01/08/2013,310.0
30/07/2013,314.0
29/07/2013,317.0
26/07/2013,316.0
25/07/2013,313.5
23/07/2013,295.0
22/07/2013,296.0
18/07/2013,285.0
17/07/2013,288.0
15/07/2013,295.0
03/07/2013,309.0
02/07/2013,305.0
28/06/2013,318.0
27/06/2013,318.0
25/06/2013,347.5
21/06/2013,337.5
19/06/2013,300.0
17/06/2013,283.0
14/06/2013,285.0
12/06/2013,322.5
11/06/2013,327.0
10/06/2013,306.0
07/06/2013,306.0
06/06/2013,292.5
04/06/2013,300.0
03/06/2013,300.0
30/05/2013,275.0
28/05/2013,285.0
23/05/2013,277.0
22/05/2013,271.0
21/05/2013,275.0
17/05/2013,275.0
16/05/2013,276.5
15/05/2013,278.0
14/05/2013,281.0
13/05/2013,277.75
10/05/2013,270.0
09/05/2013,270.0
07/05/2013,275.0
03/05/2013,280.0
02/05/2013,283.0
30/04/2013,300.0
29/04/2013,300.0
26/04/2013,300.0
25/04/2013,300.0
23/04/2013,325.0
22/04/2013,325.0
19/04/2013,300.0
18/04/2013,300.0
17/04/2013,300.0
16/04/2013,300.0
15/04/2013,300.0
12/04/2013,300.0
11/04/2013,300.0
10/04/2013,300.0
09/04/2013,325.0
08/04/2013,325.0
05/04/2013,350.0
04/04/2013,375.0
03/04/2013,385.0
02/04/2013,375.0
28/03/2013,375.0
27/03/2013,375.0
26/03/2013,375.0
25/03/2013,375.0
22/03/2013,372.5
21/03/2013,351.0
20/03/2013,346.5
19/03/2013,347.5
18/03/2013,350.0
15/03/2013,344.5
14/03/2013,350.0
13/03/2013,344.5
12/03/2013,343.0
11/03/2013,319.5
08/03/2013,311.0
07/03/2013,311.5
06/03/2013,311.5
05/03/2013,313.0
04/03/2013,318.5
01/03/2013,318.5
28/02/2013,315.0
27/02/2013,318.0
26/02/2013,321.0
25/02/2013,307.0
22/02/2013,305.0
21/02/2013,300.0
20/02/2013,296.5
19/02/2013,295.5
18/02/2013,295.0
15/02/2013,295.0
14/02/2013,295.0
13/02/2013,292.5
12/02/2013,293.0
11/02/2013,294.5
08/02/2013,296.5
07/02/2013,297.0
06/02/2013,302.0
05/02/2013,303.0
04/02/2013,300.0
01/02/2013,296.5
31/01/2013,294.0
30/01/2013,300.0
29/01/2013,281.5
28/01/2013,275.0
25/01/2013,273.0
24/01/2013,274.0
23/01/2013,275.0
22/01/2013,275.0
21/01/2013,275.0
18/01/2013,275.0
17/01/2013,275.0
16/01/2013,283.5
15/01/2013,281.5
14/01/2013,274.0
11/01/2013,268.5
10/01/2013,258.0
09/01/2013,260.0
08/01/2013,262.5
07/01/2013,257.0
04/01/2013,256.0
03/01/2013,252.5
02/01/2013,270.0
31/12/2012,280.0
28/12/2012,280.0
27/12/2012,280.0
24/12/2012,280.0
21/12/2012,280.0
20/12/2012,280.0
19/12/2012,286.0
18/12/2012,288.0
17/12/2012,288.0
14/12/2012,290.0
13/12/2012,288.0
12/12/2012,290.0
11/12/2012,294.0
10/12/2012,295.0
07/12/2012,292.5
06/12/2012,290.0
05/12/2012,290.0
04/12/2012,287.0
03/12/2012,287.0
30/11/2012,288.0
29/11/2012,288.0
28/11/2012,293.0
27/11/2012,292.0
26/11/2012,296.0
23/11/2012,300.0
22/11/2012,300.0
21/11/2012,298.0
20/11/2012,305.0
19/11/2012,308.5
16/11/2012,322.5
15/11/2012,305.0
14/11/2012,294.0
13/11/2012,295.5
12/11/2012,290.0
09/11/2012,294.0
08/11/2012,283.0
07/11/2012,289.0
06/11/2012,281.0
05/11/2012,280.0
02/11/2012,272.0
01/11/2012,277.0
31/10/2012,270.0
30/10/2012,273.0
29/10/2012,270.0
26/10/2012,260.0
25/10/2012,250.0
24/10/2012,267.0
23/10/2012,276.0
22/10/2012,260.0
19/10/2012,256.0
18/10/2012,250.0
17/10/2012,242.0
16/10/2012,246.5
15/10/2012,270.0
12/10/2012,300.0
11/10/2012,304.0
10/10/2012,329.0
09/10/2012,343.0
08/10/2012,345.0
05/10/2012,345.0
04/10/2012,376.0
03/10/2012,377.0
02/10/2012,384.0
01/10/2012,385.0
28/09/2012,389.0
27/09/2012,385.0
26/09/2012,392.0
25/09/2012,378.0
24/09/2012,385.0
21/09/2012,376.0
20/09/2012,379.0
19/09/2012,372.0
18/09/2012,372.0
17/09/2012,372.0
14/09/2012,366.0
13/09/2012,388.0
12/09/2012,382.0
11/09/2012,383.0
10/09/2012,385.0
07/09/2012,385.0
06/09/2012,399.0
05/09/2012,402.0
04/09/2012,419.0
03/09/2012,425.0
31/08/2012,423.0
30/08/2012,427.0
29/08/2012,424.0
28/08/2012,425.0
27/08/2012,420.0
24/08/2012,420.0
23/08/2012,425.5
22/08/2012,432.0
21/08/2012,430.0
20/08/2012,436.0
17/08/2012,438.0
16/08/2012,440.0
15/08/2012,440.0
14/08/2012,430.5
13/08/2012,438.0
10/08/2012,440.0
09/08/2012,428.0
08/08/2012,433.0
07/08/2012,430.0
06/08/2012,427.5
03/08/2012,440.0
02/08/2012,460.5
01/08/2012,451.0
31/07/2012,453.0
30/07/2012,462.5
27/07/2012,485.0
26/07/2012,481.5
25/07/2012,503.0
24/07/2012,507.0
23/07/2012,501.0
20/07/2012,485.0
19/07/2012,478.0
18/07/2012,478.0
17/07/2012,476.5
16/07/2012,490.5
13/07/2012,499.0
