DATES,STX
08/07/2026,140842.3
07/07/2026,141691.73
06/07/2026,143587.16
03/07/2026,143072.3
02/07/2026,141741.66
01/07/2026,139468.06
30/06/2026,139892.19
29/06/2026,139081.97
26/06/2026,139790.13
25/06/2026,139624.45
24/06/2026,138853.98
23/06/2026,139301.72
22/06/2026,139495.63
19/06/2026,137625.55
18/06/2026,138405.88
17/06/2026,138901.3
16/06/2026,138730.73
15/06/2026,137602.78
12/06/2026,135724.69
11/06/2026,133528.69
10/06/2026,132231.02
09/06/2026,133372.63
08/06/2026,133710.41
05/06/2026,133670.95
04/06/2026,133591.94
03/06/2026,134720.16
02/06/2026,135997.44
01/06/2026,133797.41
29/05/2026,134616.81
28/05/2026,131452.7
27/05/2026,131829.83
26/05/2026,130916.32
22/05/2026,129728.5
21/05/2026,130632.44
20/05/2026,131460.2
19/05/2026,131773.44
18/05/2026,132046.38
15/05/2026,131696.19
14/05/2026,132426.66
13/05/2026,131071.24
12/05/2026,132484.92
11/05/2026,134265.27
08/05/2026,134545.2
07/05/2026,135138.83
06/05/2026,135899.33
05/05/2026,135935.09
04/05/2026,133586.13
30/04/2026,133787.98
29/04/2026,132633.84
28/04/2026,132855.52
27/04/2026,133168.5
24/04/2026,133872.25
23/04/2026,134799.02
22/04/2026,136308.23
21/04/2026,135643.98
20/04/2026,136386.25
17/04/2026,138818.03
16/04/2026,136260.36
15/04/2026,139499.38
14/04/2026,138891.06
13/04/2026,139459.59
10/04/2026,132888.2
09/04/2026,128030.58
08/04/2026,129730.83
07/04/2026,125961.98
02/04/2026,123996.41
01/04/2026,124307.61
31/03/2026,121380.56
30/03/2026,120770.78
27/03/2026,121718.08
26/03/2026,122510.7
25/03/2026,124235.55
24/03/2026,122655.67
23/03/2026,122647.44
20/03/2026,122107.32
19/03/2026,121795.19
18/03/2026,122255.73
17/03/2026,122537.07
16/03/2026,120787.85
13/03/2026,121754.84
12/03/2026,122028.59
11/03/2026,122583.12
10/03/2026,124570.0
09/03/2026,120443.1
06/03/2026,121885.96
05/03/2026,125157.64
04/03/2026,123872.29
03/03/2026,120688.04
02/03/2026,125373.25
27/02/2026,126534.75
26/02/2026,126768.38
25/02/2026,127083.87
24/02/2026,124714.69
23/02/2026,127042.45
20/02/2026,125733.91
19/02/2026,126673.84
18/02/2026,127820.56
17/02/2026,124907.35
16/02/2026,124389.48
13/02/2026,126964.02
12/02/2026,130202.21
11/02/2026,129447.89
10/02/2026,130328.22
09/02/2026,129854.13
06/02/2026,130030.34
05/02/2026,129819.11
04/02/2026,133311.7
03/02/2026,130284.26
02/02/2026,128391.02
30/01/2026,128831.58
29/01/2026,127890.41
28/01/2026,128194.87
27/01/2026,127493.86
26/01/2026,126663.78
23/01/2026,125061.81
22/01/2026,125197.21
21/01/2026,121308.37
20/01/2026,121282.66
19/01/2026,122151.69
16/01/2026,122311.2
15/01/2026,120679.89
14/01/2026,120651.59
13/01/2026,118863.12
12/01/2026,117385.41
09/01/2026,116510.12
08/01/2026,115909.58
07/01/2026,116560.1
06/01/2026,116425.94
05/01/2026,113182.33
30/12/2025,111031.79
29/12/2025,110953.4
23/12/2025,111046.97
22/12/2025,110890.99
19/12/2025,110405.74
18/12/2025,109547.02
17/12/2025,108783.37
16/12/2025,109761.83
15/12/2025,109506.37
12/12/2025,109607.58
11/12/2025,109213.64
10/12/2025,108571.16
09/12/2025,108570.17
08/12/2025,107884.53
05/12/2025,108922.07
04/12/2025,109387.87
03/12/2025,109235.96
02/12/2025,109816.05
01/12/2025,110414.33
28/11/2025,109453.39
27/11/2025,109379.24
26/11/2025,109827.02
25/11/2025,108613.56
24/11/2025,107705.75
21/11/2025,107255.57
20/11/2025,107565.55
19/11/2025,107194.23
18/11/2025,106072.63
17/11/2025,107362.16
14/11/2025,107297.46
13/11/2025,108213.63
12/11/2025,108149.88
11/11/2025,107229.31
10/11/2025,107834.11
07/11/2025,107306.66
06/11/2025,106933.5
05/11/2025,107479.46
04/11/2025,108029.49
03/11/2025,107763.9
31/10/2025,107319.91
30/10/2025,106989.61
29/10/2025,107141.14
28/10/2025,106293.74
27/10/2025,105317.01
22/10/2025,104182.83
21/10/2025,103424.15
20/10/2025,103789.82
17/10/2025,102968.67
16/10/2025,103065.51
15/10/2025,102816.02
14/10/2025,102389.83
13/10/2025,102607.22
10/10/2025,101990.76
09/10/2025,101386.48
08/10/2025,101811.05
07/10/2025,101345.95
06/10/2025,99921.6
03/10/2025,100462.96
02/10/2025,99650.42
01/10/2025,99157.11
30/09/2025,98871.6
29/09/2025,99257.44
26/09/2025,99207.79
25/09/2025,98014.87
24/09/2025,98376.68
23/09/2025,98804.66
22/09/2025,99290.14
19/09/2025,100099.05
18/09/2025,99634.76
17/09/2025,99347.92
16/09/2025,99877.82
15/09/2025,100640.56
12/09/2025,101199.84
11/09/2025,102284.12
10/09/2025,101532.64
09/09/2025,102653.31
08/09/2025,102973.66
05/09/2025,103178.71
04/09/2025,104462.87
03/09/2025,103127.6
02/09/2025,102809.42
01/09/2025,103713.16
29/08/2025,102554.62
28/08/2025,103751.98
27/08/2025,104232.11
26/08/2025,105155.63
25/08/2025,104831.43
22/08/2025,105513.1
21/08/2025,106091.94
19/08/2025,106542.74
18/08/2025,105519.51
15/08/2025,105146.55
14/08/2025,104722.71
13/08/2025,104739.96
