g,eta,a_priv,a_soc,A_priv,A_soc,L_priv,L_soc,S_priv,S_soc,S_gap,t_star
0.0,0.5,0.5966666666666667,0.2911764705882353,5.966666666666667,2.9117647058823533,5.4853555555555555,2.4989792387543255,2.7426777777777778,1.2494896193771627,1.493188158400615,0.4582352941176471
0.01,0.51,0.5966666666666667,0.2857981220657277,5.966666666666667,2.857981220657277,5.4853555555555555,2.4497461096784146,2.7975313333333336,1.2493705159359914,1.5481608173973422,0.4663028169014085
0.02,0.52,0.5966666666666667,0.28044496487119436,5.966666666666667,2.8044496487119437,5.4853555555555555,2.4008584756127656,2.852384888888889,1.248446407318638,1.6039384815702509,0.4743325526932085
0.03,0.53,0.5966666666666667,0.27511682242990654,5.966666666666667,2.7511682242990654,5.4853555555555555,2.35231311140711,2.907238444444445,1.2467259490457683,1.6605124953986765,0.4823247663551402
0.04,0.54,0.5966666666666667,0.2698135198135198,5.966666666666667,2.698135198135198,5.4853555555555555,2.30410682945648,2.962092,1.2442176879064992,1.717874312093501,0.49027972027972033
0.05,0.55,0.5966666666666667,0.2645348837209302,5.966666666666667,2.645348837209302,5.4853555555555555,2.2562364791779337,3.016945555555556,1.2409300635478637,1.7760154920076923,0.49819767441860474
0.06,0.56,0.5966666666666667,0.25928074245939675,5.966666666666667,2.5928074245939676,5.4853555555555555,2.2086989464957663,3.0717991111111114,1.2368714100376292,1.8349277010734821,0.5060788863109049
0.07,0.5700000000000001,0.5966666666666667,0.2540509259259259,5.966666666666667,2.5405092592592586,5.4853555555555555,2.1614911533350476,3.126652666666667,1.2320499574009773,1.8946027092656899,0.5139236111111112
0.08,0.58,0.5966666666666667,0.2488452655889146,5.966666666666667,2.4884526558891458,5.4853555555555555,2.1146100571233517,3.181506222222222,1.226473833131544,1.9550323890906782,0.5217321016166281
0.09,0.59,0.5966666666666667,0.2436635944700461,5.966666666666667,2.436635944700461,5.4853555555555555,2.068052650300495,3.2363597777777775,1.220151063677292,2.016208714100485,0.5295046082949308
0.1,0.6,0.5966666666666667,0.2385057471264368,5.966666666666667,2.3850574712643677,5.4853555555555555,2.021815959836174,3.2912133333333333,1.2130895759017042,2.078123757431629,0.5372413793103448
0.11,0.61,0.5966666666666667,0.23337155963302755,5.966666666666667,2.3337155963302756,5.4853555555555555,1.975897046755324,3.3460668888888887,1.2052971985207477,2.140769690368141,0.5449426605504587
0.12,0.62,0.5966666666666667,0.2282608695652174,5.966666666666667,2.282608695652174,5.4853555555555555,1.9302930056710776,3.4009204444444445,1.1967816635160682,2.2041387809283766,0.5526086956521739
0.13,0.63,0.5966666666666667,0.22317351598173515,5.966666666666667,2.2317351598173514,5.4853555555555555,1.8850009643251808,3.455774,1.1875506075248639,2.268223392475136,0.5602397260273972
0.14,0.64,0.5966666666666667,0.21810933940774488,5.966666666666667,2.1810933940774486,5.4853555555555555,1.8400180831357247,3.5106275555555557,1.1776115732068637,2.333015982348692,0.5678359908883828
0.15,0.65,0.5966666666666667,0.21306818181818182,5.966666666666667,2.1306818181818183,5.4853555555555555,1.7953415547520664,3.565481111111111,1.1669720105888433,2.3985091005222676,0.5753977272727273
0.16,0.66,0.5966666666666667,0.20804988662131518,5.966666666666667,2.080498866213152,5.4853555555555555,1.7509686036168057,3.620334666666667,1.155639278387092,2.464695388279575,0.5829251700680272
0.17,0.67,0.5966666666666667,0.20305429864253394,5.966666666666667,2.0305429864253393,5.4853555555555555,1.7068964855346942,3.6751882222222223,1.1436206453082451,2.531567576913977,0.5904185520361991
0.18,0.6799999999999999,0.5966666666666667,0.1980812641083522,5.966666666666667,1.980812641083522,5.4853555555555555,1.6631224872483434,3.7300417777777772,1.1309232913288734,2.599118486448904,0.5978781038374718
0.19,0.69,0.5966666666666667,0.19313063063063068,5.966666666666667,1.9313063063063067,5.4853555555555555,1.6196439260206157,3.784895333333333,1.1175543089542248,2.667341024379108,0.605304054054054
0.2,0.7,0.5966666666666667,0.18820224719101128,5.966666666666667,1.8820224719101128,5.4853555555555555,1.5764581492235834,3.8397488888888884,1.1035207044565083,2.73622818443238,0.6126966292134831
0.21,0.71,0.5966666666666667,0.18329596412556057,5.966666666666667,1.8329596412556057,5.4853555555555555,1.5335625339339223,3.8946024444444443,1.0888293990930848,2.8057730453513594,0.6200560538116592
0.22,0.72,0.5966666666666667,0.17841163310961972,5.966666666666667,1.7841163310961972,5.4853555555555555,1.490954486534641,3.9494559999999996,1.0734872303049414,2.875968769695058,0.6273825503355704
0.23,0.73,0.5966666666666667,0.17354910714285718,5.966666666666667,1.7354910714285718,5.4853555555555555,1.4486314423230235,4.0043095555555555,1.0575009528958073,2.946808602659748,0.6346763392857142
0.24,0.74,0.5966666666666667,0.1687082405345212,5.966666666666667,1.6870824053452118,5.4853555555555555,1.4065908651246772,4.059163111111111,1.0408772401922612,3.01828587091885,0.6419376391982182
0.25,0.75,0.5966666666666667,0.16388888888888883,5.966666666666667,1.6388888888888884,5.4853555555555555,1.36483024691358,4.114016666666666,1.023622685185185,3.090393981481481,0.6491666666666668
0.26,0.76,0.5966666666666667,0.15909090909090903,5.966666666666667,1.5909090909090904,5.4853555555555555,1.3233471074380163,4.168870222222222,1.0057438016528923,3.1631264205693297,0.6563636363636365
0.27,0.77,0.5966666666666667,0.15431415929203535,5.966666666666667,1.5431415929203536,5.4853555555555555,1.2821389938522982,4.223723777777778,0.9872470252662696,3.2364767525115083,0.663528761061947
0.28,0.78,0.5966666666666667,0.14955849889624717,5.966666666666667,1.4955849889624717,5.4853555555555555,1.241203480354175,4.278577333333334,0.9681387146762565,3.310438618657077,0.6706622516556293
0.29,0.79,0.5966666666666667,0.14482378854625544,5.966666666666667,1.4482378854625544,5.4853555555555555,1.2005381678278246,4.3334308888888895,0.9484251525839815,3.385005736304908,0.6777643171806169
0.3,0.8,0.5966666666666667,0.14010989010989006,5.966666666666667,1.4010989010989006,5.4853555555555555,1.1601406834923313,4.388284444444444,0.9281125467938651,3.4601718976505795,0.6848351648351649
0.31,0.81,0.5966666666666667,0.1354166666666666,5.966666666666667,1.354166666666666,5.4853555555555555,1.120008680555555,4.443138,0.9072070312499996,3.5359309687500007,0.6918750000000001
0.32,0.8200000000000001,0.5966666666666667,0.13074398249452948,5.966666666666667,1.3074398249452948,5.4853555555555555,1.0801398378732956,4.497991555555556,0.8857146670561025,3.6122768884994536,0.6988840262582058
0.33,0.8300000000000001,0.5966666666666667,0.12609170305676848,5.966666666666667,1.260917030567685,5.4853555555555555,1.0405318596136606,4.552845111111112,0.8636414434793384,3.6892036676317734,0.7058624454148473
0.34,0.8400000000000001,0.5966666666666667,0.12145969498910668,5.966666666666667,1.2145969498910667,5.4853555555555555,1.001182474926547,4.607698666666667,0.8409932789382996,3.766705387728367,0.71281045751634
0.35000000000000003,0.8500000000000001,0.5966666666666667,0.11684782608695644,5.966666666666667,1.1684782608695645,5.4853555555555555,0.9620894376181469,4.662552222222223,0.817776021975425,3.844776200246798,0.7197282608695653
0.36,0.86,0.5966666666666667,0.11225596529284163,5.966666666666667,1.1225596529284163,5.4853555555555555,0.9232505258303885,4.717405777777778,0.793995452214134,3.9234103255636437,0.7266160520607376
0.37,0.87,0.5966666666666667,0.10768398268398266,5.966666666666667,1.0768398268398265,5.4853555555555555,0.8846635417252299,4.772259333333333,0.76965728130095,4.002602052032383,0.733474025974026
0.38,0.88,0.5966666666666667,0.10313174946004317,5.966666666666667,1.0313174946004318,5.4853555555555555,0.8463263111737237,4.827112888888889,0.7447671538328768,4.082345735056013,0.7403023758099353
0.39,0.89,0.5966666666666667,0.09859913793103445,5.966666666666667,0.9859913793103445,5.4853555555555555,0.808236683449762,4.881966444444444,0.7193306482702881,4.162635796174156,0.7471012931034484
0.4,0.9,0.5966666666666667,0.0940860215053763,5.966666666666667,0.940860215053763,5.4853555555555555,0.7703925309284307,4.93682,0.6933532778355876,4.2434667221644125,0.7538709677419355
0.41000000000000003,0.91,0.5966666666666667,0.08959227467811154,5.966666666666667,0.8959227467811154,5.4853555555555555,0.7327917487888886,4.991673555555556,0.6668404913978887,4.3248330641576676,0.7606115879828327
0.42,0.9199999999999999,0.5966666666666667,0.08511777301927197,5.966666666666667,0.8511777301927197,5.4853555555555555,0.6954322547216965,5.046527111111111,0.6397976743439607,4.40672943676715,0.7673233404710921
0.43,0.9299999999999999,0.5966666666666667,0.08066239316239318,5.966666666666667,0.8066239316239319,5.4853555555555555,0.6583119886405145,5.101380666666667,0.6122301494356784,4.489150517230988,0.7740064102564103
0.44,0.94,0.5966666666666667,0.07622601279317699,5.966666666666667,0.7622601279317699,5.4853555555555555,0.621428912398107,5.1562342222222215,0.5841431776542206,4.572091044568001,0.7806609808102345
0.45,0.95,0.5966666666666667,0.07180851063829788,5.966666666666667,0.7180851063829787,5.4853555555555555,0.5847810095065641,5.211087777777777,0.5555419590312358,4.655545818746542,0.7872872340425532
0.46,0.96,0.5966666666666667,0.06740976645435244,5.966666666666667,0.6740976645435244,5.4853555555555555,0.5483662848616802,5.265941333333333,0.5264316334672129,4.739509699866121,0.7938853503184713
0.47000000000000003,0.97,0.5966666666666667,0.06302966101694915,5.966666666666667,0.6302966101694916,5.4853555555555555,0.5121827644714163,5.320794888888889,0.4968172815372738,4.823977607351615,0.8004555084745762
0.48,0.98,0.5966666666666667,0.05866807610993657,5.966666666666667,0.5866807610993657,5.4853555555555555,0.47622849518837523,5.375648444444444,0.46670392528460775,4.908944519159836,0.8069978858350951
0.49,0.99,0.5966666666666667,0.05432489451476793,5.966666666666667,0.5432489451476793,5.4853555555555555,0.4405015444462248,5.430502,0.43609652900176255,4.994405470998237,0.8135126582278481
0.5,1.0,0.5966666666666667,0.04999999999999999,5.966666666666667,0.4999999999999999,5.4853555555555555,0.4049999999999999,5.4853555555555555,0.4049999999999999,5.080355555555555,0.8200000000000001
0.51,1.01,0.5966666666666667,0.04569327731092435,5.966666666666667,0.4569327731092435,5.4853555555555555,0.3697219696702209,5.540209111111111,0.37341918936692314,5.166789921744188,0.8264600840336135
0.52,1.02,0.5966666666666667,0.04140461215932912,5.966666666666667,0.4140461215932912,5.4853555555555555,0.3346655810907619,5.595062666666667,0.34135889271257713,5.25370377395409,0.8328930817610063
0.53,1.03,0.5966666666666667,0.0371338912133891,5.966666666666667,0.37133891213389103,5.4853555555555555,0.2998289814604085,5.649916222222222,0.30882385090422076,5.341092371318001,0.8392991631799164
