institución,θ (JxG_c),triple (JxG_I),t triple,θ inst. débiles,θ inst. fuertes,países
rule_of_law,-0.253,-0.451,-0.81,0.199,-0.704,11
gov_effectiveness,-0.167,0.025,0.06,-0.192,-0.142,11
