date,country,GaR,prob_neg,ES,ER,mean,std,iqr_05_95,skew,kurt,GaR_st,mean_st,std_st,scale_st,alpha_st,nu_st,skew_st,sse_st,n_train,quarter
01/03/2003,BRAZIL,,,,,,,,,,,,,,,,,,45,2003Q1
01/03/2004,BRAZIL,,,,,,,,,,,,,,,,,,70,2004Q1
01/03/2005,BRAZIL,,,,,,,,,,,,,,,,,,98,2005Q1
01/03/2006,BRAZIL,,,,,,,,,,,,,,,,,,129,2006Q1
01/03/2007,BRAZIL,,,,,,,,,,,,,,,,,,163,2007Q1
01/03/2008,BRAZIL,0.042206886498819526,0.0,0.03538383760790433,0.07577624600962307,0.05657324692554795,0.010814860951082047,0.033526553627098984,0.13962944872353114,0.9273530553116902,0.041269800255912224,0.058199738200715924,0.010280675985733605,0.010280821227267622,-0.009023058893240276,234037524822777.84,-0.009022691606827475,2.7956823014657883e-06,205,2008Q1
01/03/2009,BRAZIL,-0.05891993330143019,0.655643519083312,-0.059400034674056496,0.039752847000413614,-0.007742043214323883,0.021093086394545414,0.08352234190690798,-0.2778034674569155,1.5899777945603308,-0.05891993338906332,-0.011110338821747799,0.0302824342817022,0.023463476071569806,-1.3290328337175608,3.4687006266673714,-0.7990682090350317,8.298278425649966e-19,251,2009Q1
01/03/2010,BRAZIL,0.06422742740891331,0.0,0.06001268935975461,0.09245290433972371,0.07815760035858603,0.009610354446545897,0.026943297651745413,-0.253573184845922,0.9032821153178743,0.06401240000518404,0.07782054421878844,0.008394142455200477,0.008394761326391775,-0.015976743266165577,133115.39349622594,-0.015974704574060132,1.62971872573033e-06,301,2010Q1
01/03/2011,BRAZIL,0.03585989886512395,0.0,0.031005713701668353,0.0801142482218093,0.055680690927073645,0.010865406009551196,0.03806907587681357,-0.03686452712061714,1.3165769804292915,0.035859898938965996,0.055459023081981855,0.011763329292147068,0.011349517084957886,-0.57535321456847,9.652174121955918,-0.49870119195830354,3.607770002804622e-20,357,2011Q1
01/03/2012,BRAZIL,0.009858719837473804,0.0,0.004826250791542436,0.05777390841986873,0.03021353646562616,0.014555904034979979,0.0432567405438187,-0.05475816125034266,1.1766210316542203,0.008625083660955992,0.03058577745343742,0.013350906195490017,0.013351254562481164,-0.009023058892931937,1895184467160.2578,-0.009022691606519175,4.785272991755844e-06,415,2012Q1
01/03/2013,BRAZIL,0.01672828837327481,0.0,0.013273414434651484,0.06597223061757387,0.03458200134015884,0.013715784899466659,0.039013919455785154,0.018853426784633167,1.0309393972287062,0.015050262129465704,0.034996451776930476,0.012125997425488212,0.012130690460151337,-0.034882421100993204,21991569.195240166,-0.03486121827470393,8.819348081776305e-06,475,2013Q1
01/03/2014,BRAZIL,0.018347863060238445,0.0,0.016352179422610164,0.060293174481941894,0.03696892861606601,0.011841005752051513,0.039064674090735226,-0.054480664177908686,1.1517490795913847,0.01832205216780323,0.036810426376829165,0.011907725749305303,0.015892865752981402,1.4884223686574192,320416.745760141,0.8300583198526644,7.197795770627663e-09,535,2014Q1
01/03/2015,BRAZIL,-0.02327762270204211,0.5719091487189746,-0.030062554579923975,0.02709551560803499,-0.0023545529276470757,0.012359004837391663,0.047761967860052754,0.13205145014892525,1.2449767692107878,-0.024773129517124716,-0.0009000892958100444,0.015892900114413133,0.011280541072155505,0.0036695490809216073,4.030561735853243,0.0036695243748485753,8.96284964065342e-06,595,2015Q1
01/03/2016,BRAZIL,-0.047583808661135846,0.9461020912082819,-0.050292823821283285,0.005303293079485357,-0.024524411404852946,0.012189438411051677,0.04852870535777222,-0.025641745479559126,1.2904372013935648,-0.04758380834569246,-0.02446735777741624,0.017048671202605458,0.011403851510967535,0.4120906842774118,3.434393459927783,0.381007488246401,9.758314377013169e-19,655,2016Q1
01/03/2017,BRAZIL,-0.0076081596258852635,0.1630772589123281,-0.010921637801556954,0.03639121182993822,0.010584735206502823,0.010725125453454557,0.03722653783798903,0.03447168859960377,1.2374797554169452,-0.007608159398982689,0.010368241187572642,0.011465138098018983,0.01165666587552337,0.7110561750355266,11.37393500400771,0.579494050812545,1.9983366336870293e-19,721,2017Q1
01/03/2018,BRAZIL,-0.0018205665404766591,0.06259979165591342,-0.008912714239091398,0.050656258391549164,0.019500218519373023,0.01188170028890604,0.045015886513618,-0.06419712548071026,1.3266717628897302,-0.0018205664648887968,0.019459499822679978,0.014709849512963283,0.011793995467992218,0.5699870042831219,4.545697005962513,0.495194522251102,1.8720469443882202e-19,789,2018Q1
01/03/2019,BRAZIL,-0.0030925627572746944,0.08840643848034943,-0.00835127339592033,0.04018775185658109,0.014035067020088443,0.009871952295934596,0.03554252077089721,0.029404274331679216,1.2843283445593343,-0.0030925628094188346,0.013879098627074527,0.011137630982645435,0.010307670470033942,0.650417516511135,6.897713682066353,0.5452343709016381,6.64812217427263e-19,857,2019Q1
01/03/2020,BRAZIL,-0.0592875248403832,0.4980502626257621,-0.06894124270206202,0.051744029869861104,-0.003992658073913395,0.0231004048844035,0.0925425534559299,-0.12599597284409964,1.5507649241813954,-0.05741261363256447,-0.004668521265327595,0.02804881927415836,0.04459795990511746,-4.3347852032143805,1030432649.5150076,-0.9744076945671106,2.4875019305920904e-05,925,2020Q1
01/03/2021,BRAZIL,-0.009992114317237982,0.09250362094724156,-0.019151111030326382,0.055021779539624976,0.01880851053574393,0.011992026518083822,0.05398305588520491,0.09911500140889909,1.507841815196892,-0.009984625510053944,0.017953346068802126,0.04763100648134571,0.010439316753299798,-0.3312704296599156,2.1,-0.31446479461310045,1.2131821541292848e-09,993,2021Q1
01/03/2022,BRAZIL,-0.03186174686627477,0.2145111371843425,-0.04340655305927055,0.0618652410335999,0.011715791810365804,0.014421120880736642,0.07593792528443512,-0.06873552163898758,1.7518010690962889,-0.03133605816077384,0.008965503047059313,0.06965609777427242,0.015415810809118021,-0.680684549295909,2.1000000000000134,-0.562696920839506,5.7108627876550805e-06,1061,2022Q1
01/03/2023,BRAZIL,0.003164061777747529,0.04369027386430569,-0.009372384772001816,0.08572102628964001,0.03712764797509471,0.011585783121314972,0.06185865069237058,-0.09091128309825494,1.7999663923832507,0.003605248057651354,0.03559969897163193,0.05469197506051475,0.012023112794812673,-0.44760043520386716,2.100000000000037,-0.40854250575629214,4.139224585604459e-06,1129,2023Q1
01/03/2024,BRAZIL,0.015459721732352542,0.0,0.007500575784292866,0.07863605285359415,0.03463063706280015,0.009081921220134678,0.04238663715001942,0.08003126034772277,1.5036351617574684,0.015525586190652911,0.03532795695711237,0.03854758599609429,0.008503570315272595,0.5693208481738892,2.1,0.49475750827825915,1.3718560611808054e-07,1197,2024Q1
01/03/2025,BRAZIL,-0.0011225979720061452,0.054819897288148504,-0.01686937544005753,0.08192757609978717,0.03503925942740099,0.01269218257734446,0.0667580957793931,-0.043996157381458664,1.7746915396112855,-0.0006859660227566519,0.03384520173277653,0.059009823556224666,0.012969015519375593,-0.4383558105019708,2.1,-0.40147661755834624,4.082453210631192e-06,1265,2025Q1
01/03/2026,BRAZIL,-0.03311114156437838,0.19676636008394865,-0.05454834321198268,0.07927793630559882,0.015698504323211234,0.01682176628876704,0.0906879358230428,-0.012894066789121243,1.7654282532473802,-0.032421134752814544,0.014073637133639263,0.07931523010942064,0.017400605793446593,-0.37103397000344895,2.1,-0.34786140300094603,9.663370743141965e-06,1332,2026Q1
01/06/2003,BRAZIL,,,,,,,,,,,,,,,,,,50,2003Q2
01/06/2004,BRAZIL,,,,,,,,,,,,,,,,,,77,2004Q2
01/06/2005,BRAZIL,,,,,,,,,,,,,,,,,,105,2005Q2
01/06/2006,BRAZIL,,,,,,,,,,,,,,,,,,137,2006Q2
01/06/2007,BRAZIL,,,,,,,,,,,,,,,,,,172,2007Q2
01/06/2008,BRAZIL,0.045302668070120136,0.0,0.03903569706538978,0.07469239784799707,0.058002382154369606,0.008540058339126553,0.028866734757123133,-0.0865552086966897,1.2117379160638437,0.04530266802357277,0.05783506359901569,0.008921152331652972,0.012707345040582602,2.595201295780921,27.16649846947072,0.9331230807485529,6.889682376651866e-21,216,2008Q2
01/06/2009,BRAZIL,-0.031661443328170356,0.37695049427008437,-0.04011847127623762,0.02571936291660113,0.0008782542203082085,0.01037193544673903,0.05726014024071691,-0.5978027485329,1.8992153383113346,-0.031166485670341408,-0.0013150864753897432,0.05122514753767401,0.01129151506731977,-0.5427652962470731,2.1,-0.47702951274351796,4.962363338576502e-06,263,2009Q2
01/06/2010,BRAZIL,0.04098621284231524,0.0,0.028663769791277327,0.08732407262890353,0.06224566916265036,0.01976797012141396,0.04254268244264077,-0.26278726504922983,1.1195355804878535,0.03930760136198626,-134050498.03184974,,0.013915689635098004,-0.009023058899198981,3.581005937280782e+24,-0.009022691612785454,3.641261113075345e-05,314,2010Q2
