quarter,UST10Y,US_HY_spread,OnOffRun_spread,UST10Y_log,US_HY_spread_log,OnOffRun_spread_log
2003Q1,3.92,,-0.39035901639344267,1.5933085305042167,,-0.4948850465438403
2003Q2,3.6206349206349207,,-0.32147619047619047,1.5305321243600447,,-0.38783570890977126
2003Q3,4.22765625,,-0.346796875,1.6539630418787368,,-0.4258671337576506
2003Q4,4.285161290322581,,-0.30928387096774185,1.6649031373659968,,-0.3700263514409369
2004Q1,4.01,,-0.2776225806451613,1.6114359150967734,,-0.3252075351823507
2004Q2,4.597096774193548,,-0.28860645161290316,1.722248030128434,,-0.3405294884053109
2004Q3,4.30140625,,-0.25406875,1.6679721155529261,,-0.2931218412021457
2004Q4,4.175806451612903,,-0.2091838709677419,1.6439951630707197,,-0.23468979205115612
2005Q1,4.303606557377049,,-0.12386721311475421,1.6683870716587952,,-0.13223761633098302
2005Q2,4.15859375,,-0.09151562499999996,1.6406640132809085,,-0.09597758997295158
2005Q3,4.21515625,,-0.06701249999999992,1.6515690496529836,,-0.06936347586655735
2005Q4,4.488196721311475,,-0.08719180327868853,1.7025997355011626,,-0.09122950071855089
2006Q1,4.577096774193548,,-0.0547774193548387,1.7186683496315385,,-0.05633484414818034
2006Q2,5.072698412698412,,-0.04277142857142851,1.8038030553329747,,-0.04371307442914921
2006Q3,4.893492063492064,,-0.029960317460317507,1.7738487020291414,,-0.03041829848676875
2006Q4,4.630645161290323,,-0.03108548387096774,1.7282240290658988,,-0.03157888963195426
2007Q1,4.679032258064517,,-0.04055967741935487,1.7367808411159154,,-0.04140516184109563
2007Q2,4.84609375,,-0.042468749999999875,1.7657737031666956,,-0.043396921384195576
2007Q3,4.738412698412698,,-0.10021904761904762,1.7471826387114915,,-0.10560393152445101
2007Q4,4.266612903225807,,-0.18631129032258062,1.6613874430644424,,-0.20617740666469153
2008Q1,3.6652459016393446,,-0.31504754098360654,1.5401405449442342,,-0.37840584602418015
2008Q2,3.8815625000000002,,-0.30512344725131996,1.5854653530431908,,-0.36402107113833604
2008Q3,3.8621875,,-0.2851375091075898,1.581488439527145,,-0.33566507521427036
2008Q4,3.234677419354839,,-0.6579274046805598,1.4433071550387766,,-1.0727322974290803
2009Q1,2.7362295081967214,,-0.6253082062768154,1.3180769500099287,,-0.9816514743479057
2009Q2,3.320793650793651,,-0.4830492003001865,1.4634391008438934,,-0.6598075739928725
2009Q3,3.5178125,,-0.44969375967979436,1.5080279165206245,,-0.5972803551293554
2009Q4,3.4640322580645164,,-0.37889356736213875,1.4960524513218334,,-0.47625282262320634
2010Q1,3.7178688524590164,,-0.32029671684640354,1.5513571833246547,,-0.3860989243431428
2010Q2,3.4925,,-0.2729812410473825,1.5024093396755769,,-0.31880299854545274
2010Q3,2.78453125,,-0.2286999976634975,1.3309220350985633,,-0.2596778730128791
2010Q4,2.8783870967741936,,-0.21976936694114424,1.3554193705016715,,-0.24816571959543415
2011Q1,3.4574193548387098,,-0.22815645725496336,1.4945699785755024,,-0.25897341433468973
2011Q2,3.2014285714285715,,-0.22109841634356875,1.4354246035105904,,-0.2498705778622153
2011Q3,2.41421875,,-0.17416249959170815,1.2279486967191036,,-0.1913572555557563
2011Q4,2.0467213114754097,,-0.11789016293697674,1.1140660325699498,,-0.12543869891130216
2012Q1,2.04,,-0.09350967822536324,1.1118575154181303,,-0.09817492532008107
2012Q2,1.82578125,,-0.055335926264524715,1.038784875038435,,-0.05692589221410582
2012Q3,1.6412698412698414,,-0.04389365848965127,0.9712598019955757,,-0.0448861362275025
2012Q4,1.7070491803278687,,-0.03075410295705345,0.9958591783015857,,-0.03123693556572603
2013Q1,1.951,,-0.05932166083653887,1.0821440959608024,,-0.06115402656522539
2013Q2,1.98625,,-0.06409998618066345,1.0940184196578822,,-0.0662466310531004
2013Q3,2.7065625,,-0.14592498958110786,1.310104897241458,,-0.15773625483660653
2013Q4,2.7441935483870967,,-0.1558548344335242,1.320206252895385,,-0.1694308020593107
2014Q1,2.7654098360655737,,-0.14012131628442903,1.325856709528352,,-0.15096396513226013
2014Q2,2.620952380952381,,-0.11025555368453747,1.2867370798968054,,-0.11682099645962947
2014Q3,2.49953125,,-0.09755937799811326,1.2526290309547075,,-0.10265238373523529
2014Q4,2.2759677419354842,,-0.08971291034452404,1.1866133191583028,,-0.09399524608769659
2015Q1,1.9688524590163934,,-0.0831590210805177,1.0881755007160565,,-0.08682123624627332
2015Q2,2.164375,,-0.09974375523626874,1.1519555637420367,,-0.10507583977770417
2015Q3,2.223125,,-0.0811499986052516,1.1703513858230863,,-0.08463238932277543
2015Q4,2.190483870967742,,-0.09036129428494355,1.1601725889828929,,-0.09470778499395482
2016Q1,1.9142622950819672,,-0.08701147571938966,1.0696167157612828,,-0.09103196770974335
2016Q2,1.75015625,,-0.06115313604474014,1.0116577282462063,,-0.06310289725324694
2016Q3,1.564375,,-0.045309377908706545,0.9417147842143135,,-0.04636794691181034
2016Q4,2.138688524590164,,-0.0779885157600777,1.1438050453448958,,-0.08119759971144318
2017Q1,2.4466129032258066,,-0.07471290803724695,1.2373919816132806,,-0.07765121993495759
2017Q2,2.260952380952381,,-0.057053975604829214,1.1820192941100636,,-0.05874623616800176
2017Q3,2.2414285714285715,,-0.04461269212147552,1.1760141497364371,,-0.04563846272983564
2017Q4,2.371451612903226,,-0.026324202476009372,1.2153433972885996,,-0.02667688750025606
2018Q1,2.7585245901639346,,-0.019537710439963454,1.3240264841612595,,-0.019731094503473646
2018Q2,2.920625,,-0.003132806420325915,1.3662510798688705,,-0.0031377239314521986
2018Q3,2.9238095238095236,,0.0021492102789496623,1.367062999192003,,0.0021469040303558375
2018Q4,3.0411475409836064,,0.002842629698456453,1.396528696437895,,0.002838597067032873
2019Q1,2.652950819672131,,0.0063639207746165735,1.2955352847255657,,0.006343756534671922
2019Q2,2.338888888888889,,-0.012611111383589233,1.2056380836449971,,-0.012691306394268314
2019Q3,1.79796875,,-0.009576563611626426,1.0288937074889963,,-0.009622713773247438
2019Q4,1.7919354838709676,,-0.019037093270209828,1.026735077137072,,-0.01922063182401882
2020Q1,1.365,,-0.03902902903095367,0.8607780219438964,,-0.03981107757626078
2020Q2,0.6876190476190476,,-0.04274285967236475,0.5233186880134572,,-0.043683229443741006
2020Q3,0.650625,,-0.005470311045646636,0.5011540040692596,,-0.005485327987046505
2020Q4,0.864516129032258,,-0.0070983886826422905,0.6230015711931856,,-0.007123702104387197
2021Q1,1.3359016393442622,,-0.05539344262295081,0.8483979576343862,,-0.056986779582486595
2021Q2,1.59078125,,-0.0931515625,0.9519594711536095,,-0.09777994591737721
2021Q3,1.32484375,,-0.05464687499999997,0.8436528324799343,,-0.056196744039672224
2021Q4,1.5333870967741934,,-0.06421451612903227,0.9295571808098493,,-0.06636901266972678
2022Q1,1.9511290322580646,,-0.07023225806451615,1.082187819931383,,-0.07282046387934436
2022Q2,2.9325806451612904,,-0.06691451612903222,1.3692958630919085,,-0.06925845974778315
2022Q3,3.10109375,,-0.04653593749999999,1.411253706426611,,-0.04765354474109776
2022Q4,3.82672131147541,,-0.030319672131147613,1.5741674196636493,,-0.0307888206992665
2023Q1,3.646290322580645,,-0.0020709677419354995,1.5360691211131938,,-0.002073115160965491
2023Q2,3.5957142857142856,,-0.02204761904761901,1.5251241921956216,,-0.022294300365466823
2023Q3,4.14968253968254,3.89,0.0026634920634920167,1.6389350699955612,1.5871923034867808,0.002659951254390322
2023Q4,4.4470967741935485,3.9779999999999998,-0.05737741935483869,1.6950827647562077,1.6050282039454002,-0.0590893090769559
2024Q1,4.15639344262295,3.365,-0.013918032786885307,1.640237389889268,1.4736181892915656,-0.014015796786912033
2024Q2,4.448730158730158,3.180151515151515,0.028292063492063535,1.6953825831286726,1.430347493523638,0.02789923513712351
2024Q3,3.9546875,3.259850746268657,0.0021718750000000106,1.60033409818463,1.4492341235803312,0.0021695198888803027
