quarter,fx_vol
2004Q1,0.015773905374791182
2004Q2,0.013009191755898054
2004Q3,0.016593809703655378
2004Q4,0.031730520567671984
2005Q1,0.007235794211021982
2005Q2,0.006267839760191417
2005Q3,0.006093626110443786
2005Q4,0.006920278588040434
2006Q1,0.00719782315266435
2006Q2,0.006082806487337842
2006Q3,0.00383924597159022
2006Q4,0.004608333856119333
2007Q1,0.0048273638812502875
2007Q2,0.0067284364387864585
2007Q3,0.007162049601789233
2007Q4,0.012645954899500541
2008Q1,0.02847469584395612
2008Q2,0.04644065812868355
2008Q3,0.06854930913793907
2008Q4,0.06052456977110588
2009Q1,0.026520023834763734
2009Q2,0.01993047931850643
2009Q3,0.021506049795969817
2009Q4,0.017268536744235688
2010Q1,0.016636716283599206
2010Q2,0.015339675638867142
2010Q3,0.011120729303837151
2010Q4,0.009519342168516064
2011Q1,0.010395637598706322
2011Q2,0.01764789175519199
2011Q3,0.010890085289256604
2011Q4,0.0199074114113176
2012Q1,0.01195996531512175
2012Q2,0.017754573667230947
2012Q3,0.011132635415350048
2012Q4,0.013639423791394765
2013Q1,0.006512816892826806
2013Q2,0.007791914170061491
2013Q3,0.02323081425272824
2013Q4,0.013869732202115006
2014Q1,0.035091312214736416
2014Q2,0.021040691432670837
2014Q3,0.02412466771860506
2014Q4,0.019090767571089635
2015Q1,0.009166817313163494
2015Q2,0.004840875725440028
2015Q3,0.022217937297191993
2015Q4,0.01572892658524008
2016Q1,0.009497322290107463
2016Q2,0.005417359320030252
2016Q3,0.0077900610898835355
2016Q4,0.005437571472678268
2017Q1,0.0013969033932807753
2017Q2,0.0015532142615732152
2017Q3,0.026870606466830645
2017Q4,0.045017836161518485
2018Q1,0.051601011656766206
2018Q2,0.035408199587036206
2018Q3,0.06174024468988187
2018Q4,0.09139650420617088
2019Q1,0.014441967628655343
2019Q2,0.07431739594090575
2019Q3,0.027645249036281405
2019Q4,0.007090541304709476
2020Q1,0.05328946684936196
2020Q2,0.08685735180123205
2020Q3,0.02181495979514488
2020Q4,0.018071259620538908
2021Q1,0.01492620555940051
2021Q2,0.020713581713891312
2021Q3,0.03395491766793896
2021Q4,0.04122618574481461
2022Q1,0.017487213893907172
2022Q2,0.07113393520655786
2022Q3,0.16558399624026568
2022Q4,0.033831452017661294
2023Q1,0.17516405357321654
2023Q2,0.07707736756796994
2023Q3,0.05565347108316554
2023Q4,0.02261781935562781
2024Q1,0.0060530029932599335
2024Q2,0.05065822300912686
2024Q3,0.004297774624914904
2024Q4,0.008620225541922984
2025Q1,0.004494767193861889
2025Q2,0.004829230555383943
2025Q3,0.0135197238819511
2025Q4,0.0018293791658575984
2026Q1,0.0014282310477286755
2026Q2,0.0040470455706905235
2026Q3,0.0025152447602121344
