country,N,inicio,fin
argentina,91,2004Q1,2026Q3
brazil,91,2004Q1,2026Q3
chile,91,2004Q1,2026Q3
china,81,2006Q3,2026Q3
colombia,87,2005Q1,2026Q3
egypt,90,2004Q2,2026Q3
india,78,2007Q2,2026Q3
indonesia,91,2004Q1,2026Q3
malaysia,91,2004Q1,2026Q3
mexico,91,2004Q1,2026Q3
pakistan,82,2006Q2,2026Q3
peru,91,2004Q1,2026Q3
philippines,91,2004Q1,2026Q3
poland,91,2004Q1,2026Q3
russia,69,2007Q2,2024Q2
southafrica,91,2004Q1,2026Q3
turkey,91,2004Q1,2026Q3
