country,Spread EMBI (pb) (mean),Spread EMBI (pb) (std),Fragilidad bancaria JLoss (mean),Fragilidad bancaria JLoss (std),Growth-at-Risk (q05) (mean),Growth-at-Risk (q05) (std),Expected Shortfall (mean),Expected Shortfall (std),Prob. crecim. negativo (mean),Prob. crecim. negativo (std)
argentina,,,5.148,3.424,,,,,,
brazil,271.521,96.276,4.676,2.816,-0.004,0.032,-0.013,0.035,0.185,0.278
chile,141.478,50.902,3.092,2.039,0.003,0.031,-0.006,0.033,0.106,0.207
china,149.464,53.344,6.891,6.662,0.056,0.032,0.049,0.035,0.015,0.099
colombia,243.701,86.372,3.94,2.907,0.004,0.035,-0.005,0.036,0.108,0.225
egypt,,,2.572,1.124,,,,,,
india,153.23,53.167,7.702,4.88,0.042,0.033,0.033,0.035,0.024,0.124
indonesia,94.174,11.685,3.063,1.903,0.023,0.034,0.015,0.037,0.057,0.207
malaysia,132.649,58.651,2.492,0.908,0.015,0.034,0.0,0.035,0.097,0.221
mexico,258.309,96.668,3.14,2.169,-0.013,0.032,-0.022,0.033,0.197,0.274
pakistan,,,9.524,8.338,0.003,0.036,-0.011,0.037,0.124,0.225
peru,188.173,69.228,2.575,1.116,0.018,0.034,0.008,0.037,0.05,0.151
philippines,75.495,9.106,3.025,1.51,0.025,0.03,0.016,0.033,0.051,0.178
poland,99.85,62.289,3.882,2.888,0.011,0.031,0.003,0.032,0.096,0.216
russia,,,8.573,7.242,0.02,0.035,0.008,0.04,0.065,0.139
southafrica,285.125,55.07,3.279,2.446,-0.005,0.039,-0.013,0.041,0.206,0.27
turkey,335.021,120.171,8.071,7.007,0.034,0.033,0.024,0.037,0.029,0.108
