DATES,Ryr
09/07/2026,4.242
08/07/2026,4.248
07/07/2026,4.212
06/07/2026,4.201
03/07/2026,4.196
02/07/2026,4.180
01/07/2026,4.157
30/06/2026,4.100
29/06/2026,4.124
26/06/2026,4.114
25/06/2026,4.121
24/06/2026,4.165
23/06/2026,4.178
22/06/2026,4.197
19/06/2026,4.169
18/06/2026,4.115
17/06/2026,4.077
16/06/2026,4.108
15/06/2026,4.195
12/06/2026,4.201
11/06/2026,4.290
10/06/2026,4.276
09/06/2026,4.273
08/06/2026,4.351
05/06/2026,4.243
04/06/2026,4.229
02/06/2026,4.125
01/06/2026,4.167
29/05/2026,4.071
28/05/2026,4.208
27/05/2026,4.105
26/05/2026,4.071
22/05/2026,4.144
21/05/2026,4.182
20/05/2026,4.198
19/05/2026,4.215
18/05/2026,4.231
15/05/2026,4.172
14/05/2026,4.082
13/05/2026,4.060
12/05/2026,4.054
11/05/2026,3.953
08/05/2026,3.912
07/05/2026,3.905
06/05/2026,3.935
04/05/2026,3.933
30/04/2026,3.844
29/04/2026,3.842
28/04/2026,3.859
27/04/2026,3.822
24/04/2026,3.811
23/04/2026,3.789
22/04/2026,3.700
21/04/2026,3.672
20/04/2026,3.690
17/04/2026,3.710
16/04/2026,3.672
15/04/2026,3.652
14/04/2026,3.661
13/04/2026,3.714
10/04/2026,3.687
09/04/2026,3.660
08/04/2026,3.634
07/04/2026,3.738
06/04/2026,3.724
03/04/2026,3.744
02/04/2026,3.808
01/04/2026,3.689
31/03/2026,3.882
30/03/2026,3.889
27/03/2026,3.916
26/03/2026,3.870
25/03/2026,3.861
24/03/2026,3.850
23/03/2026,3.850
20/03/2026,3.658
19/03/2026,3.694
18/03/2026,3.646
17/03/2026,3.680
16/03/2026,3.711
13/03/2026,3.680
12/03/2026,3.648
11/03/2026,3.617
10/03/2026,3.629
09/03/2026,3.741
06/03/2026,3.616
05/03/2026,3.593
04/03/2026,3.632
03/03/2026,3.529
27/02/2026,3.447
26/02/2026,3.507
25/02/2026,3.549
24/02/2026,3.590
23/02/2026,3.575
20/02/2026,3.574
19/02/2026,3.585
13/02/2026,3.577
12/02/2026,3.658
11/02/2026,3.642
10/02/2026,3.708
09/02/2026,3.753
06/02/2026,3.725
05/02/2026,3.672
04/02/2026,3.700
03/02/2026,3.661
02/02/2026,3.596
30/01/2026,3.577
29/01/2026,3.542
28/01/2026,3.522
27/01/2026,3.540
26/01/2026,3.545
23/01/2026,3.600
22/01/2026,3.569
21/01/2026,3.604
20/01/2026,3.651
19/01/2026,3.520
16/01/2026,3.486
15/01/2026,3.491
14/01/2026,3.416
13/01/2026,3.415
12/01/2026,3.397
09/01/2026,3.385
08/01/2026,3.349
07/01/2026,3.353
06/01/2026,3.396
05/01/2026,3.393
02/01/2026,3.384
31/12/2025,3.385
30/12/2025,3.385
29/12/2025,3.354
26/12/2025,3.371
24/12/2025,3.342
23/12/2025,3.381
22/12/2025,3.352
19/12/2025,3.329
18/12/2025,3.311
17/12/2025,3.318
16/12/2025,3.310
15/12/2025,3.375
12/12/2025,3.390
11/12/2025,3.370
10/12/2025,3.370
09/12/2025,3.407
08/12/2025,3.399
05/12/2025,3.375
04/12/2025,3.371
03/12/2025,3.373
02/12/2025,3.350
01/12/2025,3.387
28/11/2025,3.343
27/11/2025,3.360
26/11/2025,3.259
25/11/2025,3.265
24/11/2025,3.283
21/11/2025,3.268
20/11/2025,3.297
19/11/2025,3.285
18/11/2025,3.261
17/11/2025,3.302
14/11/2025,3.313
13/11/2025,3.271
