quarter,fx_vol
2004Q1,0.05295389970755417
2004Q2,0.07405810088363517
2004Q3,0.052559818852412794
2004Q4,0.04367375574001207
2005Q1,0.06670841288633085
2005Q2,0.056153779343102464
2005Q3,0.04292349307953426
2005Q4,0.029762545887642725
2006Q1,0.04208343848978814
2006Q2,0.13384443204433286
2006Q3,0.07948493446315995
2006Q4,0.046520515068141
2007Q1,0.05149102798190596
2007Q2,0.05278111494264212
2007Q3,0.09019075714534011
2007Q4,0.06883796261285416
2008Q1,0.08258018955203654
2008Q2,0.0577198898796134
2008Q3,0.0768800335488139
2008Q4,0.193833545393724
2009Q1,0.09712440014393782
2009Q2,0.0826481857683749
2009Q3,0.06005290639749409
2009Q4,0.055897467237750874
2010Q1,0.051023506619081595
2010Q2,0.07583643337809272
2010Q3,0.03929474836065103
2010Q4,0.05960087991524849
2011Q1,0.05834243634217033
2011Q2,0.05239251342275871
2011Q3,0.0723188626696209
2011Q4,0.07297964281175548
2012Q1,0.04215737793159633
2012Q2,0.043441257562015445
2012Q3,0.031549022489741105
2012Q4,0.025043088407034845
2013Q1,0.026773763337902306
2013Q2,0.03930285327391476
2013Q3,0.06079323509659009
2013Q4,0.04681533748210949
2014Q1,0.071791057231209
2014Q2,0.04428935443195139
2014Q3,0.040619673069037326
2014Q4,0.054864365874824475
2015Q1,0.07204178009243252
2015Q2,0.06559517493157152
2015Q3,0.049080762630645335
2015Q4,0.06615165368086105
2016Q1,0.053065971346419084
2016Q2,0.06744942968091222
2016Q3,0.06677445226521629
2016Q4,0.06094303768514632
2017Q1,0.08496832463047473
2017Q2,0.054163046030182
2017Q3,0.04335066079918629
2017Q4,0.06755655023494825
2018Q1,0.051235639951821135
2018Q2,0.09331111710840992
2018Q3,0.23759921015141874
2018Q4,0.08350139569876029
2019Q1,0.10718375362248987
2019Q2,0.0692876769311297
2019Q3,0.06067683098498634
2019Q4,0.0436546633617756
2020Q1,0.05025242007562855
2020Q2,0.0545799800090339
2020Q3,0.05225023948446029
2020Q4,0.096417425141838
2021Q1,0.11345811319310413
2021Q2,0.0621309438362372
2021Q3,0.04829532281266397
2021Q4,0.32226531591260305
2022Q1,0.07537493900851673
2022Q2,0.05651414146643023
2022Q3,0.02373736329570489
2022Q4,0.014885164866542738
2023Q1,0.014305851986764085
2023Q2,0.09582945983565158
2023Q3,0.06456194153641463
2023Q4,0.010047433464508862
2024Q1,0.02084718515662355
2024Q2,0.029361208174618427
2024Q3,0.01861562870573233
2024Q4,0.013996498206664872
2025Q1,0.034111828853164716
2025Q2,0.014263015732176032
2025Q3,0.01009739790204971
2025Q4,0.012979294931949086
2026Q1,0.005033655667466132
2026Q2,0.00668065004442973
2026Q3,0.004535601875525106
