"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.10.2011","17.288,83","17.336,34","17.350,49","17.273,52","4,90M","0,20%"
"25.10.2011","17.254,86","17.012,79","17.322,13","16.900,26","17,51M","1,86%"
"24.10.2011","16.939,28","17.011,06","17.104,88","16.898,60","12,67M","0,92%"
"21.10.2011","16.785,64","16.975,79","17.032,32","16.752,21","13,80M","-0,89%"
"20.10.2011","16.936,89","16.911,85","16.962,06","16.744,99","11,95M","-0,87%"
"19.10.2011","17.085,34","16.883,36","17.106,99","16.874,34","11,33M","2,01%"
"18.10.2011","16.748,29","16.817,38","16.824,76","16.669,04","14,07M","-1,63%"
"17.10.2011","17.025,09","17.176,05","17.188,55","16.928,38","18,37M","-0,34%"
"14.10.2011","17.082,69","16.836,83","17.112,45","16.828,45","15,45M","1,18%"
"13.10.2011","16.883,92","17.048,00","17.084,07","16.854,03","17,90M","-0,44%"
"12.10.2011","16.958,39","16.660,43","16.987,06","16.608,57","21,26M","2,55%"
"11.10.2011","16.536,47","16.668,15","16.774,12","16.510,71","20,07M","-0,13%"
"10.10.2011","16.557,23","16.270,07","16.595,93","16.230,77","17,26M","2,00%"
"07.10.2011","16.232,54","16.222,49","16.347,48","16.148,97","16,88M","2,79%"
"05.10.2011","15.792,41","15.967,72","16.044,91","15.760,53","18,87M","-0,46%"
"04.10.2011","15.864,86","16.081,77","16.202,38","15.745,43","19,65M","-1,77%"
"03.10.2011","16.151,45","16.255,97","16.255,97","16.056,33","17,02M","-1,84%"
"30.09.2011","16.453,76","16.599,74","16.745,16","16.404,78","19,90M","-1,46%"
"29.09.2011","16.698,07","16.387,91","16.756,08","16.316,66","19,16M","1,53%"
"28.09.2011","16.446,02","16.663,26","16.663,26","16.363,63","19,56M","-0,47%"
"27.09.2011","16.524,03","16.289,32","16.551,65","16.282,74","16,15M","2,95%"
"26.09.2011","16.051,10","16.209,19","16.209,19","15.801,01","18,83M","-0,69%"
"23.09.2011","16.162,06","16.222,37","16.368,41","16.052,47","22,07M","-1,22%"
"22.09.2011","16.361,15","16.827,85","16.833,61","16.316,03","18,30M","-4,13%"
"21.09.2011","17.065,15","17.128,83","17.191,12","17.000,61","13,39M","-0,20%"
"20.09.2011","17.099,28","16.768,63","17.135,44","16.758,69","14,29M","2,11%"
"19.09.2011","16.745,35","16.865,93","16.865,93","16.709,41","11,59M","-1,11%"
"16.09.2011","16.933,83","17.047,73","17.122,54","16.889,58","20,33M","0,34%"
"15.09.2011","16.876,54","16.837,76","16.922,40","16.545,47","15,45M","1,00%"
"14.09.2011","16.709,60","16.522,71","16.754,22","16.387,38","15,91M","1,47%"
"13.09.2011","16.467,44","16.618,17","16.766,19","16.374,68","14,58M","-0,21%"
"12.09.2011","16.501,74","16.668,25","16.668,25","16.393,04","13,46M","-2,17%"
"09.09.2011","16.866,97","17.189,75","17.211,80","16.830,95","11,78M","-1,74%"
"08.09.2011","17.165,54","17.118,08","17.209,66","16.987,37","12,22M","0,59%"
"07.09.2011","17.065,00","16.922,31","17.157,21","16.922,31","17,33M","1,20%"
"06.09.2011","16.862,81","16.663,73","16.894,73","16.488,30","14,56M","0,89%"
"05.09.2011","16.713,33","16.678,34","16.760,07","16.561,46","12,16M","-0,64%"
"02.09.2011","16.821,46","16.963,67","16.989,86","16.688,06","12,75M","0,87%"
