quarter,fx_vol
2004Q1,0.04573721098440622
2004Q2,0.034726390395167575
2004Q3,0.02407724554926274
2004Q4,0.03237356667865542
2005Q1,0.031002282028402262
2005Q2,0.025714814265909977
2005Q3,0.03219683157237885
2005Q4,0.03301289359973765
2006Q1,0.033081378095278724
2006Q2,0.047443365028151364
2006Q3,0.0494459568114237
2006Q4,0.032113630500751854
2007Q1,0.027418774142991768
2007Q2,0.029502969181732376
2007Q3,0.03612577428078103
2007Q4,0.02680123797941092
2008Q1,0.02636540082962846
2008Q2,0.025344870507092273
2008Q3,0.05139500085195295
2008Q4,0.17857743212184032
2009Q1,0.09494858817766129
2009Q2,0.09769822496732247
2009Q3,0.055834672131632256
2009Q4,0.062188457260002765
2010Q1,0.05417087782098417
2010Q2,0.07859914067974555
2010Q3,0.047454236816525004
2010Q4,0.041560497531091214
2011Q1,0.03900338558670104
2011Q2,0.04246900179345158
2011Q3,0.09793771550748416
2011Q4,0.09011687607185052
2012Q1,0.052104116676976384
2012Q2,0.06837927738685225
2012Q3,0.05163455569916032
2012Q4,0.03663455512569491
2013Q1,0.037147322207441436
2013Q2,0.06184464073012242
2013Q3,0.06404409211447849
2013Q4,0.04797584674116032
2014Q1,0.04293610448231304
2014Q2,0.026881628115488214
2014Q3,0.030062677573464446
2014Q4,0.0409693696929672
2015Q1,0.06179062033250486
2015Q2,0.05169168160205414
2015Q3,0.053086972237981346
2015Q4,0.04768515461921252
2016Q1,0.07432251534901228
2016Q2,0.08023215943473001
2016Q3,0.0684181955324372
2016Q4,0.10756535960850953
2017Q1,0.08103474673029194
2017Q2,0.05488524459012598
2017Q3,0.04610574554969405
2017Q4,0.051366484246123396
2018Q1,0.05281251309580481
2018Q2,0.07093357921820208
2018Q3,0.06259474294729679
2018Q4,0.06838924027984539
2019Q1,0.042289079655996806
2019Q2,0.04947726229679706
2019Q3,0.046139517094403906
2019Q4,0.030369820335007628
2020Q1,0.11042163899726963
2020Q2,0.11291930433697361
2020Q3,0.07539321697478242
2020Q4,0.055169005443519506
2021Q1,0.07099059452831756
2021Q2,0.05067869706796538
2021Q3,0.03758739827823213
2021Q4,0.0547768235885064
2022Q1,0.04812722547853073
2022Q2,0.05589115878367234
2022Q3,0.05520377830213782
2022Q4,0.04446361551487698
2023Q1,0.06316282165483995
2023Q2,0.03690049420507861
2023Q3,0.05597564426494666
2023Q4,0.06339526334379227
2024Q1,0.0366398276400275
2024Q2,0.07894284674324058
2024Q3,0.07657710342331514
2024Q4,0.055798779043298635
2025Q1,0.055407972963704186
2025Q2,0.05805458886218828
2025Q3,0.031281913480276015
2025Q4,0.028741943397832086
2026Q1,0.0550281094528962
2026Q2,0.03706922793889553
2026Q3,0.02658772148823028
