countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab,DP
brazil,abc_brasil,2014-03-01,4087514947.87,12327187883.260002,18401052706.81,,,,,1986349875.68,4087514947.87,16414702831.130001,14370945357.195002
brazil,abc_brasil,2014-06-01,4274975267.99,11929836866.279999,18236211813.05,,,,,2031399678.78,4274975267.99,16204812134.269999,14067324500.274998
brazil,abc_brasil,2014-09-01,5119103356.0,11971868247.5,19218713397.7,,,,,2127741794.2,5119103356.0,17090971603.5,14531419925.5
brazil,abc_brasil,2014-12-01,5291520263.74,13268252608.210001,20748318299.7,,,,,2188545427.75,5291520263.74,18559772871.95,15914012740.080002
brazil,abc_brasil,2015-03-01,5672914668.69,15186195636.660004,23135006384.99,,,,,2275896079.64,5672914668.69,20859110305.350002,18022652971.005005
brazil,abc_brasil,2015-06-01,5173187754.0,15583597628.869999,23091987358.1,,,,,2335201975.23,5173187754.0,20756785382.87,18170191505.87
brazil,abc_brasil,2015-09-01,5129857456.23,18992155807.420002,26562827604.18,,,,,2440814340.53,5129857456.23,24122013263.65,21557084535.535004
brazil,abc_brasil,2015-12-01,5057192079.57,16676788118.64,24243638454.16,,,,,2509658255.95,5057192079.57,21733980198.21,19205384158.425
brazil,abc_brasil,2016-03-01,4893948751.71,15935397239.029999,23459209785.39,,,,,2629863794.65,4893948751.71,20829345990.739998,18382371614.885
brazil,abc_brasil,2016-06-01,5253153519.59,14806905676.310001,22748878816.13,,,,,2688819620.23,5253153519.59,20060059195.9,17433482436.105003
brazil,abc_brasil,2016-09-01,5430152594.37,15294093022.260002,23555553265.06,,,,,2831307648.43,5430152594.37,20724245616.63,18009169319.445004
brazil,abc_brasil,2016-12-01,6157841376.93,16641552680.260002,25692611406.81,,,,,2893217349.62,6157841376.93,22799394057.190002,19720473368.725002
brazil,abc_brasil,2017-03-01,6695407155.81,16469052609.52,26196385013.75,,,,,3031925248.42,6695407155.81,23164459765.33,19816756187.425
brazil,abc_brasil,2017-06-01,7251683872.37,16208358667.61,26549966067.66,,,,,3089923527.68,7251683872.37,23460042539.98,19834200603.795002
brazil,abc_brasil,2017-09-01,7752042444.06,16008830342.039997,26989309636.46,,,,,3228436850.36,7752042444.06,23760872786.1,19884851564.069996
brazil,abc_brasil,2017-12-01,7996732907.26,17487371666.25,28768434743.6,,,,,3284330170.09,7996732907.26,25484104573.51,21485738119.88
brazil,abc_brasil,2018-03-01,8652597662.77,16290676661.0,28363135320.07,,,,,3419860996.3,8652597662.77,24943274323.77,20616975492.385002
brazil,abc_brasil,2018-06-01,8642049308.07,18835535288.300003,30923545190.22,,,,,3445960593.85,8642049308.07,27477584596.370003,23156559942.335003
brazil,abc_brasil,2018-09-01,8841996039.68,18869531561.14,31330378810.68,,,,,3618851209.86,8841996039.68,27711527600.82,23290529580.98
brazil,abc_brasil,2018-12-01,9030183510.05,20033443397.02,32729136260.3,,,,,3665509353.23,9030183510.05,29063626907.07,24548535152.045
brazil,abc_brasil,2019-03-01,9167660188.77,20852718308.56,33844740530.16,,,,,3824362032.83,9167660188.77,30020378497.33,25436548402.945
brazil,abc_brasil,2019-06-01,9600645132.69,21434111406.260002,34916973219.15,,,,,3882216680.2,9600645132.69,31034756538.95,26234433972.605003
brazil,abc_brasil,2019-09-01,9680007597.16,23443700923.989998,37079994781.81,,,,,3956286260.66,9680007597.16,33123708521.149998,28283704722.57
brazil,abc_brasil,2019-12-01,9505643509.81,22710932845.800003,36257308535.5,,,,,4040732179.89,9505643509.81,32216576355.61,27463754600.705
brazil,abc_brasil,2020-03-01,9271411732.11,35488952739.229996,48807043884.7,,,,,4046679413.36,9271411732.11,44760364471.34,40124658605.284996
brazil,abc_brasil,2020-06-01,10027320496.14,34986077230.43,49106696245.31,,,,,4093298518.74,10027320496.14,45013397726.57,39999737478.5
brazil,abc_brasil,2020-09-01,9236707899.04,32072895548.370003,45497159463.04,,,,,4187556015.63,9236707899.04,41309603447.41,36691249497.89
brazil,abc_brasil,2020-12-01,10432101528.97,27976786062.229996,42697150989.14,,,,,4288263397.94,10432101528.97,38408887591.2,33192836826.714996
brazil,abc_brasil,2021-03-01,10993683722.01,32498311264.21,47883947492.06,,,,,4391952505.84,10993683722.01,43491994986.22,37995153125.215
brazil,abc_brasil,2021-06-01,10654499238.19,28308473922.98999,43422143029.84,,,,,4459169868.66,10654499238.19,38962973161.17999,33635723542.08499
