base,n,corr,corr_within,sd_v8,sd_bbg
all17,293,0.5536002107470606,0.5074437869663476,8.26040489780535,2.5803181951596033
extendido,395,0.21547687293598192,0.5787260429562638,7.261007842802463,5.04107378401188
