N,paises,b3,t3,b4,t4,base,HHI,jloss
281,5,54.11112711487129,1.6329822874937667,-362.9889032907922,-0.470799872944402,final17,estructural,v8/dta
281,5,65.94743387232829,2.472668849157378,-247.7536376027088,-0.5537791589310216,final17,estructural,Bloomberg
270,5,95.06263419720781,2.6901930427966203,-370.2934273046271,-0.971483400595199,final17,estructural,Bloomberg (>=3 bancos)
252,5,30.846195489098506,1.2091962977372737,437.3566644831514,2.0776427974132243,final17,anual,v8/dta
252,5,98.26001237830334,2.213107431141604,245.92901134773436,0.8822687232552718,final17,anual,Bloomberg
246,5,100.15306355196445,2.1461198320895654,178.9356071534112,0.421694099807117,final17,anual,Bloomberg (>=3 bancos)
374,11,-16.98300312765414,-0.6787091054274232,720.6694503404316,2.9760935658189918,ext11,estructural,v8/dta
374,11,37.374874725297374,1.3152849507625652,68.06295271519379,0.2007807931059483,ext11,estructural,Bloomberg
355,10,62.82560934753874,1.3078181127710828,-15.807691821990408,-0.04448985257138594,ext11,estructural,Bloomberg (>=3 bancos)
345,11,4.361608671236443,0.1847016831501686,383.41607156888045,4.471987039342206,ext11,anual,v8/dta
345,11,86.09587834297133,2.1108887478149,200.82866438956088,0.8493521229655608,ext11,anual,Bloomberg
331,10,93.24059557930619,1.8951805372901835,92.38427546298905,0.2679928700245538,ext11,anual,Bloomberg (>=3 bancos)
