label,N,paises,b_JLoss,b_GaR,theta,se_theta,t_theta,p_theta
all17 (5 LatAm) | M2 (FE pais+tiempo) | JLoss v8/dta,281,5,1.3548712126126141,2.8299586308391964,-0.3591519635001873,0.12736121196630665,-2.8199477529720807,0.00525219484026751
all17 (5 LatAm) | M2 (FE pais+tiempo) | JLoss Bloomberg,281,5,0.8288684760815225,-0.6660488639062763,-0.8259975635850839,0.40410345915644724,-2.044024976448672,0.04217008507077713
all17 (5 LatAm) | M3 (+controles dom.) | JLoss v8/dta,253,5,1.4591595264472323,1.3617319444292362,-0.33782892079504195,0.15237575544717827,-2.2170779058887216,0.027809972771590585
all17 (5 LatAm) | M3 (+controles dom.) | JLoss Bloomberg,253,5,4.766369519258567,1.1097949540441587,-0.8544422225154406,0.3861531700683815,-2.2127028566517595,0.028115540987825982
extendido (11) | M2 (FE pais+tiempo) | JLoss v8/dta,374,11,1.1426525450355685,-1.383945087117835,-0.21216905665842672,0.11606311634019734,-1.8280489387905916,0.06852862803548843
extendido (11) | M2 (FE pais+tiempo) | JLoss Bloomberg,374,11,1.4495081954958586,-3.7255689913356336,-0.6648168330445111,0.35222859025065306,-1.8874584614821126,0.060057430916024
