country,quarter,EMBI_bps,JLoss,GaR,GaR_st,prob_neg,ES,skew,std,g_GDP,VIX,JLoss_x_GaR,t
brazil,2010Q1,203.39467213114756,6.386116338900138,0.0676193313880661,0.0676413038970375,0.0,0.0586223323229398,0.3046743201798393,0.0126263992322076,2.06135439088386,-0.260304407306969,0.4318249170028318,2010Q1
brazil,2010Q2,212.25806349206349,6.625570470660924,0.0138233706245373,0.0132768335520343,0.0,0.0134385487654249,-0.2463072127513855,0.0168858984059716,1.85291940649388,1.92935301396009,0.091587716214936,2010Q2
brazil,2010Q3,211.086203125,2.468044386947785,0.04996007966457,0.0501986164836777,0.0,0.0264722581898923,0.3569530526737096,0.0106430852507231,1.36703626198725,0.529005730978679,0.12330369418760616,2010Q3
brazil,2010Q4,179.17358064516128,2.4713791639716227,0.0443947960015794,0.0445586103178162,0.0,0.0325202368675042,0.7348386382139208,0.0118857802169807,0.999715081018009,-0.239635074716838,0.10971637382707403,2010Q4
brazil,2011Q1,173.29375806451614,3.5674758177555015,0.0309555306133264,0.0312776749831713,0.0,0.0259321383086361,0.2378811421201654,0.0123911102710894,0.850661583506529,-0.240926908003721,0.11043310688883205,2011Q1
brazil,2011Q2,172.5560634920635,3.0209797701458587,0.0287761601309914,0.0292687385120505,0.0,0.0266635047668041,0.4777251355922878,0.0112466642626355,0.70135444261863,-0.398530569003474,0.08693219761820282,2011Q2
brazil,2011Q3,204.70584375,18.655215000678545,-0.0155343190907843,-0.0153352000178469,0.2036474604422134,-0.0461353683029256,-0.6548961066572356,0.0132174876380531,0.350613160026187,3.01707664151577,-0.2897960625277264,2011Q3
brazil,2011Q4,230.6918524590164,14.965791228148268,0.0040502807002567,0.0042214741270266,0.0407631721963852,-0.0069120344645656,0.1895498170594257,0.0134705452652417,0.0581213872539691,0.490250732372183,0.06061565537543994,2011Q4
brazil,2012Q1,201.2404677419355,7.0513995050761435,-0.0009350359209207,3.7420300576251176e-05,0.0696966411808563,-0.0054586869632663,0.514877837872137,0.0095767857562738,-0.201510172598575,-0.530297564265563,-0.00659331183000864,2012Q1
brazil,2012Q2,205.7212857142857,12.05760373845852,-0.0093988499414707,-0.0090164140446655,0.2197271671321384,-0.0220381543441249,0.2205770409704061,0.0119930751946988,-0.418827857164534,-0.326187904938014,-0.11332760819148775,2012Q2
brazil,2012Q3,177.64906349206348,7.750347718050947,0.0101417885991805,0.0108727881623783,0.0,0.010123395096177,0.3222721255689124,0.0095516431304347,0.0333227012341724,-0.500585398667249,0.0786023881266137,2012Q3
brazil,2012Q4,147.9453606557377,7.854454244444137,0.0147215032106498,0.0153562755529732,0.0,0.0146989297778125,0.4669490544547017,0.009634109726196,0.0325177326487524,-0.204755575970991,0.11562937337748631,2012Q4
brazil,2013Q1,161.28553333333332,14.781000120564931,0.0122624963777832,0.0124877324387563,0.0,0.0116480570018287,0.3488482986930817,0.0087243835598936,0.104435328065708,-0.892010884592865,0.18125196043844052,2013Q1
brazil,2013Q2,195.34178125,19.0414425354021,-0.0004642581574288,-0.00048813683042,0.0602900407732022,-0.0018809438262569,-0.0854128729698439,0.015338894016833,0.496795080196803,-0.354608237249445,-0.008840145026272157,2013Q2
brazil,2013Q3,236.79215624999998,23.81507493661195,-0.003992487338196,-0.00370645383661,0.0785581028239094,-0.00451051817997,0.212343058127072,0.0093854390748424,0.115734702588821,-0.388195902708408,-0.09508138514261212,2013Q3
brazil,2013Q4,239.25604838709677,27.575300234908614,0.0026900946811995,0.0030762763518557,0.0,0.0005644682064298,0.1360397531051242,0.0070788195828254,0.0463839661443012,-0.760243889330776,0.07418016849440699,2013Q4
brazil,2014Q1,250.71404918032786,34.358074608893034,0.0143339473899012,0.0143318500014745,0.0,0.011234028517727,0.4569824097976057,0.0093331023038458,0.330119015865023,-0.739574556740645,0.49248683386217296,2014Q1
brazil,2014Q2,216.04630158730157,34.640556401110445,-0.0231318075891144,-0.022630362958926,0.2832536376442127,-0.0258139035216552,0.1754029630913752,0.0091330743563492,-0.84773687935183,-1.03798804601067,-0.801298685450352,2014Q2
brazil,2014Q3,216.404828125,33.54064304434996,-0.0307851583796119,-0.0303814502902152,0.4370243901729014,-0.0381168876630171,-0.1366171139532877,0.011406005136446,-0.909005990209075,-0.425659068028022,-1.0325540082743419,2014Q3
brazil,2014Q4,256.18509677419354,31.678081708409763,-0.0441529643693491,-0.0434731117012704,0.5933355894211639,-0.0484854717262977,-0.309147618367233,0.0118318462304659,-0.785316634220174,-0.0523192481187707,-1.3986812129607458,2014Q4
brazil,2015Q1,318.81654098360656,41.36382906429272,-0.0425369130055801,-0.0420447543174947,0.8756231025227806,-0.0473192638647265,-0.4490604494801417,0.0100417374400968,-1.2048910688619,-0.557426063290111,-1.7594895984855052,2015Q1
brazil,2015Q2,293.242484375,43.18688285895041,-0.0462311361015052,-0.045610767909966,0.8712845247312028,-0.0513635875737819,-0.0681669048550664,0.0125958407476942,-1.54293962204101,-0.177627076946443,-1.9965786592518984,2015Q2
brazil,2015Q3,370.46784375000004,45.00993665361602,-0.062195138037238,-0.062195137799778,0.96436719396383,-0.081344251922223,-0.4032702720815392,0.0123535130892849,-2.00218615956829,0.632352393929337,-2.799399223218987,2015Q3
brazil,2015Q4,462.3322258064516,46.83299044827171,-0.0669144371418081,-0.0669391909569877,0.9570189620990448,-0.0789551976430753,-0.1879948582034309,0.0128527483860825,-2.38125261586824,-0.180210743520209,-3.133803195513776,2015Q4
brazil,2016Q1,515.710393442623,41.6890950218485,-0.0565230109491479,-0.0566560877568993,0.962829103494331,-0.0724675222846489,-0.2802701556245286,0.0100297696238819,-2.26623009776953,-0.730531723732462,-2.35639317438001,2016Q1
brazil,2016Q2,405.708546875,42.95274906938388,-0.0419053318107034,-0.0419053322125722,0.91682659688353,-0.0527958806909369,-0.2134328329899899,0.0122406298386421,-1.68712986940638,-0.513503731536081,-1.799949201934413,2016Q2
brazil,2016Q3,328.571859375,40.87254982350523,-0.0329032653172826,-0.0327624283139404,0.90503978449194,-0.0413619604668305,0.0193953555802213,0.0091206708595514,-1.45668359668572,-0.815792720666755,-1.3448403510366447,2016Q3
