countryname,quarter,JLoss,n_banks,below_min_banks
brazil,2004Q1,12.458586231492921,5,False
brazil,2004Q2,10.980182162399245,5,False
brazil,2004Q3,9.934697716837421,5,False
brazil,2004Q4,9.252013678771862,5,False
brazil,2005Q1,10.36392339121768,5,False
brazil,2005Q2,9.551398952316232,5,False
brazil,2005Q3,9.628749151627972,5,False
brazil,2005Q4,9.443074797574418,5,False
brazil,2006Q1,10.579359780561036,5,False
brazil,2006Q2,11.396107126691074,5,False
brazil,2006Q3,9.278162145032283,5,False
brazil,2006Q4,9.230958490049062,5,False
brazil,2007Q1,9.324797503665316,5,False
brazil,2007Q2,8.694597354548225,6,False
brazil,2007Q3,9.742177066754348,6,False
brazil,2007Q4,10.846896067575036,6,False
brazil,2008Q1,10.002196270375872,6,False
brazil,2008Q2,10.348756847943752,8,False
brazil,2008Q3,12.527607298331988,8,False
brazil,2008Q4,22.38382698037986,8,False
brazil,2009Q1,21.08334143655025,8,False
brazil,2009Q2,11.408854336825684,8,False
brazil,2009Q3,10.097223354997775,8,False
brazil,2009Q4,9.853403546511213,8,False
brazil,2010Q1,9.186797620234833,8,False
brazil,2010Q2,9.587522937775152,8,False
brazil,2010Q3,9.458603662839401,8,False
brazil,2010Q4,6.830297274751198,8,False
brazil,2011Q1,9.289755708540147,8,False
brazil,2011Q2,8.730050792012355,8,False
brazil,2011Q3,11.827601138996734,8,False
brazil,2011Q4,10.610610527083285,8,False
brazil,2012Q1,9.826817619326219,8,False
brazil,2012Q2,12.173851128581848,8,False
brazil,2012Q3,10.761476048398755,8,False
brazil,2012Q4,10.343443517951275,8,False
brazil,2013Q1,9.92729723011463,8,False
brazil,2013Q2,11.213728976279109,8,False
brazil,2013Q3,11.109344916464739,8,False
brazil,2013Q4,10.441922114583358,8,False
brazil,2014Q1,13.549074332664857,8,False
brazil,2014Q2,12.727945144672942,8,False
brazil,2014Q3,12.801290753218046,8,False
brazil,2014Q4,16.77018961493296,8,False
brazil,2015Q1,13.043900571150452,8,False
brazil,2015Q2,12.219473578648032,8,False
