base,θ (FE2),θ<0 en menú,P(θ<0) bootstrap,p permutación,placebo prob_neg
all17 (5 países),-0.338,14/14,91%,0.005,positivo (ok)
extendido (11 países),-0.212,10/12,71%,0.01,positivo (ok)
