countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab,DP
colombia,av_villas,2015-03-01,0.0,9763347317.0,10923748555.0,,,,,1160401238.0,0.0,9763347317.0,9763347317.0
colombia,av_villas,2015-06-01,0.0,10069890881.0,11279960306.0,,,,,1210069425.0,0.0,10069890881.0,10069890881.0
colombia,av_villas,2015-09-01,0.0,10033474120.0,11213418975.0,,,,,1179944855.0,0.0,10033474120.0,10033474120.0
colombia,av_villas,2015-12-01,0.0,10342540606.0,11572443053.0,,,,,1229902447.0,0.0,10342540606.0,10342540606.0
colombia,av_villas,2016-06-01,0.0,10747300978.0,12055388941.0,,,,,1308087963.0,0.0,10747300978.0,10747300978.0
colombia,av_villas,2016-09-01,0.0,10763620016.0,12082187112.0,,,,,1318567096.0,0.0,10763620016.0,10763620016.0
colombia,av_villas,2016-12-01,0.0,11031516079.0,12393543133.0,,,,,1362027054.0,0.0,11031516079.0,11031516079.0
colombia,av_villas,2017-06-01,0.0,10947656102.0,12297040525.0,,,,,1349384423.0,0.0,10947656102.0,10947656102.0
colombia,av_villas,2017-09-01,0.0,10762142125.0,12139801934.0,,,,,1377659809.0,0.0,10762142125.0,10762142125.0
colombia,av_villas,2017-12-01,0.0,10811231819.0,12220146100.0,,,,,1408914281.0,0.0,10811231819.0,10811231819.0
colombia,av_villas,2018-06-01,0.0,11485414931.0,12894008335.0,,,,,1408593404.0,0.0,11485414931.0,11485414931.0
colombia,av_villas,2018-09-01,0.0,11977065881.0,13433682032.0,,,,,1456616151.0,0.0,11977065881.0,11977065881.0
colombia,av_villas,2018-12-01,0.0,12531014095.0,14028422500.0,,,,,1497408405.0,0.0,12531014095.0,12531014095.0
colombia,av_villas,2019-06-01,0.0,13196257801.0,14717054558.0,,,,,1520796757.0,0.0,13196257801.0,13196257801.0
colombia,av_villas,2019-09-01,0.0,13240965805.0,14811157472.0,,,,,1570191667.0,0.0,13240965805.0,13240965805.0
colombia,av_villas,2019-12-01,0.0,13337323865.0,14961710031.0,,,,,1624386166.0,0.0,13337323865.0,13337323865.0
colombia,av_villas,2020-06-01,0.0,13645539251.0,15255814625.0,,,,,1610275374.0,0.0,13645539251.0,13645539251.0
colombia,av_villas,2020-09-01,0.0,13757425938.0,15395119618.0,,,,,1637693680.0,0.0,13757425938.0,13757425938.0
colombia,av_villas,2020-12-01,0.0,14628421774.0,16299444186.0,,,,,1671022412.0,0.0,14628421774.0,14628421774.0
colombia,av_villas,2021-06-01,500443855.0,14469864437.0,16584446256.0,,,,,1614137964.0,500443855.0,14970308292.0,14720086364.5
colombia,av_villas,2021-09-01,501559058.0,14726362029.0,16878096298.0,,,,,1650175211.0,501559058.0,15227921087.0,14977141558.0
colombia,av_villas,2021-12-01,501949138.0,15059999917.0,17231078984.0,,,,,1669129929.0,501949138.0,15561949055.0,15310974486.0
colombia,av_villas,2022-06-01,504422996.0,16223446706.0,18317450653.0,,,,,1589580951.0,504422996.0,16727869702.0,16475658204.0
colombia,av_villas,2022-09-01,434279206.0,16644415096.0,18677636849.0,,,,,1598942547.0,434279206.0,17078694302.0,16861554699.0
colombia,av_villas,2022-12-01,362268080.0,17387893134.0,19372496732.0,,,,,1622335518.0,362268080.0,17750161214.0,17569027174.0
colombia,av_villas,2023-06-01,362599301.0,17389696243.0,19379534658.0,,,,,1627239114.0,362599301.0,17752295544.0,17570995893.5
colombia,av_villas,2023-09-01,316232325.0,17206426633.0,19108415768.0,,,,,1585756810.0,316232325.0,17522658958.0,17364542795.5
colombia,av_villas,2023-12-01,297689161.0,16873700128.0,18786113807.0,,,,,1614724518.0,297689161.0,17171389289.0,17022544708.5
colombia,av_villas,2024-06-01,88134027.0,16812494766.0,18510119141.0,,,,,1609490348.0,88134027.0,16900628793.0,16856561779.5
colombia,av_villas,2024-09-01,240015536.0,16762407018.0,18587492449.0,,,,,1585069895.0,240015536.0,17002422554.0,16882414786.0
colombia,av_villas,2024-12-01,239789945.0,17235938946.0,19045437167.0,,,,,1569708276.0,239789945.0,17475728891.0,17355833918.5
colombia,av_villas,2025-06-01,239774200.0,18976263144.0,20759738654.0,,,,,1543701310.0,239774200.0,19216037344.0,19096150244.0
colombia,av_villas,2025-09-01,290073121.0,19416761865.0,21237978215.0,,,,,1531143229.0,290073121.0,19706834986.0,19561798425.5
colombia,av_villas,2025-12-01,290148618.0,19926508504.0,21737290974.0,,,,,1520633852.0,290148618.0,20216657122.0,20071582813.0
colombia,bancamia,2015-03-01,19374365.0,1119554930.0,1452667558.0,,,,,313738263.0,19374365.0,1138929295.0,1129242112.5
