date,countryname,bankname,price,mktcap
2010-01-04,peru,bcp,40.61398696899414,3226712911.3465157
2010-01-05,peru,bcp,40.85465621948242,3245833678.251461
2010-01-06,peru,bcp,40.6453857421875,3229207491.032593
2010-01-07,peru,bcp,40.865108489990234,3246664093.5521355
2010-01-08,peru,bcp,41.1214714050293,3267031695.693203
2010-01-11,peru,bcp,40.598297119140625,3225466379.181671
2010-01-12,peru,bcp,39.51533126831055,3139426564.9647484
2010-01-13,peru,bcp,39.782142639160156,3160624279.3352127
2010-01-14,peru,bcp,39.677513122558594,3152311640.332695
2010-01-15,peru,bcp,39.238040924072266,3117396313.7946663
2010-01-19,peru,bcp,39.693206787109375,3153558475.568817
2010-01-20,peru,bcp,38.69394302368164,3074168651.3253975
2010-01-21,peru,bcp,38.390506744384766,3050061149.618519
2010-01-22,peru,bcp,37.590049743652344,2986466188.07946
2010-01-25,peru,bcp,38.2021598815918,3035097308.3573875
2010-01-26,peru,bcp,38.285865783691406,3041747601.4021683
2010-01-27,peru,bcp,38.67824172973633,3072921209.94672
2010-01-28,peru,bcp,38.96076965332031,3095367577.9809723
2010-01-29,peru,bcp,39.04446029663086,3102016658.7406425
2010-02-01,peru,bcp,39.47869873046875,3136516171.485779
2010-02-02,peru,bcp,40.5721435546875,3223388522.5023193
2010-02-03,peru,bcp,41.1214714050293,3267031695.693203
2010-02-04,peru,bcp,39.782142639160156,3160624279.3352127
2010-02-05,peru,bcp,38.69394302368164,3074168651.3253975
2010-02-08,peru,bcp,38.092288970947266,3026368249.419422
2010-02-09,peru,bcp,38.62593078613281,3068765193.516739
2010-02-10,peru,bcp,38.79335021972656,3082066385.7488556
2010-02-11,peru,bcp,39.94955825805664,3173925168.496052
2010-02-12,peru,bcp,40.001869201660156,3178081184.926033
2010-02-16,peru,bcp,40.718624114990234,3235026156.4915886
2010-02-17,peru,bcp,40.88081359863281,3247911838.0020905
2010-02-18,peru,bcp,41.32027053833008,3282825952.2550087
2010-02-19,peru,bcp,41.29410934448242,3280747489.4331017
2010-02-22,peru,bcp,41.32550811767578,3283242069.119179
2010-02-23,peru,bcp,40.415184020996094,3210918351.7134323
2010-02-24,peru,bcp,40.45181655883789,3213828745.192402
2010-02-25,peru,bcp,40.467506408691406,3215075277.3572464
2010-02-26,peru,bcp,40.859886169433594,3246249188.973076
2010-03-01,peru,bcp,41.16855239868164,3270772201.4015694
2010-03-02,peru,bcp,41.43538284301758,3291971431.128422
2010-03-03,peru,bcp,41.16855239868164,3270772201.4015694
2010-03-04,peru,bcp,41.095314025878906,3264953535.9425735
2010-03-05,peru,bcp,41.49816131591797,3296959075.144188
2010-03-08,peru,bcp,41.346431732177734,3284904415.0769157
2010-03-09,peru,bcp,41.210411071777344,3274097802.530876
2010-03-10,peru,bcp,42.0474853515625,3340601945.263794
2010-03-11,peru,bcp,42.345699310302734,3364294542.391613
2010-03-12,peru,bcp,42.87409973144531,3406275066.553482
2010-03-15,peru,bcp,43.16185760498047,3429136945.309349
2010-03-16,peru,bcp,44.569190979003906,3540947213.3334427
2010-03-17,peru,bcp,44.48025131225586,3533881106.4957695
2010-03-18,peru,bcp,44.57442092895508,3541362724.0550575
2010-03-19,peru,bcp,44.76799774169922,3556742076.0378036
2010-03-22,peru,bcp,44.977264404296875,3573367960.1853943
2010-03-23,peru,bcp,45.291168212890625,3598307089.478058
2010-03-24,peru,bcp,45.285945892333984,3597892184.8989983
2010-03-25,peru,bcp,45.5213623046875,3616595622.654663
2010-03-26,peru,bcp,45.317317962646484,3600384643.086132
2010-03-29,peru,bcp,45.327789306640625,3601216573.7431946
2010-03-30,peru,bcp,45.95036315917969,3650679018.5356293
2010-03-31,peru,bcp,46.13347625732422,3665227046.003868
2010-04-01,peru,bcp,46.30088806152344,3678527632.0934296
2010-04-05,peru,bcp,46.98624801635742,3732978327.0441856
2010-04-06,peru,bcp,46.75606155395508,3714690400.0101357
2010-04-07,peru,bcp,46.473541259765625,3692244638.1184387
2010-04-08,peru,bcp,46.38459014892578,3685177622.0669327
2010-04-09,peru,bcp,45.992218017578125,3654004316.5936584
2010-04-12,peru,bcp,46.61479568481445,3703467064.4573708
2010-04-13,peru,bcp,46.09685516357422,3662317561.7387314
2010-04-14,peru,bcp,46.84904479980469,3722077762.4020844
2010-04-15,peru,bcp,46.85971450805664,3722925452.765583
2010-04-16,peru,bcp,45.840782165527344,3641972993.014763
2010-04-19,peru,bcp,46.0328254699707,3657230510.3439064
2010-04-20,peru,bcp,46.16088104248047,3667404310.0622787
2010-04-21,peru,bcp,46.67300033569336,3708091326.0112724
2010-04-22,peru,bcp,47.94264602661133,3808962539.341007
2010-04-23,peru,bcp,48.209381103515625,3830154192.285919
2010-04-26,peru,bcp,47.025089263916016,3736064198.7928963
2010-04-27,peru,bcp,45.856788635253906,3643244680.0956497
2010-04-28,peru,bcp,45.904808044433594,3647059741.3383102
2010-04-29,peru,bcp,46.47028350830078,3691985815.2473526
2010-04-30,peru,bcp,46.3369140625,3681389837.239258
2010-05-03,peru,bcp,46.55030822753906,3698343644.5092316
2010-05-04,peru,bcp,44.92323303222656,3569075258.609207
2010-05-05,peru,bcp,44.25105667114258,3515671977.9939003
2010-05-06,peru,bcp,43.008079528808594,3416919535.965996
2010-05-07,peru,bcp,41.818450927734375,3322405545.7555847
2010-05-10,peru,bcp,45.31798553466797,3600437680.5597153
2010-05-11,peru,bcp,45.80345153808594,3639007137.491989
2010-05-12,peru,bcp,47.691925048828125,3789043179.6195374
2010-05-13,peru,bcp,46.84904479980469,3722077762.4020844
2010-05-14,peru,bcp,45.072601318359375,3580942317.5556335
2010-05-17,peru,bcp,44.693843841552734,3550850673.4721794
2010-05-18,peru,bcp,44.54981231689453,3539407611.243141
2010-05-19,peru,bcp,44.27773666381836,3517791658.5095634
2010-05-20,peru,bcp,43.48286819458008,3454640696.3922157
2010-05-21,peru,bcp,44.65648651123047,3547882696.4504623
2010-05-24,peru,bcp,44.389766693115234,3526692255.790661
2010-05-25,peru,bcp,44.416439056396484,3528811330.163769
2010-05-26,peru,bcp,44.86988067626953,3564836503.720436
2010-05-27,peru,bcp,47.355838775634766,3762341690.8475227
2010-05-28,peru,bcp,47.09978103637695,3741998334.4086647
2010-06-01,peru,bcp,47.72926712036133,3792009944.356144
2010-06-02,peru,bcp,47.8946418762207,3805148690.383457
2010-06-03,peru,bcp,48.04935073852539,3817440049.1185493
2010-06-04,peru,bcp,46.72100830078125,3711905478.0401
2010-06-07,peru,bcp,46.84371566772461,3721654371.8272514
2010-06-08,peru,bcp,47.55855941772461,3778447504.68272
2010-06-09,peru,bcp,48.52946853637695,3855584600.119602
2010-06-10,peru,bcp,49.452354431152344,3928906331.242546
2010-06-11,peru,bcp,49.72976303100586,3950945977.6222343
2010-06-14,peru,bcp,49.58572769165039,3939502612.3219185
2010-06-15,peru,bcp,50.88737869262695,4042916593.6708717
2010-06-16,peru,bcp,51.01007843017578,4052664881.315468
2010-06-17,peru,bcp,50.56730651855469,4017487398.122299
2010-06-18,peru,bcp,50.35391616821289,4000533893.923603
2010-06-21,peru,bcp,52.04500961303711,4134888422.0046196
2010-06-22,peru,bcp,49.61239242553711,3941621080.552471
2010-06-23,peru,bcp,49.79377746582031,3956031816.731949
2010-06-24,peru,bcp,49.676414489746094,3946707525.804741
2010-06-25,peru,bcp,49.26031494140625,3913649116.98468
2010-06-28,peru,bcp,49.53771209716797,3935687854.1505356
2010-06-29,peru,bcp,48.236053466796875,3832273266.659027
2010-06-30,peru,bcp,48.486793518066406,3852194141.736885
2010-07-01,peru,bcp,48.14004135131836,3824645265.6726494
2010-07-02,peru,bcp,48.726844787597656,3871265811.0948563
2010-07-06,peru,bcp,49.53771209716797,3935687854.1505356
2010-07-07,peru,bcp,49.00959014892578,3893729454.1919327
2010-07-08,peru,bcp,50.6259880065918,4022149543.585903
2010-07-09,peru,bcp,50.97808074951172,4050122719.4388046
2010-07-12,peru,bcp,50.98340606689453,4050545806.94236
2010-07-13,peru,bcp,52.09302520751953,4138703180.1760025
2010-07-14,peru,bcp,52.18370819091797,4145907790.5875473
2010-07-15,peru,bcp,52.60515213012695,4179390802.2675514
2010-07-16,peru,bcp,51.831626892089844,4117935523.9484787
2010-07-19,peru,bcp,51.98098373413086,4129801673.681072
2010-07-20,peru,bcp,50.59932327270508,4020031075.3553505
2010-07-21,peru,bcp,49.452354431152344,3928906331.242546
2010-07-22,peru,bcp,50.70066833496094,4028082769.9878387
2010-07-23,peru,bcp,52.08235168457031,4137855186.741226
2010-07-26,peru,bcp,53.13328552246094,4221350111.439987
2010-07-27,peru,bcp,52.845211029052734,4198463077.768078
2010-07-28,peru,bcp,52.22104263305664,4148873949.1815987
2010-07-29,peru,bcp,51.8422966003418,4118783214.3119774
2010-07-30,peru,bcp,52.13035583496094,4141669035.6987762
2010-08-02,peru,bcp,54.18954086303711,4305267820.571026
2010-08-03,peru,bcp,53.858802795410156,4278991237.7302322
2010-08-04,peru,bcp,54.06151580810547,4295096445.422874
2010-08-05,peru,bcp,53.448028564453125,4246355916.413727
2010-08-06,peru,bcp,53.17595291137695,4224739963.680149
2010-08-09,peru,bcp,53.965484619140625,4287466929.0801086
2010-08-10,peru,bcp,53.91747283935547,4283652473.9800034
2010-08-11,peru,bcp,52.29572677612305,4154807478.654812
2010-08-12,peru,bcp,51.99166488647461,4130650273.258404
2010-08-13,peru,bcp,52.81319808959961,4195919703.606304
2010-08-16,peru,bcp,53.3093147277832,4235335335.5456886
2010-08-17,peru,bcp,53.91213607788086,4283228477.262615
2010-08-18,peru,bcp,53.39466857910156,4242116555.3824005
2010-08-19,peru,bcp,53.43203353881836,4245085138.546673
2010-08-20,peru,bcp,53.65074157714844,4262461124.106369
2010-08-23,peru,bcp,53.82146453857422,4276024776.0649033
2010-08-24,peru,bcp,54.381591796875,4320525944.042725
2010-08-25,peru,bcp,54.84571075439453,4357399414.105446
2010-08-26,peru,bcp,54.963069915771484,4366723401.961376
2010-08-27,peru,bcp,56.099365234375,4457000152.639404
2010-08-30,peru,bcp,56.23806381225586,4468019521.222332
2010-08-31,peru,bcp,56.147361755371094,4460813395.454399
2010-09-01,peru,bcp,57.52372360229492,4570163027.775509
2010-09-02,peru,bcp,58.61198043823242,4656623201.854488
2010-09-03,peru,bcp,58.86271286010742,4676543470.789791
2010-09-07,peru,bcp,57.70509338378906,4584572551.669876
2010-09-08,peru,bcp,58.355934143066406,4636280754.629463
2010-09-09,peru,bcp,58.451934814453125,4643907846.402008
2010-09-10,peru,bcp,60.23372268676758,4785467894.108402
2010-09-13,peru,bcp,62.57564163208008,4971529412.863895
2010-09-14,peru,bcp,61.41802215576172,4879558493.74398
2010-09-15,peru,bcp,61.08193588256836,4852857004.971966
2010-09-16,peru,bcp,61.85546875,4914312889.433594
2010-09-17,peru,bcp,61.57804870605469,4892272333.840073
2010-09-20,peru,bcp,61.914154052734375,4918975337.968475
2010-09-21,peru,bcp,62.196868896484375,4941436556.495331
2010-09-22,peru,bcp,62.37293243408203,4955424508.242531
2010-09-23,peru,bcp,61.45534133911133,4882523440.052921
2010-09-24,peru,bcp,61.834129333496094,4912617508.706596
2010-09-27,peru,bcp,60.7672004699707,4827851806.140781
2010-09-28,peru,bcp,60.2977409362793,4790554036.289394
2010-09-29,peru,bcp,60.505802154541016,4807084149.913258
2010-09-30,peru,bcp,60.76185989379883,4827427506.352116
2010-10-01,peru,bcp,61.67408752441406,4899902456.325394
2010-10-04,peru,bcp,61.66876220703125,4899479368.821838
2010-10-05,peru,bcp,63.54120635986328,5048241905.440834
2010-10-06,peru,bcp,63.26382827758789,5026204683.631367
2010-10-07,peru,bcp,62.96507263183594,5002469050.382126
2010-10-08,peru,bcp,63.50387191772461,5045275746.846783
2010-10-11,peru,bcp,64.1973876953125,5100374408.189087
2010-10-12,peru,bcp,65.12028503417969,5173697048.525864
2010-10-13,peru,bcp,67.4461898803711,5358486274.057915
2010-10-14,peru,bcp,67.4301986694336,5357215799.262138
2010-10-15,peru,bcp,67.35017395019531,5350857970.000259
2010-10-18,peru,bcp,67.89429473876953,5394087450.897194
2010-10-19,peru,bcp,67.57955932617188,5369082252.0660095
2010-10-20,peru,bcp,67.1421127319336,5334327856.376396
2010-10-21,peru,bcp,66.02718353271484,5245748607.924309
2010-10-22,peru,bcp,66.32057189941406,5269057819.885941
2010-10-25,peru,bcp,66.28324127197266,5266091964.363167
2010-10-26,peru,bcp,66.77403259277344,5305084508.798996
2010-10-27,peru,bcp,66.52328491210938,5285163027.578583
2010-10-28,peru,bcp,66.50728607177734,5283891946.640251
2010-10-29,peru,bcp,67.15280151367188,5335177062.096283
2010-11-01,peru,bcp,66.79536437988281,5306779283.383438
2010-11-02,peru,bcp,67.81429290771484,5387731440.062981
2010-11-03,peru,bcp,67.2861557006836,5345771827.819267
2010-11-04,peru,bcp,67.76627349853516,5383916378.82032
2010-11-05,peru,bcp,67.54222106933594,5366115790.400681
2010-11-08,peru,bcp,68.02767181396484,5404684035.047844
2010-11-09,peru,bcp,66.16587829589844,5256767673.435959
2010-11-10,peru,bcp,66.64598846435547,5294911618.2944565
2010-11-11,peru,bcp,65.16294860839844,5177086597.694748
2010-11-12,peru,bcp,63.957313537597656,5081300920.40345
2010-11-15,peru,bcp,64.15471649169922,5096984252.877647
2010-11-16,peru,bcp,62.42095184326172,4959239569.485191
2010-11-17,peru,bcp,62.92237854003906,4999077076.643021
2010-11-18,peru,bcp,64.42144012451172,5118174996.6087265
2010-11-19,peru,bcp,64.8215560913086,5149963536.775566
2010-11-22,peru,bcp,64.53345489501953,5127074381.604713
2010-11-23,peru,bcp,64.35208892822266,5112665160.781624
2010-11-24,peru,bcp,64.81086730957031,5149114331.055679
2010-11-26,peru,bcp,64.5228042602539,5126228206.597603
2010-11-29,peru,bcp,64.76284790039062,5145299269.813019
2010-11-30,peru,bcp,63.946659088134766,5080454442.325062
2010-12-01,peru,bcp,65.13626861572266,5174966917.179085
2010-12-02,peru,bcp,66.1605453491211,5256343979.789848
2010-12-03,peru,bcp,67.55821228027344,5367386265.196457
2010-12-06,peru,bcp,67.824951171875,5388578221.2126465
2010-12-07,peru,bcp,67.80360412597656,5386882234.343094
2010-12-08,peru,bcp,67.60623931884766,5371201932.581673
2010-12-09,peru,bcp,67.52621459960938,5364844103.319794
2010-12-10,peru,bcp,67.23281860351562,5341534285.215607
2010-12-13,peru,bcp,66.54462432861328,5286858408.30558
2010-12-14,peru,bcp,65.66976928710938,5217352647.63913
2010-12-15,peru,bcp,64.02667236328125,5086811362.373108
2010-12-16,peru,bcp,64.3040771484375,5108850705.681519
2010-12-17,peru,bcp,64.57615661621094,5130466961.486374
2010-12-20,peru,bcp,64.1973876953125,5100374408.189087
2010-12-21,peru,bcp,64.00001525878906,5084693500.28511
2010-12-22,peru,bcp,64.42676544189453,5118598084.112282
2010-12-23,peru,bcp,63.34382629394531,5032560391.394302
2010-12-27,peru,bcp,63.45051574707031,5041036688.886734
2010-12-28,peru,bcp,63.674583435058594,5058838489.591484
2010-12-29,peru,bcp,63.85596466064453,5073248922.699684
2010-12-30,peru,bcp,63.40251922607422,5037223446.071739
2010-12-31,peru,bcp,63.43451690673828,5039765607.948402
2011-01-03,peru,bcp,63.89329528808594,5076214778.222458
2011-01-04,peru,bcp,63.226470947265625,5023236706.60965
2011-01-05,peru,bcp,63.221134185791016,5022812709.8922615
2011-01-06,peru,bcp,62.655662536621094,4977886939.054497
2011-01-07,peru,bcp,60.281742095947266,4789282955.351063
2011-01-10,peru,bcp,59.10810852050781,4696039743.007706
2011-01-11,peru,bcp,59.33750915527344,4714265237.358566
2011-01-12,peru,bcp,60.708518981933594,4823189660.677177
2011-01-13,peru,bcp,59.35883712768555,4715959708.871731
2011-01-14,peru,bcp,59.529544830322266,4729522148.545155
2011-01-18,peru,bcp,59.668243408203125,4740541517.128082
2011-01-19,peru,bcp,60.159034729003906,4779534061.563911
2011-01-20,peru,bcp,59.23613357543945,4706211118.155857
2011-01-21,peru,bcp,58.708011627197266,4664252718.197254
2011-01-24,peru,bcp,58.841373443603516,4674848090.062794
2011-01-25,peru,bcp,59.342830657958984,4714688021.790844
2011-01-26,peru,bcp,58.43060302734375,4642213071.817566
2011-01-27,peru,bcp,57.337005615234375,4555328597.949921
2011-01-28,peru,bcp,55.73660659790039,4428179589.494282
2011-01-31,peru,bcp,55.619232177734375,4418854389.353241
2011-02-01,peru,bcp,57.6730842590332,4582029480.57938
2011-02-02,peru,bcp,57.45969772338867,4565076279.4519615
2011-02-03,peru,bcp,56.54213333129883,4492177332.761295
2011-02-04,peru,bcp,55.395172119140625,4401053194.791046
2011-02-07,peru,bcp,54.26423263549805,4311201956.186794
2011-02-08,peru,bcp,54.56831359863281,4335360676.93959
2011-02-09,peru,bcp,53.762779235839844,4271362327.5300217
2011-02-10,peru,bcp,51.863624572753906,4120477685.825142
2011-02-11,peru,bcp,53.149288177490234,4222621495.4495964
2011-02-14,peru,bcp,52.743839263916016,4190409261.6366463
2011-02-15,peru,bcp,52.08768081665039,4138278577.316059
2011-02-16,peru,bcp,52.19438934326172,4146756390.164879
2011-02-17,peru,bcp,53.27732467651367,4232793779.8115807
2011-02-18,peru,bcp,53.960147857666016,4287042932.3627205
2011-02-22,peru,bcp,52.51979064941406,4172608976.2882843
2011-02-23,peru,bcp,51.83695983886719,4118359217.594589
2011-02-24,peru,bcp,52.63716125488281,4181933873.3580475
2011-02-25,peru,bcp,53.34666442871094,4238302706.4248505
2011-02-28,peru,bcp,53.58672332763672,4257374981.925377
2011-03-01,peru,bcp,53.67741012573242,4264579895.4081993
2011-03-02,peru,bcp,54.493629455566406,4329427147.466377
2011-03-03,peru,bcp,57.31566619873047,4553633217.222923
2011-03-04,peru,bcp,56.55813980102539,4493449019.842182
2011-03-07,peru,bcp,56.526126861572266,4490905645.6804085
2011-03-08,peru,bcp,57.224971771240234,4546427697.597546
2011-03-09,peru,bcp,57.21965026855469,4546004913.165268
2011-03-10,peru,bcp,56.30740737915039,4473528750.906879
2011-03-11,peru,bcp,57.176963806152344,4542613545.568718
2011-03-14,peru,bcp,56.68617248535156,4503621001.132889
2011-03-15,peru,bcp,56.840885162353516,4515912662.939259
2011-03-16,peru,bcp,55.747257232666016,4429025764.501392
2011-03-17,peru,bcp,55.78462219238281,4431994347.665665
2011-03-18,peru,bcp,56.22205352783203,4466747531.070168
2011-03-21,peru,bcp,56.195377349853516,4464628153.625782
2011-03-22,peru,bcp,56.318077087402344,4474376441.270378
2011-03-23,peru,bcp,58.259891510009766,4628650329.072865
2011-03-24,peru,bcp,57.64640426635742,4579909800.063717
2011-03-25,peru,bcp,56.48345184326172,4487515187.297691
2011-03-28,peru,bcp,54.803035736083984,4354008955.722729
2011-03-29,peru,bcp,54.34424591064453,4317558876.23484
2011-03-30,peru,bcp,55.5978889465332,4417158705.554966
2011-03-31,peru,bcp,55.97665023803711,4447250652.709698
2011-04-01,peru,bcp,57.39567184448242,4559989531.128414
2011-04-04,peru,bcp,56.526126861572266,4490905645.6804085
2011-04-05,peru,bcp,56.798179626464844,4512519779.9863205
2011-04-06,peru,bcp,57.497032165527344,4568042438.046013
2011-04-07,peru,bcp,55.17113494873047,4383253818.656517
2011-04-08,peru,bcp,55.267147064208984,4390881819.642895
2011-04-11,peru,bcp,53.83746337890625,4277295857.003235
2011-04-12,peru,bcp,52.546470642089844,4174728656.8039474
2011-04-13,peru,bcp,51.735599517822266,4110306310.6769905
2011-04-14,peru,bcp,50.6793327331543,4026387692.332119
2011-04-15,peru,bcp,51.95380401611328,4127642290.828041
2011-04-18,peru,bcp,50.45057678222656,4008213417.027176
2011-04-19,peru,bcp,50.52138900756836,4013839329.1536064
