countryname,bankname,bankname_sbs,pd_source,date,year,month,tot_asset,total_liab,equity,st_borrow,lt_borrow,net_income,net_rev,prof_margin
peru,alfin_peru,Banco Azteca Perú,book,2010-01-31,2010,1,320933.0,276537.0,44396.0,276537.0,0.0,2970.0,13454.0,0.22075219265645904
peru,alfin_peru,Banco Azteca Perú,book,2010-02-28,2010,2,326741.0,280331.0,46410.0,280331.0,0.0,2014.0,13814.0,0.14579412190531346
peru,alfin_peru,Banco Azteca Perú,book,2010-03-31,2010,3,331934.0,283081.0,48853.0,283081.0,0.0,2443.0,14715.0,0.16602106693849814
peru,alfin_peru,Banco Azteca Perú,book,2010-04-30,2010,4,326681.0,281183.0,45498.0,281183.0,0.0,-3355.0,12973.0,-0.25861404455407383
peru,alfin_peru,Banco Azteca Perú,book,2010-05-31,2010,5,329593.0,283443.0,46150.0,283443.0,0.0,652.0,16823.0,0.038756464364263214
peru,alfin_peru,Banco Azteca Perú,book,2010-06-30,2010,6,337297.0,290290.0,47007.0,290290.0,0.0,857.0,13924.0,0.061548405630565926
peru,alfin_peru,Banco Azteca Perú,book,2010-07-31,2010,7,341884.564,293977.61,47906.954,293977.61,0.0,900.4780000000001,15057.895000000004,0.05980105452986621
peru,alfin_peru,Banco Azteca Perú,book,2010-08-31,2010,8,340364.284,291204.281,49160.003,291204.281,0.0,1253.0479999999998,15462.243999999992,0.08103920750442177
peru,alfin_peru,Banco Azteca Perú,book,2010-09-30,2010,9,332066.272,281601.271,50465.001,281601.271,0.0,1304.9969999999994,13797.782000000007,0.09458020136859668
peru,alfin_peru,Banco Azteca Perú,book,2010-10-31,2010,10,333092.946,281000.687,52092.256,281000.687,0.0,1627.2560000000012,14828.130999999994,0.10974113999937024
peru,alfin_peru,Banco Azteca Perú,book,2010-11-30,2010,11,327058.134,275639.113,51419.02,275639.113,0.0,-673.2346799999996,14332.277529999992,-0.046973321482981355
peru,alfin_peru,Banco Azteca Perú,book,2010-12-31,2010,12,335406.939,280555.352,54851.587,280555.352,0.0,3432.5668100000003,15903.091950000002,0.21584273176512697
peru,alfin_peru,Banco Azteca Perú,book,2011-01-31,2011,1,333288.692,277575.632,55713.06,277575.632,0.0,1498.55143,15286.54756,0.09803073088401132
peru,alfin_peru,Banco Azteca Perú,book,2011-02-28,2011,2,343304.435,286575.014,56729.421,286575.014,0.0,1016.3605600000001,14693.485519999997,0.06917082802556165
peru,alfin_peru,Banco Azteca Perú,book,2011-03-31,2011,3,354805.436,297302.333,57503.102,297302.333,0.0,773.6808599999999,17062.190940000004,0.045344754534788936
peru,alfin_peru,Banco Azteca Perú,book,2011-04-30,2011,4,375345.412,317121.667,58223.745,317121.667,0.0,720.6436100000001,17096.898139999998,0.04215054708163572
peru,alfin_peru,Banco Azteca Perú,book,2011-05-31,2011,5,378617.482,320813.061,57804.42,320813.061,0.0,-419.32519,18698.92044,-0.022425101563777763
peru,alfin_peru,Banco Azteca Perú,book,2011-06-30,2011,6,388586.243,327876.794,60709.451,327876.794,0.0,2905.0304600000004,19526.176699999996,0.14877620461152546
peru,alfin_peru,Banco Azteca Perú,book,2011-07-31,2011,7,405844.986,342458.818,63386.168,342458.818,0.0,2676.7165399999994,19963.81418,0.13407841386750471
peru,alfin_peru,Banco Azteca Perú,book,2011-08-31,2011,8,412769.652,347764.001,65005.648,347764.001,0.0,1619.4807800000017,19144.478809999986,0.0845925760671049
peru,alfin_peru,Banco Azteca Perú,book,2011-09-30,2011,9,425372.315,359964.808,65407.506,359964.808,0.0,401.8574099999987,18018.457720000006,0.022302541995808427
