date,country,GaR,prob_neg,ES,ER,mean,std,iqr_05_95,skew,kurt,GaR_st,mean_st,std_st,scale_st,alpha_st,nu_st,skew_st,sse_st,n_train,quarter
01/03/2010,BRAZIL,0.0676193313880661,0.0,0.0586223323229398,0.1302095417958655,0.0914581834031297,0.0126263992322076,0.0567137041211089,0.3046743201798393,2.263495882154737,0.0676413038715923,0.0934271326364028,0.0537782963995377,0.0119452941047163,0.8115803691959441,2.1,0.630162412348747,1.5165446608115986e-08,44,2010Q1
01/03/2011,BRAZIL,0.0309555306133264,0.0,0.0259321383086361,0.0973557628442138,0.0561329617089226,0.0123911102710894,0.0638239859541455,0.2378811421201654,1.467847861639778,0.0312776750222303,0.0585432875388583,0.0639062162664,0.0143365850817798,1.2597959331026964,2.1,0.7832398696987523,3.729045724667924e-06,64,2011Q1
01/03/2012,BRAZIL,-0.0009350359209211,0.0696966411808636,-0.0054586869632659,0.072031731860175,0.0227030573739973,0.0095767857562743,0.0723598395335275,0.5148778378721839,1.8897898718505968,,,,,,,,,84,2012Q1
01/03/2013,BRAZIL,0.0122624963777831,0.0,0.0116480570018287,0.083761544150497,0.0329679827634452,0.0087243835598936,0.0450231145459244,0.3488482986931346,2.2092885622682275,,,,,,,,,104,2013Q1
01/03/2014,BRAZIL,0.014333947389901,0.0,0.0112340285177266,0.0731883583093646,0.0356769730661013,0.0093331023038457,0.0395840578426115,0.4569824097976176,1.217686700930742,,,,,,,,,124,2014Q1
01/03/2015,BRAZIL,-0.0425369130055801,0.8756231025227806,-0.0473192638647265,0.0339067881941143,-0.0120388869234363,0.010041737440097,0.0572533396406194,-0.4490604494800982,1.4459455613376018,,,,,,,,,144,2015Q1
01/03/2016,BRAZIL,-0.0565230109491479,0.962829103494331,-0.0724675222846489,0.0156467984435291,-0.0397155597874873,0.0100297696238819,0.0400300273391505,-0.2802701556245286,1.1463773753220017,,,,,,,,,164,2016Q1
01/03/2017,BRAZIL,-0.0101328752826144,0.2373486191802717,-0.0140100038144698,0.0304245219377362,0.0073306878395456,0.0107722972817681,0.0402313083487324,0.1280677421909798,1.345077508835399,,,,,,,,,184,2017Q1
01/03/2018,BRAZIL,-0.0114903538119094,0.0973032250546978,-0.0169951482211931,0.0637760097684348,0.021018200009275,0.0119269417136637,0.0588329167072501,-0.0324114138136861,1.4340154136532428,,,,,,,,,204,2018Q1
01/03/2019,BRAZIL,-0.0094625860293867,0.1402861610439864,-0.010867741277995,0.0390288596054239,0.0124206718195889,0.0103403891322271,0.0403795352356767,-0.0724933368088058,1.4956920611734028,,,,,,,,,224,2019Q1
01/03/2020,BRAZIL,-0.0471121783793168,0.5880922173623867,-0.0690602982350901,0.0981546315445884,-0.0088068610200387,0.0354453645472036,0.0757679840645725,0.1569308694448955,0.5666440782948803,,,,,,,,,244,2020Q1
01/03/2021,BRAZIL,-0.0090468485135611,0.0878372707495577,-0.0129354978446017,0.0581158361878279,0.0210046147257259,0.0126038431195432,0.0558813935383148,0.1753378092642847,1.357410877715358,,,,,,,,,264,2021Q1
