date,country,GaR,prob_neg,ES,ER,mean,std,iqr_05_95,skew,kurt,n_train,quarter
01/03/2003,BRAZIL,,,,,,,,,,45,2003Q1
01/03/2004,BRAZIL,,,,,,,,,,70,2004Q1
01/03/2005,BRAZIL,,,,,,,,,,98,2005Q1
01/03/2006,BRAZIL,,,,,,,,,,129,2006Q1
01/03/2007,BRAZIL,,,,,,,,,,163,2007Q1
01/03/2008,BRAZIL,-0.07358450282200397,0.10234061749131013,-0.07631173881312865,0.113273051979809,0.04645541346075527,0.009707493139927784,0.18121255710398096,-0.12883408619587425,2.325804260531464,205,2008Q1
01/03/2009,BRAZIL,-0.06580051628669169,0.33743264915484195,-0.06797577322582991,0.2000421828357316,0.01593124917072054,0.026646808523161956,0.22898546819569704,-0.06885848849818568,2.4683702901155127,251,2009Q1
01/03/2010,BRAZIL,-0.0611882707031072,0.08650814491193332,-0.09061488566406797,0.08901473433752502,0.060185510804026204,0.010332713127944499,0.14711420758654364,-0.4987889475609758,2.5753252297716154,301,2010Q1
01/03/2011,BRAZIL,-0.03388746068754868,0.06963909044237036,-0.06429191666403844,0.11307502974173642,0.05233045313514852,0.013006253990295898,0.12629055060650804,-0.026194437763602373,1.7902766111805624,357,2011Q1
01/03/2012,BRAZIL,-0.009894589026029483,0.060184580653528774,-0.04235538971889691,0.1301999641633494,0.03844522299590615,0.014574968767344982,0.10501508868673355,0.07054094886828073,1.5974655979674341,415,2012Q1
01/03/2013,BRAZIL,-0.01784784357360216,0.06646140160183087,-0.029483642302316537,0.11636636820888094,0.0380846354613749,0.014619859403191063,0.1013365118893165,0.013532618934173846,1.4282660239712828,475,2013Q1
01/03/2014,BRAZIL,-0.03005465984364148,0.0730922376004882,-0.04211011999431039,0.09749482906925934,0.0362375040299963,0.013158565217472527,0.10941953800641577,-0.023412346920873302,1.5150607356403212,535,2014Q1
01/03/2015,BRAZIL,-0.015992337860347802,0.44614767923214704,-0.023623471667708035,0.10494661822446512,0.008350906519021501,0.013551431732033754,0.09056638099258991,0.28563631945915313,1.6529173297404345,595,2015Q1
01/03/2016,BRAZIL,-0.03084451180324288,0.8281744925695543,-0.032245230886175875,0.1271304214575283,-0.006681842915862584,0.01388878362337412,0.11071380928945551,0.2479648616260086,1.5049894375217894,658,2016Q1
01/03/2017,BRAZIL,-0.028018698968091033,0.1500321742360532,-0.052564159989166165,0.11450329352571337,0.01485049852225276,0.011310576541517401,0.1001984389871763,0.027958977033094294,1.6491282020437177,724,2017Q1
01/03/2018,BRAZIL,-0.061396983343184934,0.11198104091644256,-0.09305265319031482,0.09840162984330283,0.01755829941787644,0.01288787675316797,0.12729892914612523,0.06805291047955508,1.749564675581097,792,2018Q1
01/03/2019,BRAZIL,-0.04150333922921431,0.1092501841181283,-0.07176211952424548,0.09506380217315528,0.014642706356593994,0.010461413735672474,0.10266699098146365,0.008004254500023112,1.7644203769434474,860,2019Q1
01/03/2020,BRAZIL,-0.1583808098212466,0.4977945665000546,-0.16898211086237974,0.07785217157620854,-0.0115873981713389,0.027797369605757617,0.22823506766219778,-0.10509626240889973,2.1178742196550937,928,2020Q1
01/03/2021,BRAZIL,-0.04970520876031643,0.1594157254367143,-0.08928881114089168,0.1206204631137224,0.01834384013032447,0.01424929571590036,0.14202401326158878,0.05715889349246134,2.0798321489453313,996,2021Q1
01/03/2022,BRAZIL,-0.06365371796894927,0.2513068049575134,-0.10288812402768142,0.14053798001936707,0.012840970922452935,0.018295987661028575,0.1700807115368538,-0.09555885670140718,2.184106162624186,1064,2022Q1
01/03/2023,BRAZIL,-0.05292742432930398,0.11820382719912277,-0.0888411269811646,0.16825828655582958,0.034017321694668395,0.016489977063774832,0.16433953724312983,-0.12511898276214492,2.1738678870629315,1132,2023Q1
01/03/2024,BRAZIL,-0.026683311775707756,0.08195232427795454,-0.060221313562891,0.17085606722724192,0.035085141649808305,0.011521288403987593,0.13974727796070194,0.08173788659883398,2.135286999303481,1200,2024Q1
01/03/2025,BRAZIL,-0.07549938547132433,0.1365756146251797,-0.12251287687898967,0.1769605309006735,0.03153690726543354,0.017446996591541784,0.1954483728430032,-0.15638959544184272,2.2360955400652256,1268,2025Q1
01/03/2026,BRAZIL,-0.09733101716203373,0.23857037788316804,-0.17716282779930953,0.18633033496613732,0.015050035808278253,0.021373214913107907,0.22202814962227788,-0.07363956752579405,2.192417684405556,1335,2026Q1
01/06/2003,BRAZIL,,,,,,,,,,50,2003Q2
01/06/2004,BRAZIL,,,,,,,,,,77,2004Q2
01/06/2005,BRAZIL,,,,,,,,,,105,2005Q2
01/06/2006,BRAZIL,,,,,,,,,,137,2006Q2
01/06/2007,BRAZIL,,,,,,,,,,172,2007Q2
01/06/2008,BRAZIL,-0.0765572387864997,0.11150285910499498,-0.09959709779046867,0.09635366454943332,0.04408167106122983,0.007933394762259845,0.16808110328445905,-0.5284964006042441,2.6066712489948176,216,2008Q2
01/06/2009,BRAZIL,-0.030758722623886514,0.24094448495805104,-0.0323157974825347,0.11582276833977938,0.016860513078236168,0.01814345333536256,0.11592680128084112,-0.08233843891170468,1.565639554808721,263,2009Q2
01/06/2010,BRAZIL,-0.12525572443099525,0.11896953476086798,-0.1322549663536356,0.11194691325323831,0.04481169788173073,0.024570434915868293,0.22706188595908472,-0.3222454859080006,1.426586092416882,314,2010Q2
01/06/2011,BRAZIL,-0.04493517258604038,0.0777203772428931,-0.07663635008508897,0.10265400993811645,0.04780192886461726,0.013043317830892697,0.13018858855517967,-0.06557634988843929,1.695065932213713,371,2011Q2
01/06/2012,BRAZIL,-0.019444397132567903,0.07486080697121983,-0.053621241728374985,0.09806979160901425,0.027462696589927733,0.0170987424998357,0.09449708962657932,-0.025382430061461417,1.3211983935876468,430,2012Q2
01/06/2013,BRAZIL,-0.062036260173259486,0.08359608884785937,-0.06663773552586388,0.08117680538792349,0.03397497077139258,0.017166387670234894,0.13526258963899512,-0.1897897378637899,1.435786229347597,490,2013Q2
01/06/2014,BRAZIL,-0.005422606617054269,0.06609138996044067,-0.03342176333769949,0.08965620451951199,0.01889575561762825,0.013808098495019674,0.06579836814396466,0.26312483878904785,1.374992575955027,550,2014Q2
01/06/2015,BRAZIL,-0.01410228418458178,0.5629714070092233,-0.03098811184990317,0.09887339437451581,0.00527085753853847,0.014888589971041805,0.07752537225578601,0.2556653253112798,1.5142519558369956,610,2015Q2
01/06/2016,BRAZIL,-0.02066512562556623,0.6929379780690843,-0.048770901887880275,0.09626025929728016,-0.0010784920050007831,0.014371206618293926,0.07752326929856027,0.18188637989698375,1.5370770426142142,674,2016Q2
01/06/2017,BRAZIL,-0.037023612456833374,0.11345701435864154,-0.06267811325085404,0.08332163503453023,0.014081850729505931,0.010621792475681787,0.09379911986313914,0.034279790407607785,1.4672694026698696,741,2017Q2
01/06/2018,BRAZIL,-0.05963558161072344,0.12396696748453985,-0.08634466818073866,0.08089888904553284,0.014288393932499128,0.012412396616467047,0.1141284368884263,-0.008848572071692788,1.5784342469441033,809,2018Q2
01/06/2019,BRAZIL,-0.04753876273177385,0.09380393341590111,-0.08216674746361116,0.08774848692456083,0.015437447384810458,0.010520999124832632,0.11062608113166554,0.0980347640085899,1.6341460649586659,877,2019Q2
01/06/2020,BRAZIL,-0.08254488303807538,0.9144463587300315,-0.08556474074222492,0.13739290706457385,-0.05089119713932254,0.023392555921287778,0.17047820850005152,0.47233261907720514,1.4836333039718714,945,2020Q2
01/06/2021,BRAZIL,-0.0623556348272364,0.08368257284218839,-0.10506590923781506,0.09235091438112347,0.06632823842280296,0.02256985092655303,0.15453700503352613,-0.9064336864482728,1.5792389469276054,1013,2021Q2
01/06/2022,BRAZIL,-0.10905792948747528,0.2143888379174208,-0.16347248257989508,0.12637889539085886,0.015535357614409114,0.025315514648935694,0.21304743941044307,-0.24238592335968823,2.206789769166479,1081,2022Q2
01/06/2023,BRAZIL,-0.033980585245109385,0.09413507134328597,-0.07467895241072295,0.16081619072398787,0.03234148431919381,0.012898085912567104,0.1369304922554732,-0.000877407250529428,2.2154441846638075,1149,2023Q2
01/06/2024,BRAZIL,-0.054574194223408,0.14556830711573032,-0.09750371654550817,0.14344365094346553,0.026375845542440296,0.015714198675094236,0.15728412797683888,-0.07315700770462703,2.2102822496606946,1217,2024Q2
01/06/2025,BRAZIL,-0.04016643885663231,0.10422332056048382,-0.09201887445821878,0.16065786807497212,0.027920598051419616,0.012942226595191309,0.15077531372072336,0.03953019711084676,2.2114298689354936,1285,2025Q2
01/09/2003,BRAZIL,,,,,,,,,,55,2003Q3
01/09/2004,BRAZIL,,,,,,,,,,84,2004Q3
01/09/2005,BRAZIL,,,,,,,,,,113,2005Q3
01/09/2006,BRAZIL,,,,,,,,,,145,2006Q3
