date,country,GaR,prob_neg,ES,ER,mean,std,iqr_05_95,skew,kurt,GaR_st,mean_st,std_st,scale_st,alpha_st,nu_st,skew_st,sse_st
01/06/2020,BRAZIL,-0.1431987703049954,1.0,-0.2171745254542856,-0.0071260849344808,-0.0961616179474943,0.0171240165030588,0.0754375030502549,0.0793653826055256,1.6433143335449183,-0.1431526525245105,-0.098767913109251,0.0810441943994363,0.0183158229362123,-1.8366463495968928,2.1,-0.8782585850697071,3.845548935510527e-08
01/06/2020,CHILE,-0.1605230174139363,1.0,-0.2349579700118723,-0.0205517940324648,-0.113431582906305,0.0129398114167188,0.0707120422510519,0.0110023407920622,1.7471537082249684,-0.1596708898449811,-0.116696014989537,0.0805776120287442,0.0183440077446651,-3.5276058298302706,2.1,-0.962090116243974,1.1449960594979152e-05
01/06/2020,COLOMBIA,-0.2183124206798784,1.0,-0.3013925235216358,-0.0668541414493994,-0.1635100248760431,0.0174848015871188,0.0801389475542613,-0.1357630840988321,1.6706713422271189,-0.2179374883109175,-0.1678929413499262,0.094518358103213,0.0215550283727148,-5.0214934292876805,2.1,-0.9807417993734712,2.075142490845647e-06
01/06/2020,MEXICO,-0.2065820177688701,1.0,-0.2882592433938382,-0.0572519518885519,-0.1539756487836171,0.0176843314206822,0.0790047705505094,-0.0405981469751661,1.5515371301924334,-0.206375784035711,-0.1576789380824146,0.0913098662540322,0.0207874759191428,-3.53283064175858,2.1,-0.962195891808601,6.698115605400872e-07
01/06/2020,PERU,-0.1580387457626489,1.0,-0.2355575055078831,-0.0158199480028371,-0.1084291809905482,0.0169583624253262,0.0770040445317914,0.0077773534120202,1.6273025288336374,-0.1578436786911226,-0.1117243926743715,0.08521031496177,0.0193236555983187,-2.327233320390272,2.1000000000000187,-0.9187709254750838,6.547818727082326e-07
01/09/2022,BRAZIL,-0.0222129669733128,0.1165784154298393,-0.0530339240453347,0.0834825853731979,0.0331040249121193,0.0202844346043636,0.1004002969188764,-0.0898507897970985,1.8232372623075768,-0.0217598848538459,0.0318011267570923,0.0926052597708495,0.0204983859431054,-0.686854844452833,2.1,-0.5661676554754063,4.20156252334548e-06
01/09/2022,CHILE,-0.0216742166822358,0.1429995729228541,-0.0512991286852266,0.0732966455697873,0.0172062163327486,0.0161296974311097,0.0819985287545835,0.196566267617041,1.7992891344868194,-0.0212810052460013,0.0189083566881845,0.0703391830671419,0.0153558221944383,0.0991170578611871,2.1,0.0986337436267823,3.680776147231937e-06
01/09/2022,COLOMBIA,-0.004313546374931,0.0647015949468477,-0.0327315791195698,0.1027541552392965,0.0529737673931937,0.0209428707990687,0.1020863036721058,-0.1483516578640145,1.8091086800668243,-0.0039085713102923,0.0511195348263413,0.0956380974760161,0.0212229851623946,-0.7764075486789188,2.1000000000001564,-0.6132660260379798,3.369796348394128e-06
01/09/2022,MEXICO,-0.0382659934560766,0.1901347922314677,-0.0650683560651512,0.0733987585934304,0.0235496217499754,0.0242272573236693,0.1096148969803716,-0.2001290138748432,1.7955730055183818,-0.0381799187251917,0.0212429573170392,0.1032634237656268,0.0229138070111486,-0.774325065770771,2.100000000000011,-0.6122382083509834,1.451112883129179e-07
01/09/2022,PERU,-0.0380435813915758,0.2121481605695904,-0.0619150898737224,0.0716219321966896,0.0191581645154473,0.0244057490408579,0.1055920222287161,-0.1660868035461968,1.7832445243426085,-0.0380435811311801,0.0181711286572614,0.0539142913631937,0.0222454309666368,-0.5320190182952487,2.383611537499842,-0.4696846234994246,2.410992955623694e-19
01/03/2026,BRAZIL,-0.023588291114617726,0.16959781930284681,-0.04214379123747407,0.09221895932687497,0.02061832450884899,0.01809140551796587,0.09350534157364265,0.052606156293501814,1.634677021007081,-0.02309994127279674,0.022354719421623113,0.08038567524579647,0.0175618353376648,0.16423223727804914,2.100000000000016,0.16206120343266125,6.108196617947998e-06
01/03/2026,CHILE,-0.03673786371639372,0.39484508725836387,-0.04871696811972026,0.07555819241264299,0.005516007389226532,0.020282232210451532,0.09258610747612223,0.010166547369178228,1.6624130263883974,-0.036674601474061895,0.007652643332026973,0.08211263584584255,0.01801963202044104,0.3825488315660887,2.1,0.3572970848638484,1.1308129970008703e-07
01/03/2026,COLOMBIA,-0.02160770476601616,0.164576065967072,-0.036446358449860335,0.09307239103472978,0.023702905683757027,0.019730468575844894,0.09439631982231975,-0.01228385973166203,1.6281099946563664,-0.021387168034950662,0.024845533071956936,0.08154748593036673,0.01781204276136055,0.1487568955472926,2.1,0.1471378254117181,1.330643798461852e-06
01/03/2026,PERU,-0.020375499468992843,0.13971265051165793,-0.036459808399136776,0.10422744257536089,0.03126046508444828,0.021864380093203312,0.10366039554595102,-0.06975731572611006,1.6319194529060492,-0.020161864011367884,0.03142837884570343,0.08921895251379287,0.01946918595726834,0.004102237482542431,2.1000000000000174,0.004102202966029155,1.1529922804636126e-06
