N,paises,b3,t3,b4,t4,HHI,p_b4_pos,ci90,loo
721,13,32.54096026153283,0.5531633295122484,139.28561376719585,0.3904399344761248,estructural,0.431,"(-715.4248863350101, 610.9100079527894)","[-201,+368]"
721,13,23.34376501069683,0.5267239018895852,170.78142774997227,0.8067863435327756,anual,0.681,"(-301.16944158633714, 620.1998499827395)","[-45,+354]"
706,13,-4.038887846666029,-0.12387951081416938,-0.017519055305439075,-0.5430982598903531,trimestral,0.535,"(-0.07302186207013994, 0.06754457321151475)","[-0,+0]"
