country,quarter,EMBI_bps,JLoss,n_banks,below_min_banks,GaR,ES,prob_neg,skew,std,GaR_st,n_train,VIX,UST10Y,US_HY_spread,UST10Y_log,US_HY_spread_log,OnOffRun_spread,OnOffRun_spread_log,HHI_struct,GaR_pp,JLoss_x_GaR
brazil,2007Q3,100.24990769230769,2.9021770667423983,6,False,0.0372863060732412,0.0366995373055875,0.0,0.1537344263688373,0.0084033547017232,0.0372863061382381,183,21.589206349206346,4.731901538461538,3.951746031746032,1.5543271383048871,1.3741575145984941,-0.1002190476190476,-0.105603931524451,0.64919185,3.72863060732412,-2.908136192692605
brazil,2007Q4,95.35775757575757,4.006896067552684,6,False,0.045564118077144,0.0441588062982347,0.0,-0.1417311950511044,0.0086913677797644,0.0455641181842443,194,22.02984375,4.2572515151515145,4.884838709677419,1.4486237678236302,1.5861362674834178,-0.1863112903225806,-0.2061774066646915,0.64919185,4.5564118077144,-0.5183354808409931
brazil,2008Q1,148.21876923076923,3.1621962703317688,6,False,0.0422068864988195,0.0353838376079043,0.0,0.1396294487235311,0.010814860951082,0.0412698002559122,205,26.120163934426227,3.6472138461538464,7.084098360655737,1.2939635462889865,1.9578526047276,-0.3150475409836065,-0.3784058460241801,0.64919185,4.22068864988195,-2.8107334199639937
brazil,2008Q2,110.65329230769231,3.5087568481088494,8,False,0.0453026680701201,0.0390356970653897,0.0,-0.0865552086966897,0.0085400583391265,0.0453026680235727,216,20.67296875,3.8625384615384615,6.578125,1.351324599854147,1.8837497503227096,-0.3051234472513199,-0.364021071138336,0.64919185,4.53026680701201,-2.0530166455041234
brazil,2008Q3,138.8319090909091,5.687607298328175,8,False,0.0467696963903762,0.043419881592924,0.0,-0.0161796336297772,0.0100001002798956,0.0450835990614205,227,25.07328125,3.843201515151515,8.066875,1.3463057471456215,2.087766170607315,-0.2851375091075898,-0.3356650752142703,0.64919185,4.676969639037621,4.900830520149664
brazil,2008Q4,352.14948484848486,15.543826980351565,8,False,-0.0164549710641318,-0.0223212647106935,0.1084061687571756,0.5731611693552763,0.0098884086065795,-0.0158529365006167,239,58.6046875,3.203140909090909,16.25774193548387,1.1641318625069785,2.7885692221195404,-0.6579274046805598,-1.0727322974290805,0.64919185,-1.64549710641318,-35.09190050913918
brazil,2009Q1,356.728890625,14.243341436550084,8,False,-0.0589199333014301,-0.0594000346740564,0.655643519083312,-0.2778034674569155,0.0210930863945454,-0.0589199333890633,251,45.0,2.7008625,15.372786885245901,0.9935711664432145,2.732598860908846,-0.6253082062768154,-0.9816514743479056,0.64919185,-5.89199333014301,-73.84090623706288
brazil,2009Q2,229.36923076923077,4.568854336795474,8,False,-0.0316614433281703,-0.0401184712762376,0.3769504942700843,-0.5978027485329,0.010371935446739,-0.0311664856703414,263,33.01571428571428,3.297866153846154,11.491269841269842,1.1932756392769075,2.4415876028358983,-0.4830492003001865,-0.6598075739928725,0.64919185,-3.16614433281703,-1.8224523784032327
brazil,2009Q3,140.09906060606062,3.2572233549031218,8,False,-0.0236447831846207,-0.0311508320774761,0.3300355289977046,-0.2354139170760606,0.013629977268827,-0.0236447834110336,275,25.48625,3.4990636363636365,8.46921875,1.252495400234641,2.1364382671016946,-0.4496937596797943,-0.5972803551293554,0.64919185,-2.36447831846207,3.4856830320963494
brazil,2009Q4,124.1807878787879,3.0134035465157645,8,False,0.029862474547377,0.0243955814844765,0.0,-0.1006701895058672,0.0133575467690727,0.0309328497429849,288,23.071875,3.4480500000000003,7.102903225806451,1.2378088538563987,1.960503605511548,-0.3788935673621387,-0.4762528226232063,0.64919185,2.9862474547377,-1.792601935174247
brazil,2010Q1,128.97975,2.346797620236976,8,False,0.0642274274089133,0.0600126893597546,0.0,-0.253573184845922,0.0096103544465458,0.064012400005184,301,20.149672131147543,3.702528125,6.1932786885245905,1.3090158633497369,1.8234646215125536,-0.3202967168464035,-0.3860989243431428,0.64919185,6.42274274089133,-9.099491538682466
brazil,2010Q2,131.09924615384614,2.7475229378154054,8,False,0.0409862128423152,0.0286637697912773,0.0,-0.2627872650492298,0.0197679701214139,0.0393076013619862,314,26.391428571428573,3.4696907692307692,6.231538461538462,1.2440654744922905,1.8296232463808633,-0.2729812410473825,-0.3188029985454527,0.64919185,4.09862128423152,-3.7894817462051478
brazil,2010Q3,121.85742424242424,2.6186036627954308,8,False,0.0422394537431596,0.035668436106918,0.0,-0.1829671022312708,0.0142835104632676,0.041989851654251,329,24.28359375,2.7675515151515153,6.51390625,1.017962999754968,1.8739393146718748,-0.2286999976634975,-0.2596778730128791,0.64919185,4.22394537431596,-4.326973750999982
brazil,2010Q4,106.33751515151515,2.279907281960753,8,False,0.0403552115479453,0.0370582566545177,0.0,-0.1558264618027385,0.0103333701375304,0.0403552116935866,343,19.318437499999998,2.8557484848484846,5.708225806451614,1.0493339750700994,1.7419082584767693,-0.2197693669411442,-0.2481657195954341,0.64919185,4.03552115479453,-4.912893191079541
brazil,2011Q1,114.07721875,2.449755708542065,8,False,0.0358598988651239,0.0310057137016683,0.0,-0.0368645271206171,0.0108654060095511,0.0358598989389659,357,18.614838709677418,3.4379453125,4.736451612903227,1.2348740000569474,1.5552882504897,-0.2281564572549633,-0.2589734143346897,0.64919185,3.58598988651239,-3.697399862322043
brazil,2011Q2,108.15438461538461,2.479053365633338,8,False,0.0307117014881231,0.0289289894799235,0.0,-0.0597845753983389,0.0100272522748292,0.0307117012620167,371,17.482380952380954,3.1856446153846156,4.881904761904762,1.158654659561406,1.5855354637724475,-0.2210984163435687,-0.2498705778622153,0.64919185,3.07117014881231,-2.762337981697311
brazil,2011Q3,145.01303030303032,4.987601139017956,8,False,-0.0078233658406393,-0.0282542676501594,0.1060475696005353,-0.0130606436164523,0.020459979193054,-0.0061427726198863,385,30.58359375,2.4010848484848486,6.55578125,0.8759206554255642,1.8803472939429728,-0.1741624995917081,-0.1913572555557563,0.64919185,-0.78233658406393,-1.8103200012844296
brazil,2011Q4,163.5385076923077,3.770610527032251,8,False,0.0089892609565494,0.0042857627702004,0.0,0.0205072360527169,0.0136664762266176,0.0089892610044656,399,29.93952380952381,2.030544615384615,7.26327868852459,0.7083040405128261,1.982831336881218,-0.1178901629369767,-0.1254386989113021,0.64919185,0.89892609565494,0.218147030878696
brazil,2012Q1,139.64392307692307,2.9868176193362297,8,False,0.0098587198374738,0.0048262507915424,0.0,-0.0547581612503426,0.0145559040349799,0.0086250836609559,415,18.20403225806452,2.0187923076923076,6.133548387096774,0.7024994651400295,1.8137734384457382,-0.0935096782253632,-0.098174925320081,0.64919185,0.98587198374738,0.5396352480541609
brazil,2012Q2,143.53612307692308,5.333851128603483,8,False,-0.0022692164334935,-0.0055880345762513,0.0678216511630863,-0.061955356854661,0.0164468844066574,-0.002905875932358,430,20.035714285714285,1.8062815384615385,6.20671875,0.5912703334661203,1.8256323746601033,-0.0553359262645247,-0.0569258922141058,0.64919185,-0.22692164334935,-1.9354383547733633
brazil,2012Q3,129.56143076923078,3.9214760484118423,8,False,0.0139505227289751,0.0097354063523752,0.0,-0.0220570261050108,0.0141042337433884,0.0126382467830844,445,16.192698412698412,1.62226,5.735396825396825,0.48382023877815067,1.7466569418051467,-0.0438936584896512,-0.0448861362275025,0.64919185,1.39505227289751,0.01149515317244663
brazil,2012Q4,108.18704545454545,3.503443517951216,8,False,0.0149579076910113,0.0063195182629917,0.0,0.1003562487002661,0.0134305256066551,0.0136390874375432,460,16.752903225806453,1.6914727272727272,5.352950819672131,0.5255995857109054,1.6776479639362225,-0.0307541029570534,-0.031236935565726,0.64919185,1.49579076910113,-0.03689564500792439
brazil,2013Q1,120.27989062500001,3.087297230089036,8,False,0.0167282883732748,0.0132734144346514,0.0,0.0188534267846331,0.0137157848994666,0.0150502621294657,475,13.527,1.9262859375,4.682786885245902,0.655593764194572,1.5438934209971602,-0.0593216608365388,-0.0611540265652253,0.64919185,1.67282883732748,-0.2520748257888843
brazil,2013Q2,138.13193846153848,4.373728976324583,8,False,0.014448806503541,0.0127059963328564,0.0,-0.0322476930327607,0.014157733386119,0.0155458317863508,490,14.837031249999999,1.9698923076923078,4.5184375,0.6779788751096123,1.5081662482403084,-0.0640999861806634,-0.0662466310531004,0.64919185,1.4448806503541,0.0008366117533808431
brazil,2013Q3,186.1971212121212,4.269344916462583,8,False,0.007766582789039,0.0033875904426644,0.0,-0.0519916388223627,0.0129949237594377,0.0077665822423546,505,14.2796875,2.6922,4.5028125,0.9903587032278557,1.5047022015451161,-0.1459249895811078,-0.1577362548366065,0.64919185,0.7766582789039,-0.06380624681424917
brazil,2013Q4,181.51309230769232,3.6019221145592577,8,False,0.0114453597234932,0.0088069691611767,0.0,-0.0622143719991446,0.0119883694851936,0.0114453596737524,520,14.2328125,2.7323560606060604,4.14758064516129,1.0051642628672,1.4225251871758335,-0.1558548344335242,-0.1694308020593107,0.64919185,1.14453597234932,0.16921345574726776
brazil,2014Q1,185.855140625,6.709074332637787,8,False,0.0183478630602384,0.0163521794226101,0.0,-0.0544806641779086,0.0118410057520515,0.0183220521678032,535,14.828852459016392,2.75745,3.7804918032786885,1.0143063396148533,1.329854107855839,-0.140121316284429,-0.1509639651322601,0.64919185,1.83478630602384,0.9993115818813288
brazil,2014Q2,148.9964923076923,5.887945144662147,8,False,-0.0082695200062219,-0.0123536449888821,0.1500611125436979,-0.0814563489650418,0.0127718106356194,-0.0082695198637479,550,12.738253968253968,2.612510769230769,3.4382539682539686,0.960311739476029,1.2349637751613542,-0.1102555536845374,-0.1168209964596294,0.64919185,-0.82695200062219,-3.8883258071696556
brazil,2014Q3,145.76321212121212,5.96129075318143,8,False,-0.0142182966509172,-0.0245631221314761,0.3037599076492401,-0.0158636093383471,0.0132246310169512,-0.014218296970344,565,13.07265625,2.4882969696969695,3.7484375,0.9115985285646773,1.321339086485977,-0.0975593779981132,-0.1026523837352352,0.64919185,-1.4218296650917202,-5.118309247585246
brazil,2014Q4,173.18930303030305,9.930189615000838,8,False,-0.0144884444379278,-0.0250812244290412,0.2733569117349492,0.017393714452166,0.0133102787609165,-0.0144884445141016,580,16.07234375,2.266077272727273,4.527903225806452,0.8180502629631696,1.510258968279921,-0.089712910344524,-0.0939952460876965,0.64919185,-1.4488444437927799,-16.634951625484835
brazil,2015Q1,242.2035,6.203900571211738,8,False,-0.0232776227020421,-0.0300625545799239,0.5719091487189746,0.1320514501489252,0.0123590048373916,-0.0247731295171247,595,16.564754098360655,1.96335,4.724918032786886,0.6746521979237009,1.5528502132369044,-0.0831590210805177,-0.0868212362462733,0.64919185,-2.32776227020421,-7.652413906892241
brazil,2015Q2,239.52623076923078,5.379473578660424,8,False,-0.0281439747265025,-0.0416746706209816,0.7260079423354695,0.1145577578615707,0.014564603226596,-0.0301361028856853,610,13.740158730158731,2.158333846153846,4.42625,0.769336556517701,1.4875527244439763,-0.0997437552362687,-0.1050758397777041,0.64919185,-2.81439747265025,-5.132572604651234
brazil,2015Q3,334.9581969696969,11.175741333700715,8,False,-0.0563444475459266,-0.060899767503704,0.9296540097428624,-0.0479717470218317,0.0152957163205205,-0.0563444479319379,625,19.30734375,2.215380303030303,5.2834375,0.7954240831296475,1.6645769275491484,-0.0811499986052516,-0.0846323893227754,0.64919185,-5.634444754592661,-49.54363314720793
brazil,2015Q4,444.6129393939394,13.923590488395346,8,False,-0.051880561272283,-0.0599077717829601,0.9466410764477357,0.034888760852733,0.0134989228483472,-0.0518805622313586,640,17.03328125,2.1834560606060607,6.0972580645161285,0.7809089703638817,1.80783917250462,-0.0903612942849435,-0.0947077849939548,0.64919185,-5.1880561272283,-64.63264664058117
brazil,2016Q1,451.86407692307694,10.832793377708615,8,False,-0.0475838086611358,-0.0502928238212832,0.946102091208282,-0.0256417454795591,0.0121894384110516,-0.0475838083456924,655,20.486229508196722,1.910883076923077,7.178852459016394,0.6475654791492957,1.971139545637285,-0.0870114757193896,-0.0910319677097433,0.64919185,-4.75838086611358,-41.283045961018274
