spec,theta,se,t,p,N,paises,b1,b2,R2w,p_wildboot
M1 (FE pais+tiempo),-0.17558960779489852,0.25928233125304734,-0.6772139348883413,0.49852405851807724,721,13,4.614674945100115,-4.0872800656309325,0.25670767141551243,0.5945945945945946
M2 (+controles domesticos),-0.18773246485282652,0.15928625739351676,-1.1785854468853103,0.23911831741746536,614,13,2.7674744863077225,-4.5612163693092045,0.4462665158181026,0.11411411411411411
M3 (FE pais + factores globales),0.01294712518683726,0.10693945224294692,0.1210696792931364,0.9036771347758452,614,13,2.8856685257200363,-4.429258377977525,0.5233607804935306,0.0960960960960961
M2 cluster pais,-0.18773246485282652,0.11818296243506717,-1.5884900918435827,0.11280141325354487,614,13,2.7674744863077225,-4.5612163693092045,0.4462665158181026,
M2 cluster tiempo,-0.18773246485282652,0.11598247723150448,-1.6186278249438226,0.10615170460798073,614,13,2.7674744863077225,-4.5612163693092045,0.4462665158181026,
