fuente,country,n_solape,corr,ratio_mediano,decision
GFSR,china,20,0.8918274940658729,1.0022271825396825,
GFSR,hungary,20,0.9031634413819996,1.0250159617720578,
GFSR,poland,20,0.888690261351907,1.018284358092991,
GFSR,turkey,20,0.8214986882427656,1.0117278361670619,
GFSR,POOLED,80,0.9435116423759047,1.0204046905155777,
GFSR,DECISION,80,0.9435116423759047,1.0204046905155777,sin reescalar
