quarter,VIX,UST10Y,US_HY_spread,UST10Y_log,US_HY_spread_log,OnOffRun_spread,OnOffRun_spread_log
2004Q1,16.65806451612903,3.9932353846153843,3.929032258064516,1.3846017756587892,1.3683931507906504,-0.2776225806451613,-0.3252075351823507
2004Q2,16.23016129032258,4.57790923076923,3.8904761904761904,1.5212423940662783,1.3585315641425342,-0.2886064516129031,-0.3405294884053109
2004Q3,15.4421875,4.286775757575758,3.855,1.4555348787076918,1.349371007015293,-0.25406875,-0.2931218412021457
2004Q4,13.65125,4.1613303030303035,3.23258064516129,1.4258348075353289,1.1732807795850912,-0.2091838709677419,-0.2346897920511561
2005Q1,12.787049180327868,4.2947625,2.866065573770492,1.4573962570504808,1.0529402090362463,-0.1238672131147542,-0.132237616330983
2005Q2,13.40734375,4.142484615384616,3.761875,1.421295756463674,1.324917503319898,-0.0915156249999999,-0.0959775899729515
2005Q3,12.25078125,4.199186363636364,3.33078125,1.4348907835788864,1.2032068860854312,-0.0670124999999999,-0.0693634758665573
2005Q4,12.781746031746032,4.4782015625,3.4950819672131144,1.4992215288875497,1.251356828118378,-0.0871918032786885,-0.0912295007185508
2006Q1,12.04241935483871,4.563456923076924,3.253548387096774,1.5180804334817768,1.179746212163433,-0.0547774193548387,-0.0563348441481803
2006Q2,14.528730158730157,5.064281538461538,3.0214285714285714,1.6222122793591762,1.1057297564369737,-0.0427714285714285,-0.0437130744291492
2006Q3,13.607936507936508,4.886972307692308,3.282063492063492,1.5865729517469596,1.188472338021146,-0.0299603174603175,-0.0304182984867687
2006Q4,11.034920634920635,4.623195384615385,3.021774193548387,1.5310861077114037,1.1058441401946046,-0.0310854838709677,-0.0315788896319542
2007Q1,12.56360655737705,4.6756815384615384,2.6530645161290325,1.5423749357433865,0.9757153930389754,-0.0405596774193548,-0.0414051618410956
2007Q2,13.731904761904762,4.840393846153846,2.5657142857142854,1.5769960905902056,0.9422369138187401,-0.0424687499999998,-0.0433969213841955
2007Q3,21.589206349206346,4.731901538461538,3.951746031746032,1.5543271383048871,1.3741575145984941,-0.1002190476190476,-0.105603931524451
2007Q4,22.02984375,4.2572515151515145,4.884838709677419,1.4486237678236302,1.5861362674834178,-0.1863112903225806,-0.2061774066646915
2008Q1,26.120163934426227,3.6472138461538464,7.084098360655737,1.2939635462889865,1.9578526047276,-0.3150475409836065,-0.3784058460241801
2008Q2,20.67296875,3.8625384615384615,6.578125,1.351324599854147,1.8837497503227096,-0.3051234472513199,-0.364021071138336
2008Q3,25.07328125,3.843201515151515,8.066875,1.3463057471456215,2.087766170607315,-0.2851375091075898,-0.3356650752142703
2008Q4,58.6046875,3.203140909090909,16.25774193548387,1.1641318625069785,2.7885692221195404,-0.6579274046805598,-1.0727322974290805
2009Q1,45.0,2.7008625,15.372786885245901,0.9935711664432145,2.732598860908846,-0.6253082062768154,-0.9816514743479056
2009Q2,33.01571428571428,3.297866153846154,11.491269841269842,1.1932756392769075,2.4415876028358983,-0.4830492003001865,-0.6598075739928725
2009Q3,25.48625,3.4990636363636365,8.46921875,1.252495400234641,2.1364382671016946,-0.4496937596797943,-0.5972803551293554
2009Q4,23.071875,3.4480500000000003,7.102903225806451,1.2378088538563987,1.960503605511548,-0.3788935673621387,-0.4762528226232063
2010Q1,20.149672131147543,3.702528125,6.1932786885245905,1.3090158633497369,1.8234646215125536,-0.3202967168464035,-0.3860989243431428
2010Q2,26.391428571428573,3.4696907692307692,6.231538461538462,1.2440654744922905,1.8296232463808633,-0.2729812410473825,-0.3188029985454527
2010Q3,24.28359375,2.7675515151515153,6.51390625,1.017962999754968,1.8739393146718748,-0.2286999976634975,-0.2596778730128791
2010Q4,19.318437499999998,2.8557484848484846,5.708225806451614,1.0493339750700994,1.7419082584767693,-0.2197693669411442,-0.2481657195954341
2011Q1,18.614838709677418,3.4379453125,4.736451612903227,1.2348740000569474,1.5552882504897,-0.2281564572549633,-0.2589734143346897
2011Q2,17.482380952380954,3.1856446153846156,4.881904761904762,1.158654659561406,1.5855354637724475,-0.2210984163435687,-0.2498705778622153
2011Q3,30.58359375,2.4010848484848486,6.55578125,0.8759206554255642,1.8803472939429728,-0.1741624995917081,-0.1913572555557563
2011Q4,29.93952380952381,2.030544615384615,7.26327868852459,0.7083040405128261,1.982831336881218,-0.1178901629369767,-0.1254386989113021
2012Q1,18.20403225806452,2.0187923076923076,6.133548387096774,0.7024994651400295,1.8137734384457382,-0.0935096782253632,-0.098174925320081
2012Q2,20.035714285714285,1.8062815384615385,6.20671875,0.5912703334661203,1.8256323746601033,-0.0553359262645247,-0.0569258922141058
2012Q3,16.192698412698412,1.62226,5.735396825396825,0.48382023877815067,1.7466569418051467,-0.0438936584896512,-0.0448861362275025
2012Q4,16.752903225806453,1.6914727272727272,5.352950819672131,0.5255995857109054,1.6776479639362225,-0.0307541029570534,-0.031236935565726
