quarter,country,EMBI_bps,CDS_bps
2005Q2,argentina,,381.072
2005Q3,argentina,,355.39557142857143
2005Q4,argentina,,358.607253968254
2006Q1,argentina,,296.66114516129034
2006Q2,argentina,,297.711265625
2006Q3,argentina,,262.20463492063493
2006Q4,argentina,,223.994578125
2007Q1,argentina,,204.09776923076922
2007Q2,argentina,,200.57232307692306
2007Q3,argentina,,392.6803538461538
2007Q4,argentina,,432.29136363636366
2008Q1,argentina,,517.6553968253968
2008Q2,argentina,,596.856046875
2008Q3,argentina,,797.6160151515152
2008Q4,argentina,,3672.624676923077
2009Q1,argentina,,3421.276265625
2009Q2,argentina,,2759.1556923076923
2009Q3,argentina,,1640.3886515151514
2009Q4,argentina,,990.6436153846154
2010Q1,argentina,,1015.614375
2010Q2,argentina,,994.5471846153847
2010Q3,argentina,,846.949590909091
2010Q4,argentina,,664.4422272727272
2011Q1,argentina,,600.859234375
2011Q2,argentina,,595.8718923076923
2011Q3,argentina,,759.9008787878788
2011Q4,argentina,,978.7681538461538
2012Q1,argentina,,799.5070461538461
2012Q2,argentina,,1125.7913692307693
2012Q3,argentina,,1103.3872769230768
2012Q4,argentina,,1706.8873030303032
2013Q1,argentina,,2408.620046875
2013Q2,argentina,,3013.831553846154
2013Q3,argentina,,2707.231
2013Q4,argentina,,1879.348396825397
2014Q1,argentina,,2137.3765
2014Q2,argentina,,1735.1112461538462
2014Q3,argentina,,2033.2232903225806
2014Q4,argentina,,2698.2880163934424
2015Q2,argentina,,5761.915228571428
2016Q2,argentina,,434.64923999999996
2016Q3,argentina,,386.55242424242425
2016Q4,argentina,,414.53452307692305
2017Q1,argentina,,371.9081538461538
2017Q2,argentina,,320.1988153846154
2017Q3,argentina,,311.8372615384615
2017Q4,argentina,,244.88312307692308
2018Q1,argentina,,250.26247692307692
2018Q2,argentina,,337.5286307692308
2018Q3,argentina,,543.9130307692308
2018Q4,argentina,,652.0931212121212
2019Q1,argentina,,689.9008125
2019Q2,argentina,,1067.6918214285713
2019Q3,argentina,,892.5954285714286
2020Q3,argentina,,369.682
2020Q4,argentina,,524.5180172413793
2021Q1,argentina,,1180.0003225806452
2021Q2,argentina,,1217.216619047619
2021Q3,argentina,,1428.7086923076924
2021Q4,argentina,,1908.1153076923076
2022Q1,argentina,,2166.6726612903226
2022Q2,argentina,,3108.806836065574
2022Q3,argentina,,3950.0418125
2022Q4,argentina,,2816.9934716981134
2023Q1,argentina,,1833.6337903225806
2023Q2,argentina,,3125.685359375
2023Q3,argentina,,4011.101296875
2023Q4,argentina,,3086.80015625
2024Q1,argentina,,2937.843253968254
2024Q2,argentina,,2321.91896875
2024Q3,argentina,,2005.0128923076923
2024Q4,argentina,,1035.3438923076924
2025Q1,argentina,,529.2984375
2025Q2,argentina,,662.976238095238
2025Q4,argentina,,124.1854
2026Q1,argentina,,451.154568627451
2026Q2,argentina,,561.4168461538462
2026Q3,argentina,,505.8765476190476
2000Q1,brazil,681.3174603174604,
2000Q2,brazil,760.2063492063492,
2000Q3,brazil,693.8730158730159,
2000Q4,brazil,770.1129032258065,
2001Q1,brazil,727.3548387096774,
2001Q2,brazil,825.7936507936508,
2001Q3,brazil,976.0,
2001Q4,brazil,1021.5,
2002Q1,brazil,805.9333333333333,
2002Q2,brazil,1009.765625,
2002Q3,brazil,1905.53125,
2002Q4,brazil,1776.0483870967741,
2003Q1,brazil,1245.1967213114754,
2003Q2,brazil,812.8412698412699,
2003Q3,brazil,739.71875,
2003Q4,brazil,555.3870967741935,
2004Q1,brazil,510.3709677419355,515.988640625
2004Q2,brazil,658.1111111111111,734.4879206349207
2004Q3,brazil,550.578125,549.3051384615385
2004Q4,brazil,430.9032258064516,380.7101076923077
2005Q1,brazil,412.0983606557377,354.06640625
2005Q2,brazil,433.328125,376.00978125
2005Q3,brazil,390.1875,319.49507575757576
2005Q4,brazil,341.2295081967213,263.7413125
2006Q1,brazil,246.51612903225808,154.70268253968254
2006Q2,brazil,245.11111111111111,163.439734375
2006Q3,brazil,227.20634920634922,137.520625
2006Q4,brazil,213.48387096774192,110.2136507936508
2007Q1,brazil,186.24193548387098,93.41315873015873
2007Q2,brazil,149.77777777777777,69.5108923076923
2007Q3,brazil,187.03174603174602,100.24990769230769
2007Q4,brazil,197.0483870967742,95.35775757575757
2008Q1,brazil,257.88524590163934,148.21876923076923
2008Q2,brazil,214.3125,110.65329230769231
2008Q3,brazil,252.5,138.8319090909091
2008Q4,brazil,481.56451612903226,352.14948484848486
2009Q1,brazil,429.88524590163934,356.728890625
2009Q2,brazil,324.06349206349205,229.36923076923077
2009Q3,brazil,253.703125,140.09906060606062
2009Q4,brazil,215.8709677419355,124.1807878787879
2010Q1,brazil,203.39344262295083,128.97975
2010Q2,brazil,212.23809523809524,131.09924615384614
2010Q3,brazil,211.203125,121.85742424242424
2010Q4,brazil,179.327868852459,106.33751515151515
2011Q1,brazil,173.32258064516128,114.07721875
2011Q2,brazil,172.57142857142858,108.15438461538461
2011Q3,brazil,204.671875,145.01303030303032
2011Q4,brazil,230.35,163.5385076923077
2012Q1,brazil,201.19354838709677,139.64392307692307
2012Q2,brazil,205.76190476190476,143.53612307692308
