country,quarter,CR3_q,HHI_q,n_bancos
argentina,2004Q1,1.0,4165.802256465911,3
argentina,2004Q2,1.0,4137.488419566208,3
argentina,2004Q3,1.0,4137.89413206238,3
argentina,2004Q4,0.9999999999999999,4119.767275920743,3
argentina,2005Q1,1.0,3804.065573795734,3
argentina,2005Q2,1.0,3761.692903144851,3
argentina,2005Q3,1.0,3765.730416247214,3
argentina,2005Q4,1.0,3839.961306339634,3
argentina,2006Q1,1.0,3838.84531177982,3
argentina,2006Q2,0.9999999999999998,3785.788355807123,3
argentina,2006Q3,1.0,3666.1893782525267,3
argentina,2006Q4,1.0,3554.485957766463,3
argentina,2007Q1,0.9999999999999999,3461.8232673401194,3
argentina,2007Q2,1.0,3363.1181530045383,3
argentina,2007Q3,1.0,3349.141950875197,3
argentina,2007Q4,1.0,3338.8782538028076,3
argentina,2008Q1,1.0,3345.272020041673,3
argentina,2008Q2,1.0,3338.2320522738187,3
argentina,2008Q3,1.0,3338.890924304424,3
argentina,2008Q4,1.0,3351.4406270400964,3
argentina,2009Q1,0.9999999999999999,3344.6532589176254,3
argentina,2009Q2,1.0,3347.031627218225,3
argentina,2009Q3,1.0,3337.0164292179415,3
argentina,2009Q4,1.0,3333.511481984807,3
argentina,2010Q1,0.9999999999999999,3334.4739280955264,3
argentina,2010Q2,1.0,3335.761346637315,3
argentina,2010Q3,1.0,3337.1807749276645,3
argentina,2010Q4,1.0,3337.028562542807,3
argentina,2011Q1,0.9334407994741553,2953.00063191911,4
argentina,2011Q2,0.9328243550240042,2950.035843651124,4
argentina,2011Q3,0.932581814088101,2993.319235139577,4
argentina,2011Q4,0.927553934369812,2951.379603364223,4
argentina,2012Q1,0.9301421806700936,2974.2117689472175,4
argentina,2012Q2,0.9325385895021722,2988.579887449697,4
argentina,2012Q3,0.927688639579034,2973.668206819918,4
argentina,2012Q4,0.9267654941218608,2976.9562888749397,4
argentina,2013Q1,0.925040971650362,2977.0133537634474,4
argentina,2013Q2,0.9251800976738085,2972.9972217753834,4
argentina,2013Q3,0.9242017935412954,2976.7260247870577,4
argentina,2013Q4,0.9199737700080493,2948.2511705084203,4
argentina,2014Q1,0.9202439549557655,2968.67574371808,4
argentina,2014Q2,0.9239873831278482,2966.21510573116,4
argentina,2014Q3,0.9195787650089529,2951.4316096293446,4
argentina,2014Q4,0.9212786444759329,2957.425369099817,4
argentina,2015Q1,0.9169483405051164,2962.5304206775045,4
argentina,2015Q2,0.919307744387277,2970.3059121287133,4
argentina,2015Q3,0.9177309571039753,2991.036360820856,4
argentina,2015Q4,0.9203909767130198,2985.244668519234,4
argentina,2016Q1,0.9194950841897742,2999.004466228166,4
argentina,2016Q2,0.9222816836409673,3036.9672700928963,4
argentina,2016Q3,0.9181422433110492,3007.926421720183,4
argentina,2016Q4,0.9129004305753325,2959.8778970246376,4
argentina,2017Q1,0.9116484466736966,2993.7501540212215,4
argentina,2017Q2,0.9039758049833971,2914.794531299984,4
argentina,2017Q3,0.9012842362186806,2884.532486994588,4
argentina,2017Q4,0.8960757356779103,2843.4010160175726,4
argentina,2018Q1,0.8926374911924734,2877.273289562367,4
argentina,2018Q2,0.9136040382549193,3464.097026688311,4
argentina,2018Q3,0.8887154820229073,2891.991354656627,4
argentina,2018Q4,0.8883751934093925,2905.116790358224,4
argentina,2019Q1,0.8994802257548014,2956.824663024825,4
argentina,2019Q2,0.8952642536946724,2929.889576815474,4
argentina,2019Q3,0.896550023895931,2946.747310478835,4
argentina,2019Q4,0.9022412298782669,2965.033164918003,4
argentina,2020Q1,0.9024952760006835,2814.787020845611,4
argentina,2020Q2,0.9014103384262147,2929.0754046325646,4
argentina,2020Q3,0.9009391125894292,2932.3170263612724,4
argentina,2020Q4,0.9057275345974275,2927.46780530111,4
argentina,2021Q1,0.9096374589940852,2938.5201797970194,4
argentina,2021Q2,0.9013877200051708,2938.2747072774932,4
argentina,2021Q3,0.9038688289973504,2969.743460086275,4
argentina,2021Q4,0.8992150285331499,2958.4806174743517,4
argentina,2022Q1,0.907550264128844,3008.1643509402743,4
argentina,2022Q2,0.9026849487871252,2955.357370374137,4
argentina,2022Q3,0.9020364631275632,2957.203026279009,4
argentina,2022Q4,0.9147372260798272,3014.3811027152597,4
argentina,2023Q1,0.9142341351261607,3047.555670345269,4
argentina,2023Q2,0.9186070589377822,3029.779413354496,4
argentina,2023Q3,0.9153442614638805,2994.225127588026,4
argentina,2023Q4,0.9147300884224507,3039.8827404879007,4
argentina,2024Q1,0.9165890184995507,3055.122118818661,4
argentina,2024Q2,0.9244136871274897,3027.618210681144,4
argentina,2024Q3,0.9179285158430269,3104.0558282250286,4
argentina,2024Q4,0.9258419166862972,3134.0640914651813,4
argentina,2025Q1,0.9317289691743106,3430.282312061311,4
argentina,2025Q2,0.9261730183073188,3353.3742861434916,4
argentina,2025Q3,0.9259159643183693,3269.604375543482,4
argentina,2025Q4,0.9190950402458122,3216.683670019837,4
argentina,2026Q1,0.918551003803244,3182.684300042021,4
argentina,2026Q2,0.9209978468015626,3146.2232056248286,4
argentina,2026Q3,0.9171968255791533,3099.3069517703257,4
brazil,2004Q1,0.9554524491642935,3258.518507736094,5
brazil,2004Q2,0.9541372874177351,3235.67794599614,5
brazil,2004Q3,0.9538425460321115,3223.098660352762,5
brazil,2004Q4,0.9567219429877766,3202.144286766307,5
brazil,2005Q1,0.9563582382126941,3234.0766559975314,5
brazil,2005Q2,0.9587669816562646,3206.136269601255,5
brazil,2005Q3,0.9568221355581468,3172.6497823193213,5
brazil,2005Q4,0.9560600542746581,3212.3246304398012,5
brazil,2006Q1,0.9582843253419482,3196.9717069900357,5
brazil,2006Q2,0.8309997982269899,2573.7908321500236,6
brazil,2006Q3,0.8528910270568968,2641.04453907847,6
brazil,2006Q4,0.8647882576308422,2642.51190135511,6
brazil,2007Q1,0.8556658180928366,2620.957345387748,6
brazil,2007Q2,0.8689490748420104,2646.727028443665,6
brazil,2007Q3,0.855850585651587,2606.504366976153,6
brazil,2007Q4,0.8607400930736373,2601.4732945424726,6
brazil,2008Q1,0.8683581322849997,2637.2292148161687,6
brazil,2008Q2,0.8645651788667419,2607.34070880472,8
brazil,2008Q3,0.866157983648324,2611.2945513170434,8
brazil,2008Q4,0.7683450009765759,2367.6819347968258,8
brazil,2009Q1,0.8014406621209242,2471.974883413753,8
brazil,2009Q2,0.8132330998162436,2483.0407477835547,8
brazil,2009Q3,0.8136036540066445,2476.774791478235,8
brazil,2009Q4,0.8175544921547956,2509.0570634795245,8
brazil,2010Q1,0.8165660406462709,2501.5821114568753,8
brazil,2010Q2,0.8173813374989108,2484.904197982088,9
brazil,2010Q3,0.8103825596666746,2465.300035351916,9
brazil,2010Q4,0.8195889971410933,2481.9060171245196,9
brazil,2011Q1,0.8237200975647552,2487.4308851662345,9
brazil,2011Q2,0.8068178734581405,2385.3113949907233,10
brazil,2011Q3,0.794407995259206,2348.174694532337,10
brazil,2011Q4,0.8018018957645483,2358.2547354073113,10
brazil,2012Q1,0.8092004497064135,2378.6387013162325,10
brazil,2012Q2,0.8161451392069283,2397.277885167767,10
brazil,2012Q3,0.8108685158412614,2371.0329957749855,10
brazil,2012Q4,0.8080676570526112,2362.134469043006,10
brazil,2013Q1,0.8140508144554051,2385.1555600472057,10
brazil,2013Q2,0.8080101299633613,2358.607348989777,10
brazil,2013Q3,0.8028918944891461,2338.5219345508967,10
brazil,2013Q4,0.8050880256938557,2352.9052288272837,10
brazil,2014Q1,0.8167381566075103,2419.0713366469104,10
brazil,2014Q2,0.8158359783435576,2426.2323632541875,10
brazil,2014Q3,0.8166089738315656,2437.2093403269755,10
brazil,2014Q4,0.8136289391182125,2414.4045907620953,10
brazil,2015Q1,0.7984908075353279,2336.311361623951,10
brazil,2015Q2,0.7997995899225032,2331.662977371854,10
brazil,2015Q3,0.7939511843505905,2313.6551419966277,10
brazil,2015Q4,0.7818791989783868,2285.494698314042,10
brazil,2016Q1,0.7811365333699183,2263.91198999457,10
brazil,2016Q2,0.7886549952021763,2292.0494787773623,11
brazil,2016Q3,0.7971249686370308,2334.0949788846633,11
brazil,2016Q4,0.8124522368502844,2381.9098678006844,11
