q,Ryr,spread_raw,iRyr,FCI,iRyr_noCDIFF,FCI_noCDIFF,country,cdiff_contrib,EMBI_bps,GaR,D
2007Q3,11.826,7.091333333333334,0.22753942309818284,0.24495145476526403,0.07943086102221687,0.13775203727608937,brazil,0.14810856207596595,187.031746031746,0.0372863060732412,-3.72863060732412
2007Q4,12.475978260869566,8.265217391304347,0.4656077393377801,0.41540880319604356,0.1725484431579683,0.16482519810733087,brazil,0.2930592961798118,197.0483870967742,0.045564118077144,-4.5564118077144
2008Q1,12.856027777777777,9.183861111111112,0.5337499165519184,0.6365102020436866,0.250877359754849,0.36394440788242066,brazil,0.2828725567970694,257.88524590163934,0.0422068864988195,-4.22068864988195
2008Q2,13.785255319148938,9.923127659574469,0.5561179921672913,0.7785377171710762,0.24531435937473053,0.5054643819939624,brazil,0.31080363279256074,214.3125,0.0453026680701201,-4.53026680701201
2008Q3,14.034866666666666,10.144777777777778,0.47999185838200426,1.501020158484326,0.19706520823229723,1.2100067276300095,brazil,0.282926650149707,252.5,0.0467696963903762,-4.676969639037621
2008Q4,15.69509090909091,12.491981818181818,0.4914166528652977,2.462965220854011,0.7285707551497844,3.692081567311739,brazil,-0.23715410228448675,481.56451612903226,-0.0164549710641318,1.64549710641318
2009Q1,12.704166666666667,9.994766666666667,0.4949605809573835,1.4384284423353149,0.8453458048371975,2.4013848169404475,brazil,-0.35038522387981397,429.88524590163934,-0.0589199333014301,5.89199333014301
2009Q2,12.382166666666667,9.076316666666665,0.6266992264080091,1.6738427977155852,1.0,2.248710869890508,brazil,-0.3733007735919909,324.06349206349205,-0.0316614433281703,3.16614433281703
2009Q3,12.536174603174603,9.031603174603175,0.38306846315859455,0.6931175062525744,0.39810380883781143,0.5513651751543889,brazil,-0.015035345679216883,253.703125,-0.0236447831846207,2.36447831846207
2009Q4,12.598434782608695,9.220347826086956,0.6739021351149517,0.39193045579701996,0.40248713679746695,0.27925200318596505,brazil,0.2714149983174847,215.8709677419355,0.029862474547377,-2.9862474547377
2010Q1,,,0.3737602785313225,0.29982728452137136,0.055439650467845124,0.1732422693726155,brazil,0.3183206280634774,203.39344262295083,0.0642274274089133,-6.42274274089133
2010Q2,12.588842105263158,9.419052631578948,0.4588642371626143,0.46222642821406856,0.2300075835419351,0.30531606998376015,brazil,0.22885665362067922,212.23809523809524,0.0409862128423152,-4.09862128423152
