country,quarter,CTOT_shock,CTOT_shock_dlog
brazil,1960Q1,1.2334533955573053,
brazil,1960Q2,1.233098347183183,-0.00035504837412236867
brazil,1960Q3,1.2312580859216622,-0.0018402612615207037
brazil,1960Q4,1.216560513148545,-0.014697572773117118
brazil,1961Q1,1.2361004973166634,0.019539984168118307
brazil,1961Q2,1.249058720744578,0.012958223427914639
brazil,1961Q3,1.2356342840333516,-0.013424436711226395
brazil,1961Q4,1.2335875850909819,-0.0020466989423697513
brazil,1962Q1,1.2296887128331337,-0.0038988722578481294
brazil,1962Q2,1.2345018741046303,0.004813161271496558
brazil,1962Q3,1.232819091184279,-0.0016827829203514
brazil,1962Q4,1.2348501101307474,0.0020310189464685102
brazil,1963Q1,1.2485026639989512,0.013652553868203743
brazil,1963Q2,1.2650650919092197,0.016562427910268518
brazil,1963Q3,1.2613859690812823,-0.0036791228279373644
brazil,1963Q4,1.2780550354248663,0.016669066343584005
brazil,1964Q1,1.2735879101227154,-0.004467125302150876
brazil,1964Q2,1.2720398335686298,-0.00154807655408562
brazil,1964Q3,1.268694938210804,-0.0033448953578258944
brazil,1964Q4,1.282355273381596,0.013660335170792015
brazil,1965Q1,1.2801091568923038,-0.0022461164892921825
brazil,1965Q2,1.2893174793382194,0.009208322445915629
brazil,1965Q3,1.2742142216080432,-0.015103257730176178
brazil,1965Q4,1.2795621674654043,0.005347945857361092
brazil,1966Q1,1.29862342816127,0.019061260695865778
brazil,1966Q2,1.301599412782983,0.0029759846217130015
brazil,1966Q3,1.3006348229596973,-0.0009645898232857331
brazil,1966Q4,1.2884083062077258,-0.012226516751971506
brazil,1967Q1,1.2856599815560763,-0.0027483246516495363
brazil,1967Q2,1.283606844110309,-0.0020531374457672946
brazil,1967Q3,1.2832056793577329,-0.00040116475257612194
brazil,1967Q4,1.2888448070790397,0.005639127721306814
brazil,1968Q1,1.2924590015228767,0.0036141944438370377
brazil,1968Q2,1.2736742861698622,-0.018784715353014514
brazil,1968Q3,1.2587543222334672,-0.014919963936395053
brazil,1968Q4,1.2604056621562147,0.0016513399227475745
brazil,1969Q1,1.2766508185696566,0.01624515641344182
brazil,1969Q2,1.2931088060951985,0.01645798752554195
brazil,1969Q3,1.292551307621716,-0.0005574984734824096
brazil,1969Q4,1.3013064374726253,0.008755129850909205
brazil,1970Q1,1.320751262510631,0.01944482503800571
brazil,1970Q2,1.3248097692081233,0.004058506697492303
brazil,1970Q3,1.314015845410255,-0.010793923797868255
brazil,1970Q4,1.3176336063509089,0.0036177609406538025
brazil,1971Q1,1.3252734079141306,0.007639801563221749
brazil,1971Q2,1.322186512960695,-0.003086894953435726
brazil,1971Q3,1.328845456696637,0.006658943735942113
brazil,1971Q4,1.3240475272636014,-0.004797929433035586
brazil,1972Q1,1.3366903296518193,0.01264280238821791
brazil,1972Q2,1.3366284990020685,-6.183064975084918e-05
brazil,1972Q3,1.333675721216933,-0.002952777785135474
brazil,1972Q4,1.3677286532554458,0.034052932038512784
brazil,1973Q1,1.4506314168931498,0.08290276363770399
brazil,1973Q2,1.5266481287811293,0.07601671188797954
brazil,1973Q3,1.5983520344367879,0.07170390565565854
brazil,1973Q4,1.6044657479693643,0.0061137135325763925
brazil,1974Q1,1.6917776629466736,0.08731191497730939
brazil,1974Q2,1.6830550783640121,-0.008722584582661508
brazil,1974Q3,1.6906485872712165,0.007593508907204338
brazil,1974Q4,1.7097728752277013,0.019124287956484798
brazil,1975Q1,1.647743444584243,-0.06202943064345834
brazil,1975Q2,1.5996955562249728,-0.0480478883592701
brazil,1975Q3,1.6038608423720633,0.004165286147090441
brazil,1975Q4,1.57388219636312,-0.029978646008943288
brazil,1976Q1,1.5807735290262126,0.006891332663092609
brazil,1976Q2,1.5993278906122141,0.018554361586001544
brazil,1976Q3,1.6162814837083967,0.016953593096182606
brazil,1976Q4,1.5998241265117144,-0.0164573571966824
brazil,1977Q1,1.6370290148963083,0.037204888384593904
brazil,1977Q2,1.6536103963377227,0.01658138144141441
brazil,1977Q3,1.5895488727460712,-0.06406152359165151
brazil,1977Q4,1.604030156659987,0.014481283913915899
brazil,1978Q1,1.6411960342095344,0.037165877549547366
brazil,1978Q2,1.6656030117292864,0.02440697751975196
brazil,1978Q3,1.6557841151438644,-0.00981889658542201
brazil,1978Q4,1.6767295522520298,0.020945437108165432
brazil,1979Q1,1.7123021618744536,0.03557260962242381
brazil,1979Q2,1.7445571875499173,0.03225502567546368
brazil,1979Q3,1.7590622616839617,0.014505074134044449
brazil,1979Q4,1.7756016517202133,0.0165393900362516
brazil,1980Q1,1.7988555589358413,0.023253907215627923
brazil,1980Q2,1.7863545880710823,-0.012500970864758987
brazil,1980Q3,1.8109688592969786,0.024614271225896323
brazil,1980Q4,1.8227136079319597,0.011744748634981095
brazil,1981Q1,1.7958660552944323,-0.02684755263752736
brazil,1981Q2,1.768671248785651,-0.027194806508781255
brazil,1981Q3,1.744924944411639,-0.02374630437401204
brazil,1981Q4,1.7197958355132577,-0.02512910889838138
brazil,1982Q1,1.7064532900600837,-0.013342545453173926
brazil,1982Q2,1.6911016514212622,-0.015351638638821496
brazil,1982Q3,1.6596053203103796,-0.03149633111088268
brazil,1982Q4,1.6471750498258202,-0.012430270484559358
brazil,1983Q1,1.66649052546209,0.019315475636269896
brazil,1983Q2,1.7040634000586208,0.03757287459653069
brazil,1983Q3,1.7422854416629656,0.038222041604344836
brazil,1983Q4,1.7433794361038184,0.0010939944408527857
brazil,1984Q1,1.74272986661087,-0.0006495694929484763
brazil,1984Q2,1.743037903612137,0.0003080370012671363
brazil,1984Q3,1.6893835885754616,-0.053654315036675504
brazil,1984Q4,1.6685963888157138,-0.020787199759747743
brazil,1985Q1,1.663931411792255,-0.004664977023458805
brazil,1985Q2,1.6601535900385378,-0.0037778217537172143
brazil,1985Q3,1.6244831663404535,-0.035670423698084264
brazil,1985Q4,1.6171331723109938,-0.007349994029459683
brazil,1986Q1,1.6174809757118251,0.00034780340083129246
brazil,1986Q2,1.5996697816093726,-0.017811194102452577
brazil,1986Q3,1.5699747585058674,-0.029695023103505136
brazil,1986Q4,1.5807353262476391,0.010760567741771698
brazil,1987Q1,1.6085256233717102,0.027790297124071106
brazil,1987Q2,1.634492760815451,0.025967137443740684
brazil,1987Q3,1.6482696563225936,0.013776895507142672
brazil,1987Q4,1.6881454767023245,0.03987582037973092
brazil,1988Q1,1.7148108193508524,0.026665342648527934
brazil,1988Q2,1.7573307418193154,0.04251992246846292
brazil,1988Q3,1.7639331924614159,0.006602450642100521
brazil,1988Q4,1.7609613337414278,-0.002971858719988063
brazil,1989Q1,1.7659197968910056,0.004958463149577819
brazil,1989Q2,1.7665595024061713,0.0006397055151656783
brazil,1989Q3,1.7438721384363758,-0.022687363969795538
brazil,1989Q4,1.73858852690037,-0.005283611536005761
brazil,1990Q1,1.7290838056774145,-0.009504721222955537
brazil,1990Q2,1.7258090821244922,-0.003274723552922243
brazil,1990Q3,1.7369277427878482,0.011118660663355984
brazil,1990Q4,1.7294593567750738,-0.007468386012774442
brazil,1991Q1,1.7213945192855813,-0.008064837489492493
brazil,1991Q2,1.7067640677219105,-0.014630451563670821
brazil,1991Q3,1.704982366121743,-0.0017817016001675512
brazil,1991Q4,1.705615519474882,0.000633153353139182
brazil,1992Q1,1.7101554035697961,0.004539884094914015
brazil,1992Q2,1.711284037041218,0.0011286334714217805
brazil,1992Q3,1.7105845909421602,-0.0006994460990576989
brazil,1992Q4,1.6904208086861012,-0.02016378225605897
brazil,1993Q1,1.6981141721936168,0.007693363507515594
brazil,1993Q2,1.6944741369117313,-0.003640035281885501
brazil,1993Q3,1.6983618242349428,0.0038876873232114306
brazil,1993Q4,1.7012816160749094,0.002919791839966601
brazil,1994Q1,1.721946777966216,0.020665161891306738
brazil,1994Q2,1.7224127564252116,0.0004659784589955418
brazil,1994Q3,1.7361634209782166,0.013750664553004999
brazil,1994Q4,1.7575209406907146,0.021357519712497997
brazil,1995Q1,1.7701178052932682,0.012596864602553604
brazil,1995Q2,1.7664569078530454,-0.003660897440222799
brazil,1995Q3,1.782323536513454,0.015866628660408555
brazil,1995Q4,1.7879460941876455,0.005622557674191508
brazil,1996Q1,1.793342150942986,0.005396056755340606
brazil,1996Q2,1.8066700223269083,0.013327871383922218
brazil,1996Q3,1.7831326802241931,-0.023537342102715186
brazil,1996Q4,1.7648236741332224,-0.018309006090970747
brazil,1997Q1,1.785531069405484,0.02070739527226162
brazil,1997Q2,1.7717199128883823,-0.013811156517101741
brazil,1997Q3,1.752067849827205,-0.019652063061177172
brazil,1997Q4,1.7418969618154052,-0.010170888011799883
brazil,1998Q1,1.71894584365285,-0.02295111816255524
brazil,1998Q2,1.7093168096774372,-0.009629033975412815
brazil,1998Q3,1.6830491856037493,-0.02626762407368788
brazil,1998Q4,1.679981768776576,-0.003067416827173375
brazil,1999Q1,1.658489550635928,-0.021492218140647834
brazil,1999Q2,1.6486695676637546,-0.009819982972173458
brazil,1999Q3,1.657311387997284,0.008641820333529449
brazil,1999Q4,1.6671415532033895,0.009830165206105468
brazil,2000Q1,1.6835551930178898,0.01641363981450028
brazil,2000Q2,1.6778388023604445,-0.005716390657445336
brazil,2000Q3,1.6717073302476904,-0.0061314721127541105
brazil,2000Q4,1.6790710644142284,0.007363734166538016
brazil,2001Q1,1.6797505760153535,0.0006795116011251157
brazil,2001Q2,1.6708605628163589,-0.008890013198994628
brazil,2001Q3,1.6761107047811028,0.005250141964743937
brazil,2001Q4,1.6456564786700014,-0.03045422611110138
brazil,2002Q1,1.6577650268407065,0.012108548170705058
brazil,2002Q2,1.671688538191685,0.013923511350978579
brazil,2002Q3,1.6946727528131196,0.022984214621434518
brazil,2002Q4,1.7065866946045376,0.011913941791418026
brazil,2003Q1,1.7186668708063275,0.012080176201789916
brazil,2003Q2,1.7079012120912083,-0.010765658715119253
brazil,2003Q3,1.7136050997386505,0.0057038876474422295
brazil,2003Q4,1.7610572147383736,0.04745211499972313
brazil,2004Q1,1.8026461981990782,0.04158898346070461
brazil,2004Q2,1.806116813193675,0.0034706149945966658
brazil,2004Q3,1.7888158734600994,-0.017300939733575493
brazil,2004Q4,1.7874833834780712,-0.0013324899820281733
brazil,2005Q1,1.8137629726642184,0.026279589186147145
brazil,2005Q2,1.8182177458380664,0.0044547731738480145
brazil,2005Q3,1.8226292003632594,0.0044114545251929815
