country,time,quarter,EMBI,JLoss,D,HHI,HHI_anual,debt,growth_q,gfac
brazil,14,2007Q3,187.03174603174602,2.9021770667423983,-0.0372863060732412,0.64919185,0.4800673,,,21.589206349206346
brazil,15,2007Q4,197.0483870967742,4.006896067552684,-0.045564118077144,0.64919185,0.4800673,,,22.02984375
brazil,16,2008Q1,257.88524590163934,3.1621962703317688,-0.0422068864988195,0.64919185,0.5131218,,,26.120163934426227
brazil,17,2008Q2,214.3125,3.5087568481088494,-0.0453026680701201,0.64919185,0.5131218,,,20.67296875
brazil,18,2008Q3,252.5,5.687607298328175,-0.0467696963903762,0.64919185,0.5131218,,,25.07328125
brazil,19,2008Q4,481.56451612903226,15.543826980351565,0.0164549710641318,0.64919185,0.5131218,,,58.6046875
brazil,20,2009Q1,429.88524590163934,14.243341436550084,0.0589199333014301,0.64919185,0.6640308,,,45.0
brazil,21,2009Q2,324.06349206349205,4.568854336795474,0.0316614433281703,0.64919185,0.6640308,,,33.01571428571428
brazil,22,2009Q3,253.703125,3.2572233549031218,0.0236447831846207,0.64919185,0.6640308,,,25.48625
brazil,23,2009Q4,215.8709677419355,3.0134035465157645,-0.029862474547377,0.64919185,0.6640308,61.3187804637225,,23.071875
brazil,24,2010Q1,203.39344262295083,2.346797620236976,-0.0642274274089133,0.64919185,0.6185835000000001,61.3187804637225,,20.149672131147543
brazil,25,2010Q2,212.23809523809524,2.7475229378154054,-0.0409862128423152,0.64919185,0.6185835000000001,61.3187804637225,,26.391428571428573
brazil,26,2010Q3,211.203125,2.6186036627954308,-0.0422394537431596,0.64919185,0.6185835000000001,60.824499923652674,,24.28359375
brazil,27,2010Q4,179.327868852459,2.279907281960753,-0.0403552115479453,0.64919185,0.6185835000000001,60.33021938358284,,19.318437499999998
brazil,28,2011Q1,173.32258064516128,2.449755708542065,-0.0358598988651239,0.64919185,0.6203946,59.83593884351302,,18.614838709677418
brazil,29,2011Q2,172.57142857142858,2.479053365633338,-0.0307117014881231,0.64919185,0.6203946,59.3416583034432,,17.482380952380954
brazil,30,2011Q3,204.671875,4.987601139017956,0.0078233658406393,0.64919185,0.6203946,59.46861622767448,,30.58359375
brazil,31,2011Q4,230.35,3.770610527032251,-0.0089892609565494,0.64919185,0.6203946,59.59557415190575,,29.93952380952381
brazil,32,2012Q1,201.19354838709677,2.9868176193362297,-0.0098587198374738,0.64919185,0.493904,59.72253207613702,,18.20403225806452
brazil,33,2012Q2,205.76190476190476,5.333851128603483,0.0022692164334935,0.64919185,0.493904,59.8494900003683,,20.035714285714285
brazil,34,2012Q3,177.65079365079364,3.9214760484118423,-0.0139505227289751,0.64919185,0.493904,59.19421984634143,,16.192698412698412
brazil,35,2012Q4,147.86666666666667,3.503443517951216,-0.0149579076910113,0.64919185,0.493904,58.53894969231455,,16.752903225806453
brazil,36,2013Q1,161.18333333333334,3.087297230089036,-0.0167282883732748,0.64919185,0.610966,57.88367953828767,,13.527
brazil,37,2013Q2,195.390625,4.373728976324583,-0.014448806503541,0.64919185,0.610966,57.2284093842608,,14.837031249999999
brazil,38,2013Q3,236.71875,4.269344916462583,-0.007766582789039,0.64919185,0.610966,57.53562481463908,,14.2796875
brazil,39,2013Q4,238.9672131147541,3.6019221145592577,-0.0114453597234932,0.64919185,0.610966,57.84284024501735,,14.2328125
brazil,40,2014Q1,250.70491803278688,6.709074332637787,-0.0183478630602384,0.64919185,0.6343529,58.15005567539562,,14.828852459016392
brazil,41,2014Q2,216.0,5.887945144662147,0.0082695200062219,0.64919185,0.6343529,58.4572711057739,,12.738253968253968
brazil,42,2014Q3,216.421875,5.96129075318143,0.0142182966509172,0.64919185,0.6343529,60.72734183702907,,13.07265625
brazil,43,2014Q4,256.40983606557376,9.930189615000838,0.0144884444379278,0.64919185,0.6343529,62.99741256828425,,16.07234375
brazil,44,2015Q1,318.8196721311475,6.203900571211738,0.0232776227020421,0.64919185,0.738635,65.26748329953942,,16.564754098360655
brazil,45,2015Q2,293.28125,5.379473578660424,0.0281439747265025,0.64919185,0.738635,67.5375540307946,,13.740158730158731
brazil,46,2015Q3,370.4375,11.175741333700715,0.0563444475459266,0.64919185,0.738635,69.00786647358503,,19.30734375
brazil,47,2015Q4,462.3709677419355,13.923590488395346,0.051880561272283,0.64919185,0.738635,70.47817891637544,,17.03328125
brazil,48,2016Q1,515.7049180327868,10.832793377708615,0.0475838086611358,0.64919185,0.7525742,71.94849135916587,,20.486229508196722
brazil,49,2016Q2,405.71875,9.535983704016486,0.0341490429058082,0.64919185,0.7525742,73.4188038019563,,15.6759375
brazil,50,2016Q3,328.625,5.974216428184856,0.0251552115906281,0.64919185,0.7525742,75.98140351375737,,13.23390625
brazil,51,2016Q4,327.57377049180326,5.800804532591896,0.0251654334769452,0.64919185,0.7525742,78.54400322555844,,14.097936507936508
brazil,52,2017Q1,282.758064516129,3.745885702674746,0.0076081596258852,0.64919185,0.7496375999999999,81.10660293735953,,11.691935483870967
brazil,53,2017Q2,272.3333333333333,6.30179072049879,0.0045444109091699,0.64919185,0.7496375999999999,83.6692026491606,,11.426349206349206
brazil,54,2017Q3,262.8253968253968,2.565900210078903,-0.0042020610994743,0.64919185,0.7496375999999999,84.40387301717877,,10.944285714285714
brazil,55,2017Q4,236.1290322580645,3.353747416491789,-0.0088223053401274,0.64919185,0.7496375999999999,85.13854338519695,,10.307936507936507
brazil,56,2018Q1,226.21666666666667,2.6583929303326594,0.0018205665404766,0.64919185,0.7384729,85.87321375321513,,17.354754098360658
brazil,57,2018Q2,270.796875,5.137768372110746,0.0031303064589557,0.64919185,0.7384729,86.6078841212333,,15.3375
brazil,58,2018Q3,299.6825396825397,4.34016585269872,-0.0035368193545139,0.64919185,0.7384729,88.09722638970669,,12.856825396825396
brazil,59,2018Q4,262.27868852459017,3.651094415815392,0.0041165532001101,0.64919185,0.7384729,89.5865686581801,,21.053650793650796
brazil,60,2019Q1,242.39344262295083,2.859279057558576,0.0030925627572746,0.64919185,0.7317778,91.0759109266535,,16.47
brazil,61,2019Q2,246.0952380952381,2.3933677302575878,0.0005262005332926,0.64919185,0.7317778,92.5652531951269,,15.183015873015872
brazil,62,2019Q3,224.34375,2.778829179454926,0.0023128373368641,0.64919185,0.7317778,94.10141038314146,,15.96015625
brazil,63,2019Q4,228.79032258064515,2.395739486853901,-0.0034601717818078,0.64919185,0.7317778,95.637567571156,,13.98578125
brazil,64,2020Q1,262.4193548387097,13.222566306392336,0.0592875248403832,0.64919185,0.7045802000000001,97.17372475917054,,31.22451612903226
brazil,65,2020Q2,399.58730158730157,9.172354953792071,0.1355840971786949,0.64919185,0.7045802000000001,98.7098819471851,,34.493650793650794
brazil,66,2020Q3,328.84375,4.454152356177935,0.0579714031228227,0.64919185,0.7045802000000001,95.28528737962584,,25.80890625
brazil,67,2020Q4,278.80645161290323,4.192995613119392,0.0267537384141431,0.64919185,0.7045802000000001,91.86069281206656,,25.62171875
brazil,68,2021Q1,269.7704918032787,5.389147461255601,0.0099921143172379,0.64919185,0.7039432999999999,88.43609824450726,,23.20245901639344
brazil,69,2021Q2,254.53968253968253,3.024927350478835,-0.0708653907555535,0.64919185,0.7039432999999999,85.011503676948,,18.0
brazil,70,2021Q3,283.828125,4.840437859192328,0.0140240410778432,0.64919185,0.7039432999999999,83.53420822972045,,18.28734375
brazil,71,2021Q4,318.7741935483871,8.572047796169198,0.0168291487996775,0.64919185,0.7039432999999999,82.0569127824929,,19.27515625
brazil,72,2022Q1,308.9516129032258,4.127531347681025,0.0318617468662747,0.64919185,0.7039432999999999,80.57961733526535,,25.372903225806454
brazil,73,2022Q2,300.30645161290323,5.008891123256095,0.040518956012526,0.64919185,0.7039432999999999,79.1023218880378,,27.3984375
