base,pct,GaR_pp,dEMBI_dJLoss
principal,10,-3.6213395880417854,5.587483340780505
principal,25,-0.9581386191036425,4.347385839848713
principal,50,0.498348232166255,3.669184785754037
principal,75,2.2612942730550203,2.848283545073191
principal,90,4.274212291541736,1.9109849208160714
ampliado,10,-2.5157255967891516,9.821694162443034
ampliado,25,-0.43123628610235,8.660758959264575
ampliado,50,1.60084383939492,7.529012520808722
ampliado,75,3.9956419543714996,6.195253972886162
ampliado,90,5.415547675552556,5.404451866843957
