country,quarter,EMBI_bps,JLoss,n_banks,below_min_banks,GaR,ES,prob_neg,skew,std,GaR_st,n_train,VIX,UST10Y,US_HY_spread,UST10Y_log,US_HY_spread_log,OnOffRun_spread,OnOffRun_spread_log,debt_gdp,fisc_bal,res_gdp,ca_gdp,infl_yoy,reer,HHI_struct,GaR_pp,JLoss_x_GaR
brazil,2007Q3,100.24990769230769,2.9021770667423983,6,False,0.0372863060732412,0.0366995373055875,0.0,0.1537344263688373,0.0084033547017232,0.0372863061382381,183,21.589206349206346,4.731901538461538,3.951746031746032,1.5543271383048871,1.3741575145984941,-0.1002190476190476,-0.105603931524451,,,,,,,0.64919185,3.72863060732412,-2.5517667290119785
brazil,2007Q4,95.35775757575757,4.006896067552684,6,False,0.045564118077144,0.0441588062982347,0.0,-0.1417311950511044,0.0086913677797644,0.0455641181842443,194,22.02984375,4.2572515151515145,4.884838709677419,1.4486237678236302,1.5861362674834178,-0.1863112903225806,-0.2061774066646915,,,,,,,0.64919185,4.5564118077144,1.6994955660435525
brazil,2008Q1,148.21876923076923,3.1621962703317688,6,False,0.0422068864988195,0.0353838376079043,0.0,0.1396294487235311,0.010814860951082,0.0412698002559122,205,26.120163934426227,3.6472138461538464,7.084098360655737,1.2939635462889865,1.9578526047276,-0.3150475409836065,-0.3784058460241801,,,,,,,0.64919185,4.22068864988195,-1.851606399817603
brazil,2008Q2,110.65329230769231,3.5087568481088494,8,False,0.0453026680701201,0.0390356970653897,0.0,-0.0865552086966897,0.0085400583391265,0.0453026680235727,216,20.67296875,3.8625384615384615,6.578125,1.351324599854147,1.8837497503227096,-0.3051234472513199,-0.364021071138336,,,,,,,0.64919185,4.53026680701201,-0.4822961812173509
brazil,2008Q3,138.8319090909091,5.687607298328175,8,False,0.0467696963903762,0.043419881592924,0.0,-0.0161796336297772,0.0100001002798956,0.0450835990614205,227,25.07328125,3.843201515151515,8.066875,1.3463057471456215,2.087766170607315,-0.2851375091075898,-0.3356650752142703,,,,,,,0.64919185,4.676969639037621,9.319914094854783
brazil,2008Q4,352.14948484848486,15.543826980351565,8,False,-0.0164549710641318,-0.0223212647106935,0.1084061687571756,0.5731611693552763,0.0098884086065795,-0.0158529365006167,239,58.6046875,3.203140909090909,16.25774193548387,1.1641318625069785,2.7885692221195404,-0.6579274046805598,-1.0727322974290805,,,,,,,0.64919185,-1.64549710641318,-21.657394452977005
brazil,2009Q1,356.728890625,14.243341436550084,8,False,-0.0589199333014301,-0.0594000346740564,0.655643519083312,-0.2778034674569155,0.0210930863945454,-0.0589199333890633,251,45.0,2.7008625,15.372786885245901,0.9935711664432145,2.732598860908846,-0.6253082062768154,-0.9816514743479056,,,,,,,0.64919185,-5.89199333014301,-64.41001125208533
brazil,2009Q2,229.36923076923077,4.568854336795474,8,False,-0.0316614433281703,-0.0401184712762376,0.3769504942700843,-0.5978027485329,0.010371935446739,-0.0311664856703414,263,33.01571428571428,3.297866153846154,11.491269841269842,1.1932756392769075,2.4415876028358983,-0.4830492003001865,-0.6598075739928725,,,,,,,0.64919185,-3.16614433281703,-3.1682461760646454
brazil,2009Q3,140.09906060606062,3.2572233549031218,8,False,-0.0236447831846207,-0.0311508320774761,0.3300355289977046,-0.2354139170760606,0.013629977268827,-0.0236447834110336,275,25.48625,3.4990636363636365,8.46921875,1.252495400234641,2.1364382671016946,-0.4496937596797943,-0.5972803551293554,,,,,,,0.64919185,-2.36447831846207,0.9181567921581448
brazil,2009Q4,124.1807878787879,3.0134035465157645,8,False,0.029862474547377,0.0243955814844765,0.0,-0.1006701895058672,0.0133575467690727,0.0309328497429849,288,23.071875,3.4480500000000003,7.102903225806451,1.2378088538563987,1.960503605511548,-0.3788935673621387,-0.4762528226232063,61.3187804637225,-2.48178858446383,13.600015728559034,-2.84265171226522,4.96338084992436,162.65666666666667,0.64919185,2.9862474547377,-1.7061613169321732
