gar,m2_N,m2_b3,m2_t3,m2_p3,m2_b1,m2_bD,cr_N,cr_b3,cr_t3,cr_p3,cr_b4_bk,cr_sum_bk,cr_sum_bk_p,cr_b4_em,cr_sum_em,cr_sum_em_p
"GaR oficial (expansiva, con CDIFF)",614,0.18773246485282652,1.1785854468853105,0.23911831741746514,2.7674744863077234,4.561216369309203,614,0.8374729665702975,2.0234356998781684,0.043560781959063544,-0.9424943441979425,-0.10502137762764507,0.26990010580302526,0.2131586160252471,1.0506315825955446,0.0002257150662381413
GaR in-sample base (con CDIFF),617,0.21847249134051508,1.335668650594642,0.18225569959462118,2.6898488247478447,6.7141009302774695,617,0.8159274485776725,2.2631219748951024,0.02405446263091271,-0.91343315978629,-0.09750571120861751,0.20733952101206898,0.21237491628997546,1.028302364867648,0.002938653335161634
GaR in-sample SIN CDIFF,617,0.23082664731513966,1.338399100409707,0.18136507659384993,2.626189909013048,5.227468495499069,617,0.8576510285722938,2.770666632448212,0.005801603332746819,-0.9689566413753603,-0.1113056128030665,0.15294099765328295,0.2889941183521712,1.146645146924465,0.0007836915294658908
