country,quarter,JLoss,n_banks,below_min_banks,GaR,ES,prob_neg,skew,std,GaR_st,n_train,gar_mean,iqr_05_95,scale_st,skew_st,nu_st,EMBI_bps,CDS_bps,VIX,UST10Y,US_HY_spread,UST10Y_log,US_HY_spread_log,OnOffRun_spread,OnOffRun_spread_log,debt_gdp,fisc_bal,res_gdp,ca_gdp,infl_yoy,reer,HHI_struct,GaR_pp,JLoss_x_GaR,USD_NEER,USD_NEER_log
argentina,2004Q1,4.77524446304173,3,False,,,,,,,,,,,,,,,16.65806451612903,3.993235384615384,3.929032258064516,1.3846017756587892,1.3683931507906504,-0.2776225806451613,-0.3252075351823507,,,,,,,0.4307073,,,89.58999999999999,4.495243706609487
argentina,2004Q2,7.882649776412348,3,False,,,,,,,,,,,,,,,16.23016129032258,4.57790923076923,3.8904761904761904,1.5212423940662785,1.3585315641425342,-0.2886064516129031,-0.3405294884053109,,,,,,,0.4307073,,,91.68333333333334,4.5183406106533575
argentina,2004Q3,2.8004304477498896,3,False,,,,,,,,,,,,,,,15.4421875,4.286775757575758,3.855,1.4555348787076918,1.349371007015293,-0.25406875,-0.2931218412021457,,,,,,,0.4307073,,,90.92666666666666,4.510053320830619
argentina,2004Q4,3.856188178104711,3,False,,,,,,,,,,,,,,,13.65125,4.161330303030304,3.23258064516129,1.4258348075353289,1.1732807795850912,-0.2091838709677419,-0.2346897920511561,,,,,,,0.4307073,,,87.49000000000001,4.471524501118173
argentina,2005Q1,3.444572412964066,3,False,,,,,,,,,,,,,,,12.787049180327868,4.2947625,2.866065573770492,1.4573962570504808,1.0529402090362463,-0.1238672131147542,-0.132237616330983,,,,,,,0.4307073,,,86.39999999999999,4.45898767581001
argentina,2005Q2,3.1362891433016307,3,False,,,,,,,,,,,,,,381.072,13.40734375,4.142484615384616,3.761875,1.421295756463674,1.324917503319898,-0.0915156249999999,-0.0959775899729515,,,,,,,0.4307073,,,87.48333333333333,4.471448299030199
argentina,2005Q3,2.7221745647023954,3,False,,,,,,,,,,,,,,355.39557142857143,12.25078125,4.199186363636364,3.33078125,1.4348907835788864,1.2032068860854312,-0.0670124999999999,-0.0693634758665573,,,,,,,0.4307073,,,87.74333333333334,4.474415886050543
argentina,2005Q4,2.5176640035940308,3,False,,,,,,,,,,,,,,358.607253968254,12.781746031746032,4.4782015625,3.4950819672131144,1.4992215288875497,1.251356828118378,-0.0871918032786885,-0.0912295007185508,,,,,,,0.4307073,,,88.47666666666667,4.482738863767201
argentina,2006Q1,2.287942688865398,3,False,,,,,,,,,,,,,,296.66114516129034,12.04241935483871,4.563456923076924,3.253548387096774,1.5180804334817768,1.179746212163433,-0.0547774193548387,-0.0563348441481803,,,,,,,0.4307073,,,87.28333333333335,4.469159532057387
argentina,2006Q2,3.821759554619573,3,False,,,,,,,,,,,,,,297.711265625,14.528730158730156,5.064281538461538,3.021428571428572,1.6222122793591762,1.1057297564369737,-0.0427714285714285,-0.0437130744291492,,,,,,,0.4307073,,,86.03000000000002,4.454696072633257
argentina,2006Q3,2.4277882277199097,3,False,,,,,,,,,,,,,,262.20463492063493,13.607936507936508,4.886972307692308,3.282063492063492,1.5865729517469596,1.188472338021146,-0.0299603174603175,-0.0304182984867687,,,,,,,0.4307073,,,85.59666666666668,4.449646341579514
argentina,2006Q4,2.17202965923558,3,False,,,,,,,,,,,,,,223.994578125,11.034920634920637,4.623195384615385,3.021774193548387,1.5310861077114035,1.1058441401946046,-0.0310854838709677,-0.0315788896319542,,,,,,,0.4307073,,,85.08666666666666,4.443670344886435
argentina,2007Q1,2.6523600953094024,3,False,,,,,,,,,,,,,,204.0977692307692,12.56360655737705,4.675681538461538,2.6530645161290325,1.5423749357433865,0.9757153930389754,-0.0405596774193548,-0.0414051618410956,,,,,,,0.4307073,,,84.88,4.441238494305727
argentina,2007Q2,2.1646389713169465,3,False,,,,,,,,,,,,,,200.57232307692303,13.731904761904762,4.840393846153846,2.5657142857142854,1.5769960905902056,0.94223691381874,-0.0424687499999998,-0.0433969213841955,,,,,,,0.4307073,,,82.88666666666667,4.417474212856682
argentina,2007Q3,3.262515007921629,3,False,,,,,,,,,,,,,,392.6803538461538,21.589206349206343,4.731901538461538,3.951746031746032,1.5543271383048871,1.374157514598494,-0.1002190476190476,-0.105603931524451,,,,,,,0.4307073,,,81.39,4.3992524153389505
argentina,2007Q4,2.434382265019128,3,False,,,,,,,,,,,,,,432.29136363636366,22.02984375,4.2572515151515145,4.884838709677419,1.4486237678236302,1.5861362674834178,-0.1863112903225806,-0.2061774066646915,,,,,,,0.4307073,,,78.50666666666666,4.363183546872402
argentina,2008Q1,2.792150074790068,3,False,,,,,,,,,,,,,,517.6553968253968,26.120163934426227,3.6472138461538464,7.084098360655737,1.2939635462889865,1.9578526047276,-0.3150475409836065,-0.3784058460241801,,,,,,,0.4307073,,,76.95333333333333,4.343199177518656
argentina,2008Q2,4.987738233465785,3,False,,,,,,,,,,,,,,596.856046875,20.67296875,3.8625384615384615,6.578125,1.351324599854147,1.8837497503227096,-0.3051234472513199,-0.364021071138336,,,,,,,0.4307073,,,75.56,4.324927042633309
argentina,2008Q3,7.913678523073552,3,False,,,,,,,,,,,,,,797.6160151515152,25.07328125,3.843201515151515,8.066875,1.3463057471456217,2.087766170607315,-0.2851375091075898,-0.3356650752142703,,,,,,,0.4307073,,,76.94333333333334,4.343069220187798
argentina,2008Q4,19.20799487719705,3,False,,,,,,,,,,,,,,3672.624676923077,58.6046875,3.203140909090909,16.25774193548387,1.1641318625069783,2.7885692221195404,-0.6579274046805598,-1.0727322974290805,,,,,,,0.4307073,,,85.27666666666667,4.44590087272429
argentina,2009Q1,13.323658852522724,3,False,,,,,,,,,,,,,,3421.276265625,45.0,2.7008625,15.3727868852459,0.9935711664432144,2.732598860908846,-0.6253082062768154,-0.9816514743479056,,,,,,,0.4307073,,,87.52,4.471867338673671
argentina,2009Q2,7.946891877954088,3,False,,,,,,,,,,,,,,2759.1556923076923,33.01571428571428,3.297866153846154,11.491269841269842,1.1932756392769075,2.4415876028358983,-0.4830492003001865,-0.6598075739928725,,,,,,,0.4307073,,,84.27999999999999,4.434144588935988
argentina,2009Q3,5.117008597821249,3,False,,,,,,,,,,,,,,1640.3886515151514,25.48625,3.4990636363636365,8.46921875,1.252495400234641,2.1364382671016946,-0.4496937596797943,-0.5972803551293554,,,,,,,0.4307073,,,81.53,4.400971050674819
argentina,2009Q4,3.979301698614493,3,False,,,,,,,,,,,,,,990.6436153846154,23.071875,3.4480500000000003,7.102903225806451,1.2378088538563987,1.960503605511548,-0.3788935673621387,-0.4762528226232063,,,,,,,0.4307073,,,79.45,4.375127892982725
argentina,2010Q1,2.6448417513977445,3,False,,,,,,,,,,,,,,1015.614375,20.149672131147543,3.702528125,6.193278688524591,1.3090158633497369,1.8234646215125536,-0.3202967168464035,-0.3860989243431428,,,,,,,0.4307073,,,80.28333333333333,4.38556204440812
argentina,2010Q2,5.198235187043061,3,False,,,,,,,,,,,,,,994.5471846153848,26.391428571428573,3.469690769230769,6.231538461538462,1.2440654744922903,1.8296232463808637,-0.2729812410473825,-0.3188029985454527,,,,,,,0.4307073,,,81.65666666666668,4.402523465399537
argentina,2010Q3,3.1995878809209923,3,False,,,,,,,,,,,,,,846.949590909091,24.28359375,2.7675515151515158,6.51390625,1.017962999754968,1.8739393146718748,-0.2286999976634975,-0.2596778730128791,,,,,,,0.4307073,,,80.72333333333334,4.3910276702043
argentina,2010Q4,3.158628226289724,3,False,,,,,,,,,,,,,,664.4422272727272,19.3184375,2.8557484848484846,5.708225806451614,1.0493339750700994,1.7419082584767691,-0.2197693669411442,-0.2481657195954341,,,,,,,0.4307073,,,78.05,4.357349646961441
argentina,2011Q1,2.3634956213698275,3,False,,,,,,,,,,,,,,600.859234375,18.614838709677414,3.4379453125,4.736451612903227,1.2348740000569474,1.5552882504897,-0.2281564572549633,-0.2589734143346897,,,,,,,0.4307073,,,77.03333333333333,4.344238228612225
argentina,2011Q2,2.390365298194351,3,False,,,,,,,,,,,,,,595.8718923076923,17.482380952380954,3.185644615384616,4.881904761904762,1.158654659561406,1.5855354637724477,-0.2210984163435687,-0.2498705778622153,,,,,,,0.4307073,,,75.04,4.318021304697969
argentina,2011Q3,5.430976211300037,3,False,,,,,,,,,,,,,,759.9008787878788,30.58359375,2.4010848484848486,6.55578125,0.8759206554255642,1.8803472939429728,-0.1741624995917081,-0.1913572555557563,,,,,,,0.4307073,,,75.54,4.324662317284311
argentina,2011Q4,7.32665358360496,3,False,,,,,,,,,,,,,,978.7681538461538,29.93952380952381,2.030544615384615,7.26327868852459,0.7083040405128261,1.982831336881218,-0.1178901629369767,-0.1254386989113021,,,,,,,0.4307073,,,78.52,4.3633533694082605
argentina,2012Q1,4.968567240886983,3,False,,,,,,,,,,,,,,799.5070461538461,18.20403225806452,2.018792307692308,6.133548387096774,0.7024994651400295,1.8137734384457385,-0.0935096782253632,-0.098174925320081,,,,,,,0.4307073,,,78.01333333333334,4.356879752251926
argentina,2012Q2,6.369575211494039,3,False,,,,,,,,,,,,,,1125.7913692307693,20.035714285714285,1.8062815384615385,6.20671875,0.5912703334661203,1.8256323746601035,-0.0553359262645247,-0.0569258922141058,,,,,,,0.4307073,,,79.39,4.374372415737022
argentina,2012Q3,3.1880467214073005,3,False,,,,,,,,,,,,,,1103.3872769230768,16.192698412698412,1.62226,5.735396825396825,0.4838202387781506,1.7466569418051467,-0.0438936584896512,-0.0448861362275025,,,,,,,0.4307073,,,79.33333333333333,4.373658385003365
argentina,2012Q4,3.44964430482758,3,False,,,,,,,,,,,,,,1706.8873030303032,16.752903225806453,1.6914727272727272,5.352950819672131,0.5255995857109054,1.6776479639362225,-0.0307541029570534,-0.031236935565726,,,,,,,0.4307073,,,78.17666666666666,4.358971222805376
argentina,2013Q1,3.1316588359884623,3,False,,,,,,,,,,,,,,2408.620046875,13.527,1.9262859375,4.682786885245902,0.655593764194572,1.5438934209971602,-0.0593216608365388,-0.0611540265652253,,,,,,,0.4307073,,,78.64666666666666,4.364965246745586
argentina,2013Q2,3.548368745404279,3,False,,,,,,,,,,,,,,3013.831553846154,14.83703125,1.969892307692308,4.5184375,0.6779788751096123,1.5081662482403084,-0.0640999861806634,-0.0662466310531004,,,,,,,0.4307073,,,79.44666666666667,4.375085936994551
argentina,2013Q3,4.434090275245252,3,False,,,,,,,,,,,,,,2707.231,14.2796875,2.6922,4.5028125,0.9903587032278556,1.504702201545116,-0.1459249895811078,-0.1577362548366065,,,,,,,0.4307073,,,80.25666666666666,4.385229832287628
argentina,2013Q4,7.06041947766023,3,False,,,,,,,,,,,,,,1879.348396825397,14.2328125,2.7323560606060604,4.14758064516129,1.0051642628672,1.4225251871758335,-0.1558548344335242,-0.1694308020593107,,,,,,,0.4307073,,,79.79,4.379398183320189
argentina,2014Q1,4.196121660007799,3,False,,,,,,,,,,,,,,2137.3765,14.828852459016392,2.75745,3.780491803278689,1.0143063396148533,1.329854107855839,-0.140121316284429,-0.1509639651322601,,,,,,,0.4307073,,,80.88333333333334,4.393007787183116
