spec,F_conjunto,n,paises,beta_JLoss_IV,se_JLoss,p_JLoss,sargan_stat,sargan_p,pre_year
CTOT solo (just-id),0.027180108799920298,614,13,-12.002364701402257,279.32176389632093,0.9657257093980249,,,
"CTOT+OnOffRun+USD (sobre-id, 3 instr.)",13.223191997378915,614,13,-10.05356595218619,14.791280034251699,0.4966973084834636,13.184097505315002,0.0013712277773150205,2012.0
"OnOffRun+USD (sobre-id, 2 instr., referencia)",19.80155725544639,614,13,-10.028452333876231,14.712159660962461,0.49546421562265985,13.18649374763879,0.00028197396802809305,2012.0
