date,country,GaR,prob_neg,ES,ER,mean,std,iqr_05_95,skew,kurt,GaR_st,mean_st,std_st,scale_st,alpha_st,nu_st,skew_st,sse_st,n_train
01/12/2002,BRAZIL,,,,,,,,,,,,,,,,,,40
01/12/2002,CHILE,,,,,,,,,,,,,,,,,,40
01/12/2002,COLOMBIA,,,,,,,,,,,,,,,,,,40
01/12/2002,MEXICO,,,,,,,,,,,,,,,,,,40
01/12/2002,PERU,,,,,,,,,,,,,,,,,,40
01/12/2002,BULGARIA,,,,,,,,,,,,,,,,,,40
01/12/2002,HUNGARY,,,,,,,,,,,,,,,,,,40
01/12/2002,INDONESIA,,,,,,,,,,,,,,,,,,40
01/12/2002,POLAND,0.02305824681957222,0.0,0.02057664463437665,0.04028678912242026,0.02990293030962747,0.006990061512460535,0.017228542302847982,-0.3640444162939587,1.0896066252395564,0.02118599934609578,0.03021517256099373,0.005489165703062907,0.005489601369486088,0.01596613171737995,567127.8224991765,0.01596409708427966,1.0886682468422931e-05,40
01/12/2002,SOUTHKOREA,0.06835244441775125,0.0,0.0663075963010689,0.08473156340715472,0.0742103399147294,0.006069940040366681,0.016379118989403377,-0.2626113038938974,1.238595605802663,0.0664208586274654,0.07486708530242474,0.005135684843494881,0.005135829130081668,-0.009023058893085478,29752606091133.746,-0.009022691606672698,1.212586917888126e-05,40
01/12/2002,TURKEY,,,,,,,,,,,,,,,,,,40
01/12/2002,CHINA,0.08699710880428875,0.0,0.08521813596197421,0.10393428486938548,0.09341808306564901,0.006546588112673917,0.016937176065096607,-0.2812073192029779,1.1777209013579508,0.08511575791241481,0.09392179288886296,0.005349557552605053,0.005349652900708819,-0.009023058893262038,108620962737984.78,-0.009022691606849237,1.1136090688659373e-05,40
01/12/2002,SOUTHAFRICA,0.03223478406299555,0.0,0.03223478406299548,0.054271455662898024,0.04262837200913556,0.004378935601429104,0.02010639846914712,0.7075216851464268,2.746411200524885,0.03225626667769327,0.042746074458907116,0.017917163878816828,0.003936051618120946,-0.4221991651790099,2.1,-0.3889540093172908,9.823760031512242e-09,40
01/12/2002,PHILIPPINES,0.005542687888684688,0.0,0.005542687888684549,0.047056871924881415,0.029595794913267276,0.003798216255117675,0.04062066567967234,0.2710130133931551,6.220603255210884,0.006648867254196716,0.027846800668344513,0.03705568690425155,0.008244306437524631,-0.8738662615729806,2.100000000000017,-0.6580209578516203,2.3944321771132305e-05,40
01/03/2003,BRAZIL,,,,,,,,,,,,,,,,,,45
01/03/2003,CHILE,,,,,,,,,,,,,,,,,,45
01/03/2003,COLOMBIA,,,,,,,,,,,,,,,,,,45
01/03/2003,MEXICO,,,,,,,,,,,,,,,,,,45
01/03/2003,PERU,,,,,,,,,,,,,,,,,,45
01/03/2003,BULGARIA,,,,,,,,,,,,,,,,,,45
01/03/2003,HUNGARY,,,,,,,,,,,,,,,,,,45
01/03/2003,INDONESIA,,,,,,,,,,,,,,,,,,45
01/03/2003,POLAND,-0.0013375281519380118,0.05349814091580601,-0.0013375281519383139,0.04137522697195387,0.024918107901646454,0.008234503125755079,0.04001996210515399,0.3414835449389852,1.737879005135454,-0.0010870323625209067,0.023137502222883223,0.04514469430718236,0.010261587464255845,-2.891251802560631,2.1,-0.9450686878743282,1.0342907956892516e-06,45
01/03/2003,SOUTHKOREA,0.029593771803890154,0.0,0.029593771803889952,0.08095377784419791,0.05190997901779036,0.011633294593065061,0.0387364545678653,0.7424973861186451,1.8371035397464905,0.028998363789693574,0.05181046105207772,0.041007634755813205,0.009221467678752766,-1.4061603414756334,2.100004761964492,-0.8149378730603543,6.56423828158814e-06,45
01/03/2003,TURKEY,,,,,,,,,,,,,,,,,,45
01/03/2003,CHINA,0.09952901413224353,0.0,0.09923403386468768,0.12804775168587723,0.10817851567439302,0.011002043345757303,0.01909787499279529,0.9024145520680742,1.0594100715188857,0.09893258067734602,0.10971219716700219,0.006553056182824437,0.00655322498845576,0.00902276145087674,6547149.8241825,0.009022394200783716,2.2643064954352017e-05,45
01/03/2003,SOUTHAFRICA,0.02836285846736695,0.0,0.027262899121779753,0.056124395746317744,0.03586664723588441,0.011418257537451041,0.01818658616471458,0.8937693316812494,0.8059207146581193,0.027160645293949803,0.037513402379180626,0.0063726800032258115,0.006376357909555044,-0.015962875573827612,1123037842701212.8,-0.01596084218514825,2.716951663083441e-05,45
01/03/2003,PHILIPPINES,0.025835692160478495,0.0,0.02490462685659784,0.058144549690125474,0.03499839338408196,0.012033756305166454,0.020437323857486357,0.9158106317465042,0.8673586261729707,0.024989300447157792,0.03658653075169731,0.007050099154577259,0.0070506709429945975,-0.015962875666137324,221324012498.66217,-0.01596084227742269,2.7526847245844812e-05,45
01/06/2003,BRAZIL,,,,,,,,,,,,,,,,,,50
01/06/2003,CHILE,,,,,,,,,,,,,,,,,,50
01/06/2003,COLOMBIA,,,,,,,,,,,,,,,,,,50
01/06/2003,MEXICO,,,,,,,,,,,,,,,,,,50
01/06/2003,PERU,,,,,,,,,,,,,,,,,,50
01/06/2003,BULGARIA,,,,,,,,,,,,,,,,,,50
01/06/2003,HUNGARY,,,,,,,,,,,,,,,,,,50
01/06/2003,INDONESIA,,,,,,,,,,,,,,,,,,50
01/06/2003,POLAND,0.018297849789447783,0.0,0.018297849789447776,0.05136638137542981,0.03192757297243534,0.007834647130778801,0.026172944876660782,0.3726015532624395,1.6471136860694358,0.01828982216410002,0.032863007938478,0.008035376064736886,0.011719054059217141,-2.415858313812282,89.27323474396589,-0.9239716284660258,1.5982566928448027e-10,50
01/06/2003,SOUTHKOREA,0.019065168800498637,0.0,0.01906516880049862,0.0763356748061797,0.044936216858497594,0.009544426255305138,0.04614477751453626,0.18213043017636113,2.571427413172341,0.019240195513081277,0.04448459215397308,0.04425065512296956,0.009856571316974589,-0.9202884843353631,2.1,-0.67717148900941,6.225467855993248e-07,50
01/06/2003,TURKEY,,,,,,,,,,,,,,,,,,50
01/06/2003,CHINA,0.07431570023314478,0.0,0.07372125428498495,0.10865595093279716,0.08734400255160418,0.009400762359789476,0.026600673703998642,0.4448212022510381,1.6683022563891292,0.07466142679040173,0.08827333364299383,0.008274892133483168,0.008279011197630602,-0.040224162521405676,59547.405446791316,-0.040191660945732476,3.0731732085985913e-06,50
01/06/2003,SOUTHAFRICA,0.019581052595074627,0.0,0.019148737886565913,0.04537909259574813,0.028884716050095415,0.009001101169264227,0.02023902708707154,0.5069288065841586,1.2698172967035237,0.019118842853002624,0.02991262112682968,0.006561687093678452,0.0065621705755701965,-0.015255904718652936,2546673.9994592625,-0.015254129678808154,6.500836507550124e-06,50
01/06/2003,PHILIPPINES,0.030712793462916332,0.0,0.030550044231571698,0.049885973881328094,0.03768163271930111,0.008759051613555963,0.016452067032489047,0.6341167257989722,1.0469308634145031,0.029892611664609842,2.7614780125001618e+113,,0.005541875611241028,0.00902306291612435,9.581795335141725e+235,0.009022695629220312,1.101949753945587e-05,50
01/09/2003,BRAZIL,,,,,,,,,,,,,,,,,,55
01/09/2003,CHILE,,,,,,,,,,,,,,,,,,55
01/09/2003,COLOMBIA,,,,,,,,,,,,,,,,,,55
01/09/2003,MEXICO,,,,,,,,,,,,,,,,,,55
01/09/2003,PERU,,,,,,,,,,,,,,,,,,55
01/09/2003,BULGARIA,,,,,,,,,,,,,,,,,,55
01/09/2003,HUNGARY,,,,,,,,,,,,,,,,,,55
01/09/2003,INDONESIA,,,,,,,,,,,,,,,,,,55
01/09/2003,POLAND,0.021621195925019668,0.0,0.021104835886491438,0.05100475032392354,0.03538604315280161,0.009090974747888853,0.029383554398903784,0.3337899686503454,1.689204701864089,0.02169241089503366,0.036426307330115974,0.008954339623310686,0.008954602710784762,0.009023058893911563,39951842118103.75,0.009022691607498681,6.708632022016535e-08,55
01/09/2003,SOUTHKOREA,0.018013878059022537,0.0,0.017351633997628558,0.06413635588934496,0.044621616675636556,0.011556655345449092,0.04561095667189648,0.05254725012719825,2.223593644798503,0.021673420228640355,0.04444303443766341,0.015367209693271102,0.010600717499865398,0.003277607947600532,3.8157664906078868,0.003277590342540216,5.2750886417444825e-05,55
01/09/2003,TURKEY,,,,,,,,,,,,,,,,,,55
01/09/2003,CHINA,0.08700369929578129,0.0,0.08664794287186445,0.11740321594283391,0.10203697365384243,0.008540505454183108,0.030399516647052496,0.3466104880731725,1.7413163415766983,0.08700369938380964,0.10301184229349884,0.009474598204898129,0.009365118691141663,-0.821425486212202,7.896136032235841,-0.6347379998398682,1.1892312526175032e-19,55
01/09/2003,SOUTHAFRICA,0.006763010383101946,0.0,0.006187703413020732,0.03834416105244558,0.02278254815156626,0.010262018675972685,0.03158115066934357,0.322284976085698,1.656224907512235,0.007645637404715208,0.02359329794657324,0.009694773168480268,0.009695024377406887,0.00902305888004374,140111926922.3403,0.009022691593632552,4.662692230017932e-06,55
01/09/2003,PHILIPPINES,0.03470291016223734,0.0,0.033417517913267636,0.05985015876531113,0.044143196544603316,0.007943120841358989,0.02514724860307372,0.6369875189781519,0.9930396626727912,0.03334083700881015,0.04598480717419049,0.007686844956389431,0.0076870455240850705,-0.009023058893742459,18991145230784.723,-0.009022691607329597,6.739200169297856e-06,55
01/12/2003,BRAZIL,,,,,,,,,,,,,,,,,,62
01/12/2003,CHILE,,,,,,,,,,,,,,,,,,62
01/12/2003,COLOMBIA,,,,,,,,,,,,,,,,,,62
01/12/2003,MEXICO,,,,,,,,,,,,,,,,,,62
01/12/2003,PERU,,,,,,,,,,,,,,,,,,62
01/12/2003,BULGARIA,,,,,,,,,,,,,,,,,,62
01/12/2003,HUNGARY,,,,,,,,,,,,,,,,,,62
01/12/2003,INDONESIA,0.04015164673762996,0.0,0.03865531702451908,0.06386888982656033,0.04862635355497336,0.006334838233219464,0.023717243088930313,0.39693906943519125,1.7322185420913019,0.0400085178215416,0.0501351342407489,0.025167040125744486,0.005669412605006899,1.5372732546851706,2.1,0.8382511141313945,6.96755248443893e-07,62
01/12/2003,POLAND,0.029152666420630257,0.0,0.027393348533292047,0.054747889681979224,0.03909568799767519,0.006516790325019967,0.025595223261348905,0.31841583873916307,2.0116412715060923,0.029039360863265914,0.04048410238551,0.025454062489172546,0.0056864518642305755,1.0465974237904763,2.1000001010533613,0.7230189792985879,4.4149923472088275e-07,62
01/12/2003,SOUTHKOREA,0.02905132592201705,0.0,0.028523533468844085,0.06624887345719932,0.04765197190138125,0.009537464155660631,0.03707366599549948,0.029686944727653146,2.5316284443247183,0.029561055516053467,0.04808622280297059,0.01238919859574212,0.008708631059940856,0.0038137429742139415,3.953309211559584,0.003813715239765807,1.0205094194002093e-06,62
01/12/2003,TURKEY,,,,,,,,,,,,,,,,,,62
