country,quarter,GaR,ES,prob_neg,std,skew
brazil,2007Q2,0.01869585027491602,0.008111100346754975,0.0,0.008803353987511524,-0.09370293040138358
brazil,2007Q3,0.01186627890247266,0.000687035935580671,0.0,0.009693326643420602,-0.048914735757721636
brazil,2007Q4,0.007076834668196669,-0.006369654406528404,0.03684259766830369,0.010670181728078787,-0.09702703306532431
brazil,2008Q1,-0.004372198099533604,-0.019104117882556594,0.05966768627064804,0.012445391724091197,-0.10932964506048533
brazil,2008Q2,-0.0033506591602805863,-0.017418597538538864,0.057769246083911284,0.012441209467158808,-0.14468912875445783
brazil,2008Q3,-0.04099474945354373,-0.06233910986908093,0.11251244890243724,0.018957422784159683,-0.2280069498788431
brazil,2008Q4,-0.11584168768575279,-0.13606338395823192,0.5267743601848928,0.030583247660719688,-0.2474683229631412
brazil,2009Q1,-0.1153630658497486,-0.13613697458817375,0.7855372404846043,0.02862687760654828,-0.08797430449241266
brazil,2009Q2,-0.08143540939551168,-0.09426315232190155,0.7982594717498017,0.023381056144463324,-0.08792013300631756
brazil,2009Q3,-0.04231502484864677,-0.054808461133555655,0.6216377585179904,0.016379880660665067,0.12081851739906053
brazil,2009Q4,0.00013485364425841473,-0.012556206659908531,0.04973435307802033,0.011455610608609628,-0.05552345866123504
brazil,2010Q1,0.02741183952063582,0.015371545234959073,0.0,0.00835245335984542,-0.3159260739777432
brazil,2010Q2,-0.008001826078904872,-0.027472666375134812,0.062084461639252256,0.013636928071336105,-0.19355487665328955
brazil,2010Q3,0.005947786866423693,-0.008124147771869962,0.039433245997607703,0.010930922459013918,-0.11324041463403581
brazil,2010Q4,0.011195038826533207,0.00018182657311151956,0.0,0.009755880014479915,-0.04208566292342292
brazil,2011Q1,0.006528471490815042,-0.004350066772910513,0.03499690093340894,0.010427311071078641,-0.045954004433447854
brazil,2011Q2,0.006184929837869849,-0.00399289013759644,0.03480782266541689,0.010346704479841947,-0.021085025229298754
brazil,2011Q3,-0.06355073804689704,-0.08543194990474229,0.19302439953526634,0.021477173581158016,-0.12132209475371693
brazil,2011Q4,-0.02117671820847339,-0.03383766765985355,0.12286870994219583,0.014174691065486458,0.002311135422896316
brazil,2012Q1,-0.010852245773015405,-0.01968878863180373,0.11720819560910792,0.0123162431902497,0.05751002406805723
brazil,2012Q2,-0.028104626388115676,-0.037537224302444154,0.25768490659010945,0.015200205112992238,-0.031800078255653515
brazil,2012Q3,-0.006276066882025373,-0.015444783369962049,0.08244161200196005,0.01177843728706987,0.04071160897866682
brazil,2012Q4,-0.005315827008103825,-0.01546415856926006,0.07311502363104486,0.011440340380926598,0.09858359959208726
brazil,2013Q1,0.00013217933900733225,-0.007747534127259211,0.04958063405613289,0.010854791240453089,0.038070901290637386
brazil,2013Q2,-0.02260961896492284,-0.03297630648832937,0.12053415503042336,0.01555384381786099,-0.2145205826992553
brazil,2013Q3,-0.014499314056214154,-0.024222750196765425,0.11279080249052639,0.013428993944297704,-0.058579473578266684
brazil,2013Q4,-0.004162880463127447,-0.012457232183205286,0.07514728005857486,0.011525131559884778,0.023608153661028804
brazil,2014Q1,-0.0001640532483346141,-0.008823870194908302,0.05086422303564142,0.011177679302471022,-0.021723466292005243
brazil,2014Q2,-0.013069037282662153,-0.01946375311490997,0.4319183450218103,0.012018167023581536,0.16964544260899325
brazil,2014Q3,-0.02479424362685772,-0.033281318841748134,0.5152206349140925,0.013866566486433748,0.12347551473980416
brazil,2014Q4,-0.028062894743590763,-0.037977983917129796,0.44269559559402155,0.014492398741651202,0.09823736323176634
brazil,2015Q1,-0.044032562684734725,-0.05191825406291818,0.7365958777667672,0.01718554833265836,-0.00175699403628194
brazil,2015Q2,-0.0334481496295189,-0.042100543068180896,0.7945647668040288,0.014437652220546243,0.23624056277830724
brazil,2015Q3,-0.08913921380183672,-0.10050803971190604,0.9023777058921695,0.024038986081919664,-0.04650170985353678
brazil,2015Q4,-0.05215998797562264,-0.05999632510119394,0.927218956032673,0.01676154860842184,0.24325569137469727
brazil,2016Q1,-0.054895117086934175,-0.06105279404918698,0.9323836098051855,0.01774626520443507,0.1294751944461816
brazil,2016Q2,-0.03829633445035022,-0.045701864482038494,0.8515830112594983,0.015323439485900255,0.17743321720294764
brazil,2016Q3,-0.023606285533398236,-0.03012798835128507,0.785281266710147,0.013003108980934073,0.2564258043917878
brazil,2016Q4,-0.022057728654838394,-0.028957348057607937,0.7550937942194074,0.012744142673735347,0.2738349324785974
brazil,2017Q1,-0.006243751818669225,-0.013173143887899976,0.17413480071267004,0.010981616796615419,0.21133706681926873
brazil,2017Q2,-0.0039257503371254755,-0.01049817829770012,0.0975845899193555,0.010847026571154716,0.16432001281473899
brazil,2017Q3,0.00767274611313868,0.0016321757757969957,0.0,0.009118224992879457,0.22091979130621128
brazil,2017Q4,0.009110935217908088,0.002089189895942096,0.0,0.009170255054438605,0.15887764401389973
brazil,2018Q1,-0.009706124088363306,-0.020534573695332743,0.09924258425629098,0.011889970290363802,0.1374319893726223
brazil,2018Q2,-0.021125435875183077,-0.03028620834207616,0.17273064530317386,0.014212788215560367,-0.03362533223643068
brazil,2018Q3,-0.0069838955168616615,-0.014445932381572515,0.09573261972260536,0.011957215796334828,0.00648538942837618
brazil,2018Q4,-0.02273271100987405,-0.03592077693458118,0.15918966285335473,0.01387396901466437,0.10513869221287495
brazil,2019Q1,-0.010769757756828275,-0.018544026422501886,0.15926701922550499,0.012048497982034565,0.10507561995106855
brazil,2019Q2,-0.006613546704153768,-0.015036010799284474,0.1020296079198326,0.01128252368881224,0.1621591295400612
brazil,2019Q3,-0.008032776027901915,-0.01694822350218707,0.11172717710479023,0.011449615844207974,0.17173858951614288
brazil,2019Q4,-0.0018884615616685252,-0.00988840043449752,0.06372391869985933,0.010699361696142464,0.14779463425901643
brazil,2020Q1,-0.19664609447523823,-0.22329898959292901,0.7147192580688829,0.0449528908993873,-0.3341032256631647
brazil,2020Q2,-0.09987232101418292,-0.11181401052733721,0.9496127307118873,0.023008056412473065,0.24431633215295767
brazil,2020Q3,-0.05054665333539496,-0.0627814203962139,0.7971816086810836,0.017052015819438472,0.18812317714389157
brazil,2020Q4,-0.02671621128445108,-0.03811517432548469,0.4181788843319813,0.013948992874361538,0.18123207132277072
brazil,2021Q1,-0.017278774204223576,-0.027880043242673687,0.1406137800272252,0.013313793553592312,0.04802410862581395
brazil,2021Q2,0.043047395245806294,0.030784618464748587,0.0,0.007041646484437875,-0.5920846436579725
brazil,2021Q3,-0.008396584013925026,-0.02140625622446454,0.07311513549533127,0.01248920393050558,-0.01492564617897951
brazil,2021Q4,-0.012579087468858764,-0.02208762179385999,0.1267154493268559,0.012420104169208326,0.09221520415357183
brazil,2022Q1,-0.026352722903697934,-0.03744624280428547,0.1971130333980842,0.01485585461221557,-0.002289392869772908
brazil,2022Q2,-0.029203274923270923,-0.04458748509220078,0.12283256955304092,0.015816042578232846,-0.06570544555047601
brazil,2022Q3,-0.022960847464996215,-0.03981918701109284,0.10539735691818529,0.01477925943567206,-0.029561148323822044
brazil,2022Q4,-0.014948855885942407,-0.026845473474925077,0.10772516072593821,0.013148986399032562,0.027454486339759564
brazil,2023Q1,-0.00027921962654005317,-0.011292345294385879,0.05098150243376149,0.011225699882649223,-0.005713550881178777
brazil,2023Q2,0.004134393865598884,-0.004357053488203255,0.03782777042200096,0.01036887978388593,0.027981461886965132
brazil,2023Q3,-0.006270129342695434,-0.016024990066247292,0.08258978819655713,0.011416510628840873,0.13123789991423448
brazil,2023Q4,0.0053869864822832375,-0.0020944170118461013,0.03199874366316959,0.009552724671459602,0.19579577885517105
brazil,2024Q1,0.010872344534845174,0.002838752044756226,0.0,0.009072745770459092,0.1299091241742704
brazil,2024Q2,-0.011167090029122844,-0.021278073409491897,0.09526973639575934,0.012961628543292997,-0.056860299817500716
brazil,2024Q3,-0.005001401919694101,-0.014682626006757557,0.07345939475441102,0.011442818221184176,0.08330656541197551
brazil,2024Q4,-0.004695758555149664,-0.015464208409627743,0.06590666821679947,0.01251498291885682,-0.14927440600512296
brazil,2025Q1,-0.004825034775524838,-0.01707642804824274,0.06467771865615948,0.01179907406006955,0.019924897368928093
brazil,2025Q2,-0.0017259407899326631,-0.011154647968177342,0.05849242610637258,0.010927724840993806,0.09867453504858147
brazil,2025Q3,-0.0027578418570944375,-0.011819030535792877,0.06555341436516265,0.01076418276220625,0.17177727349317962
brazil,2025Q4,0.00032036488236591304,-0.007995968898211442,0.04903694076374701,0.010367150182750565,0.16205379161765696
brazil,2026Q1,-0.03071712919417182,-0.046317311818400105,0.17295103672548695,0.015181497692643887,0.08020802182064998
