country,n,corr,corr_top20pct,mean_base,mean_nocd
BRAZIL,76,0.966908439929872,0.970797809931517,0.6638289132004991,0.6718544888587141
BULGARIA,59,0.9179620408336847,0.9399293243358193,0.6740804007869771,0.7294189069715457
CHILE,76,0.9390723383907396,0.9252448085577805,0.47071766608972715,0.5496967687204691
CHINA,95,0.8674753236116244,0.8665521881546268,0.6293193510612857,0.6028057567586466
COLOMBIA,71,0.9324828814860008,0.9189819125690913,0.510778181412377,0.3464786621440294
HUNGARY,91,0.9636243919117519,0.9366530020765036,0.4634098899276167,0.462939786518573
INDIA,105,0.8812306870934442,0.8206283119443275,0.4851059884070106,0.533674470042687
INDONESIA,92,0.9369915035047887,0.9226962885133337,0.34224092137731094,0.28907843720637194
MALAYSIA,98,0.9358681617143901,0.947300386366951,0.45665834185411125,0.4337499533514319
MEXICO,79,0.9725520683970467,0.9874932693653968,0.41672912765806763,0.39898698090618917
PAKISTAN,66,0.8924123649082941,0.7343592735852386,0.5392898296397479,0.5238037367573414
PERU,67,0.9383062129759118,0.9497263560108972,0.6022437213207463,0.6286966870628949
PHILIPPINES,103,0.8608721714327847,0.7741387683035956,0.48082045408147156,0.34381194293047107
POLAND,105,0.8743554990531618,0.7156213021437043,0.4362368405821451,0.39988764814963607
RUSSIA,52,0.9177040378324754,0.9302124529622653,0.36590191339349676,0.2882393470176673
SOUTHAFRICA,105,0.9533074807425044,0.9632405163026848,0.3861177537056089,0.4586454989554051
SOUTHKOREA,102,0.904233149354683,0.7773711011145032,0.3439018757701618,0.27135527275940047
TURKEY,65,0.7500395499202472,0.7606150491173856,0.623119959023371,0.5286038487956686
