DATES,FCI
29/05/2026,0.22644676332186067
30/04/2026,0.26344726110752137
31/03/2026,0.3329144591960041
27/02/2026,0.18562173351363848
30/01/2026,0.24488212681659188
31/12/2025,0.18853483398148352
28/11/2025,0.13973913564451673
31/10/2025,0.16535150468329293
30/09/2025,0.10577041709957724
29/08/2025,0.1321240851189418
31/07/2025,0.21953338216726695
30/06/2025,0.12043953633087237
30/05/2025,0.14215966314647996
30/04/2025,0.2790930686134888
31/03/2025,0.19761931753528178
28/02/2025,0.283990369919657
31/01/2025,0.5475675643468726
31/12/2024,0.49268363013334315
29/11/2024,0.6893384722578952
31/10/2024,0.5387849235771874
30/09/2024,0.5816299524387751
30/08/2024,0.6301317650318043
31/07/2024,0.2596308229279256
28/06/2024,0.6285014170002644
31/05/2024,0.1536109945648503
30/04/2024,0.344352120631676
29/03/2024,0.26637077160740286
29/02/2024,0.17692775506649563
31/01/2024,0.21896012202864085
29/12/2023,0.24451813092327407
30/11/2023,0.4923148272318689
31/10/2023,0.5786777150783255
29/09/2023,0.4994667748347358
31/08/2023,0.45306622326401746
31/07/2023,0.3749695906741676
30/06/2023,0.38534747256231827
31/05/2023,0.3032583684174167
28/04/2023,0.2679155926228723
31/03/2023,0.29968265053518595
28/02/2023,0.39008410793012543
31/01/2023,1.0660640561723467
30/12/2022,0.4417924277492576
30/11/2022,0.5932609667259772
31/10/2022,0.5860718468854484
30/09/2022,0.8717822389021805
31/08/2022,0.6814869443749748
29/07/2022,0.5049688894522016
30/06/2022,0.7285907516946809
31/05/2022,0.609357960731929
29/04/2022,0.6359824014468782
31/03/2022,0.4372430554999585
28/02/2022,0.3364472870637026
31/01/2022,0.32202926811122906
31/12/2021,0.17860127115005459
30/11/2021,0.25706327015590635
29/10/2021,0.2470341772414773
30/09/2021,0.2284386766612928
31/08/2021,0.15919925965176493
30/07/2021,0.21301874965286346
30/06/2021,0.14952713136621232
31/05/2021,0.14415367296141887
30/04/2021,0.2925115790244901
31/03/2021,0.17718117331504954
26/02/2021,0.2630424035245179
29/01/2021,0.21338865360141748
31/12/2020,0.19901387914427138
30/11/2020,0.39292916017999757
30/10/2020,0.39793249353156834
30/09/2020,0.2768002660153295
31/08/2020,0.46041433332634407
31/07/2020,0.4886736528255602
30/06/2020,0.7388823020410913
29/05/2020,0.9341060308854767
30/04/2020,1.4769718673223133
31/03/2020,4.205280420133054
28/02/2020,0.5836837124089235
31/01/2020,0.5189004774569833
31/12/2019,0.5446768789313629
29/11/2019,0.5216711899296884
31/10/2019,0.45156074926395884
30/09/2019,0.5129899945027284
30/08/2019,0.8443090891157667
31/07/2019,0.6842788708740024
28/06/2019,0.5729065068923912
31/05/2019,0.5894622181215324
30/04/2019,0.4577307817560918
29/03/2019,0.45174685261780845
28/02/2019,0.5612708100340742
31/01/2019,0.7047548742089597
31/12/2018,0.7019454178219044
30/11/2018,1.3235729019168443
31/10/2018,0.6124379520951969
28/09/2018,0.2068462968772293
31/08/2018,0.3586089074001223
31/07/2018,0.5035320349967685
29/06/2018,0.4571717544821285
31/05/2018,0.670929609287557
30/04/2018,0.2637299937163661
30/03/2018,0.32822068690609313
28/02/2018,0.2728076109514206
31/01/2018,0.17932492678789486
29/12/2017,0.20019015611970364
30/11/2017,0.0932122681892027
31/10/2017,0.23278486150378036
29/09/2017,0.07262582479158006
31/08/2017,0.09241126791891785
31/07/2017,0.17173834480423894
30/06/2017,0.22480012486766332
31/05/2017,0.1228743231243865
28/04/2017,0.14031537248981724
31/03/2017,0.3057152904938716
28/02/2017,0.37248596980462345
31/01/2017,0.46736756014981795
30/12/2016,0.3516691948133406
30/11/2016,0.7635752570951306
31/10/2016,0.2974797549289716
30/09/2016,0.44893732674873166
31/08/2016,0.11879498199719352
29/07/2016,0.22029455623037847
30/06/2016,0.519159344408384
31/05/2016,0.4622952822268676
29/04/2016,0.20800925610595508
31/03/2016,0.2738329494927569
29/02/2016,0.3777810803347206
29/01/2016,0.5138543970164926
31/12/2015,0.30397114069322295
30/11/2015,0.22442524962810723
30/10/2015,0.1830076471303949
30/09/2015,0.2919259849356536
31/08/2015,0.35738315928347236
31/07/2015,0.24088861525385863
30/06/2015,0.13267871713767962
29/05/2015,0.2508908006218293
30/04/2015,0.2132827214677136
31/03/2015,0.3530155224399364
27/02/2015,0.29605910008801783
30/01/2015,0.3738238823514139
31/12/2014,0.46903568834192677
28/11/2014,0.13782520884404395
31/10/2014,0.15229240024362478
30/09/2014,0.1297532291672204
29/08/2014,0.10918609699813432
31/07/2014,0.13440535984012372
30/06/2014,0.1979482918108657
30/05/2014,0.23969869253078413
30/04/2014,0.2862631405003475
31/03/2014,0.26939427729074633
28/02/2014,0.2676391996498909
31/01/2014,0.2582259563126237
31/12/2013,0.23460031915634993
29/11/2013,0.3269819532047863
31/10/2013,0.44320201616946764
30/09/2013,0.6174964934030308
30/08/2013,0.35931984552865315
31/07/2013,0.4292034750463822
28/06/2013,0.6969166126391624
31/05/2013,0.3174287313964348
30/04/2013,0.30583329234311685
29/03/2013,0.1975895327022349
28/02/2013,0.14633615154974922
31/01/2013,0.152337301982317
31/12/2012,0.16438796342963033
30/11/2012,0.16020887831670216
31/10/2012,0.09713016654480298
28/09/2012,0.07579997265529961
31/08/2012,0.10850196135020776
31/07/2012,0.14793222378786622
29/06/2012,0.09803327212378296
31/05/2012,0.24247907699312238
30/04/2012,0.22692748011512176
30/03/2012,0.18156550895731538
29/02/2012,0.2537826093514325
31/01/2012,0.35128389768797397
30/12/2011,0.3724945860309521
30/11/2011,0.44352087086789804
31/10/2011,0.4876674689067991
30/09/2011,0.8287783467805419
31/08/2011,0.7021290473399124
29/07/2011,0.37622725941070695
30/06/2011,0.4007114852490451
31/05/2011,0.4394081747884459
29/04/2011,0.4784742657780572
31/03/2011,0.5325194807555274
28/02/2011,0.4574133859267141
31/01/2011,0.4736601892860738
31/12/2010,0.23122760919098598
30/11/2010,0.27822269066886424
29/10/2010,0.2283120616939123
30/09/2010,0.2259488555201824
31/08/2010,0.3251948409739798
30/07/2010,0.27700122591731496
30/06/2010,0.3263982580780973
31/05/2010,0.6391450042719964
30/04/2010,0.5433683185093396
31/03/2010,0.4215406016519638
26/02/2010,0.3161539653502709
29/01/2010,0.5045530494134602
31/12/2009,0.4831741798184698
30/11/2009,0.3649982499229417
30/10/2009,0.3213336223916712
30/09/2009,0.3451233011303503
31/08/2009,0.36840223275690315
31/07/2009,0.1878699883887942
30/06/2009,0.2783940820626916
29/05/2009,0.2650329742584924
30/04/2009,0.6372287932480423
31/03/2009,1.0981877256440824
27/02/2009,1.7957174383337184
30/01/2009,1.183226103938615
31/12/2008,0.8283942358615705
28/11/2008,1.281864513975071
31/10/2008,4.786664368985788
30/09/2008,1.142786736327348
29/08/2008,0.9260603314383468
31/07/2008,0.7429792615940283
30/06/2008,0.589647592839447
30/05/2008,0.19815728050513884
30/04/2008,0.3046708541534201
31/03/2008,0.3092713395560165
29/02/2008,0.3830768846248819
31/01/2008,0.6168591468622814
31/12/2007,0.3497015055267459
30/11/2007,0.5005629114691177
31/10/2007,0.1938145885246436
28/09/2007,0.15331445936764168
31/08/2007,0.29387918397524715
31/07/2007,0.11205457744060443
