institución,θ (JxG_c),triple (JxG_I),t triple,θ inst. débiles,θ inst. fuertes,países
rule_of_law,-0.344,-0.076,-0.11,-0.268,-0.42,5
gov_effectiveness,-0.807,-0.553,-1.88,-0.254,-1.359,5
