especificación,θ,SE cluster,t,p wild-boot,clusters,n
"M2 (FE país+tiempo, sin controles)",-0.359,0.181,-1.99,0.251,5,281
M3 (+ controles domésticos),-0.338,0.124,-2.73,0.191,5,253
