DATES,FCI
29/05/2026,1.1194249069887412
30/04/2026,0.8759049393653776
31/03/2026,0.7224364604064115
27/02/2026,0.2782246067594177
30/01/2026,0.24763653719565693
31/12/2025,0.05426768077445716
28/11/2025,0.06178098777124182
31/10/2025,0.09490081689721996
30/09/2025,0.13818366538822355
29/08/2025,0.05841060564349888
31/07/2025,0.09781462573961909
30/06/2025,0.20287117366618418
30/05/2025,0.20070222921577907
30/04/2025,0.4935269311600411
31/03/2025,0.5858451366982131
28/02/2025,0.8239176808501059
31/01/2025,0.3128552373235944
31/12/2024,0.1615607304158289
29/11/2024,0.2116491274247037
31/10/2024,0.13180215892288472
30/09/2024,0.1500770211074517
30/08/2024,0.1234494061077657
31/07/2024,0.11483833514359859
28/06/2024,0.25443718392244574
31/05/2024,0.17021400312302004
30/04/2024,0.17720394947182785
29/03/2024,0.10228769132853817
29/02/2024,0.085393178830942
31/01/2024,0.1338293078580072
29/12/2023,0.1554633711294009
30/11/2023,0.16369182701561083
31/10/2023,0.24687630138361094
29/09/2023,0.24837555213750323
31/08/2023,0.14579751871336463
31/07/2023,0.1569791520122986
30/06/2023,0.15080265671719129
31/05/2023,0.18148919055507784
28/04/2023,0.15577835660637906
31/03/2023,0.21092516633617728
28/02/2023,0.14296698059756824
31/01/2023,0.1563940225187659
30/12/2022,0.17335368587568878
30/11/2022,0.18084765144796322
31/10/2022,0.1640075013349489
30/09/2022,0.31485497814691144
31/08/2022,0.1878189439890312
29/07/2022,0.23727660658925473
30/06/2022,0.27619907689847245
31/05/2022,0.3654168817139726
29/04/2022,0.22014963403452364
31/03/2022,0.23249086716810463
28/02/2022,0.20157558668484432
31/01/2022,0.19273223837140058
31/12/2021,0.1793980768170771
30/11/2021,0.19927506444655774
29/10/2021,0.2194306136915076
30/09/2021,0.17531492785733074
31/08/2021,0.21229986842831197
30/07/2021,0.19380637223712316
30/06/2021,0.2871905384146282
31/05/2021,0.2484731462696519
30/04/2021,0.2059256191344623
31/03/2021,0.2136663446661913
26/02/2021,0.12543404481395148
29/01/2021,0.21845184071701287
31/12/2020,0.25353053662645664
30/11/2020,0.3626021863375463
30/10/2020,0.20241084758997271
30/09/2020,0.41479241611795764
31/08/2020,0.5260381157285149
31/07/2020,0.48291949905040166
30/06/2020,0.5648131700335357
